mediaID,mediaType,mediaTypeIRI,mediaTypeVocabulary,accessURI,WebStatement,format,rights,Owner,source,creator,creatorID,CreateDate,modified,mediaLanguage,mediaDescription
113288_manifest,INTERACTIVE_RESOURCE,,,https://herbarium.bgbm.org/data/iiif/B100356094/manifest.json,"Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [https://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [https://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).",application/json,https://creativecommons.org/licenses/by-sa/3.0/,BGBM Berlin,,BGBM Berlin,,,,,
316194,STILL_IMAGE,,,"https://pictures.bgbm.org/digilib/Scaler/IIIF/B!10!03!56!09!B_10_0356094.jpg/full/2048,/0/default.jpg","Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [https://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [https://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).",image/jpeg,https://creativecommons.org/licenses/by-sa/3.0/,BGBM Berlin,,BGBM Berlin,,,,,
241414_manifest,INTERACTIVE_RESOURCE,,,https://herbarium.bgbm.org/data/iiif/B100479552/manifest.json,"Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [https://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [https://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).",application/json,https://creativecommons.org/licenses/by-sa/3.0/,BGBM Berlin,,BGBM Berlin,,,,,
242553_manifest,INTERACTIVE_RESOURCE,,,https://herbarium.bgbm.org/data/iiif/B100479553/manifest.json,"Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [https://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [https://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).",application/json,https://creativecommons.org/licenses/by-sa/3.0/,BGBM Berlin,,BGBM Berlin,,,,,
1034092,STILL_IMAGE,,,"https://pictures.bgbm.org/digilib/Scaler/IIIF/B!10!10!88!91!B_10_1088912.jpg/full/2048,/0/default.jpg","Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [https://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [https://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).",image/jpeg,https://creativecommons.org/licenses/by-sa/3.0/,BGBM Berlin,,BGBM Berlin,,,,,
43758_manifest,INTERACTIVE_RESOURCE,,,https://herbarium.bgbm.org/data/iiif/B100242900/manifest.json,"Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [https://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [https://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).",application/json,https://creativecommons.org/licenses/by-sa/3.0/,BGBM Berlin,,BGBM Berlin,,,,,
991607678_manifest,INTERACTIVE_RESOURCE,,,https://herbarium.bgbm.org/data/iiif/B101088912/manifest.json,"Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [https://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [https://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).",application/json,https://creativecommons.org/licenses/by-sa/3.0/,BGBM Berlin,,BGBM Berlin,,,,,
459709,STILL_IMAGE,,,"https://pictures.bgbm.org/digilib/Scaler/IIIF/B!10!04!79!55!B_10_0479552.jpg/full/2048,/0/default.jpg","Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [https://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [https://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).",image/jpeg,https://creativecommons.org/licenses/by-sa/3.0/,BGBM Berlin,,BGBM Berlin,,,,,
855636,STILL_IMAGE,,,"https://pictures.bgbm.org/digilib/Scaler/IIIF/Willing!GR!2019!05!2019-05-02_074.jpg/full/2048,/0/default.jpg","Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [https://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [https://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).",image/jpeg,https://creativecommons.org/licenses/by-sa/3.0/,Eckhard Willing,,Eckhard Willing,,,,,
855638,STILL_IMAGE,,,"https://pictures.bgbm.org/digilib/Scaler/IIIF/Willing!GR!2019!05!2019-05-02_077.jpg/full/2048,/0/default.jpg","Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [https://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [https://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).",image/jpeg,https://creativecommons.org/licenses/by-sa/3.0/,Eckhard Willing,,Eckhard Willing,,,,,
