"eventID","fieldNumber","eventType","eventConductedBy","eventConductedByID","eventDate","verbatimEventDate","locality","habitat","continent","verbatimElevation","country","countryCode","decimalLatitude","decimalLongitude","geodeticDatum","eventRemarks"
"B 10 0356094_gat","4703","MATERIAL GATHERING","T. Dürbye & A. Kirchhoff","","2009-08-10","10.08.2009","Banska Bystrica. Gemer Nature reserve, Revuca, Muranski Planina, Road from Muran to Tisovec, trail anlong Hrdzava dolina.","Buchenhangwald, offene sonnige Wegränder, Schläge","Europe","477m","Slovakia","SK","48.74750","20.02167","WGS84",""
"B 10 0242900_gat","4234","MATERIAL GATHERING","C. G. Pringle","http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/7ddb21fc-fa2f-4575-a594-322e837faa88 | http://viaf.org/viaf/74992245 | http://www.wikidata.org/entity/Q3009492 | https://bionomia.net/Q3009492","1892-09-02","02.09.1892","State of Mexico. Nevado de Toluca.","In porphyritic gravel of the crater","North America","","Mexico","MX","","","WGS84",""
"B 10 1088912_gat","295784","MATERIAL GATHERING","Willing,E. & Willing,R.","","2019-05-02","2019-05-02","NO Velventos","","Europe","346","Greece","GR","40.28194","22.08194","WGS84",""
"B 10 0479552_gat","10075","MATERIAL GATHERING","G. Mansion","http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b13ff28a-8c37-42bd-9b5b-db1ca3f36ff5 | http://www.wikidata.org/entity/Q18986804","","","Peloponnese. Nomos Laconia, Langadas gorges, at the entrance of the parc.","On calcareous cliffs","Europe","1208 m","Greece","GR","37.09361","22.30000","WGS84",""
"B 10 0356094_occ","","OCCURRENCE","T. Dürbye & A. Kirchhoff","","2009-08-10","10.08.2009","Banska Bystrica. Gemer Nature reserve, Revuca, Muranski Planina, Road from Muran to Tisovec, trail anlong Hrdzava dolina.","Buchenhangwald, offene sonnige Wegränder, Schläge","Europe","477m","Slovakia","SK","48.74750","20.02167","WGS84",""
"B 10 0242900_occ","","OCCURRENCE","C. G. Pringle","http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/7ddb21fc-fa2f-4575-a594-322e837faa88 | http://viaf.org/viaf/74992245 | http://www.wikidata.org/entity/Q3009492 | https://bionomia.net/Q3009492","1892-09-02","02.09.1892","State of Mexico. Nevado de Toluca.","In porphyritic gravel of the crater","North America","","Mexico","MX","","","WGS84",""
"B 10 1088912_occ","","OCCURRENCE","Willing,E. & Willing,R.","","2019-05-02","2019-05-02","NO Velventos","","Europe","346","Greece","GR","40.28194","22.08194","WGS84",""
"B 10 0479552_occ","","OCCURRENCE","G. Mansion","http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b13ff28a-8c37-42bd-9b5b-db1ca3f36ff5 | http://www.wikidata.org/entity/Q18986804","","","Peloponnese. Nomos Laconia, Langadas gorges, at the entrance of the parc.","On calcareous cliffs","Europe","1208 m","Greece","GR","37.09361","22.30000","WGS84",""
"B GT 0004898_sam_tis","","MATERIAL SAMPLING","","","","","","","","","","","","","",""
"DB 5634_sam_dna","","MATERIAL SAMPLING","Schories, Astrid","","2009-10-29","","","","","","","","","","","Extraction method: NucleoSpin Plant II by Macherey & Nagel"
"DB 16392_sam_dna","","MATERIAL SAMPLING","Weigand, A.","","","","","","","","","","","","","Extraction method: DNeasy Plant Mini Spin Kit by Qiagen"
