event_id	parent_event_id	preferred_event_name	event_type	event_type_iri	event_type_vocabulary	dataset_name	dataset_id	field_number	event_conducted_by	event_conducted_by_id	event_date	event_time	start_day_of_year	end_day_of_year	year	month	day	verbatim_event_date	verbatim_locality	verbatim_elevation	verbatim_depth	verbatim_coordinates	verbatim_latitude	verbatim_longitude	verbatim_coordinate_system	verbatim_srs	georeference_verification_status	habitat	sample_size_value	sample_size_unit	event_effort	field_notes	event_citation	event_remarks	location_id	higher_geography	higher_geography_id	continent	water_body	island_group	island	country	country_code	state_province	county	municipality	locality	minimum_elevation_in_meters	maximum_elevation_in_meters	vertical_datum	minimum_depth_in_meters	maximum_depth_in_meters	minimum_distance_above_surface_in_meters	maximum_distance_above_surface_in_meters	location_remarks	decimal_latitude	decimal_longitude	geodetic_datum	coordinate_uncertainty_in_meters	coordinate_precision	point_radius_spatial_fit	footprint_wkt	footprint_srs	footprint_spatial_fit	georeferenced_by	georeferenced_by_id	georeferenced_date	georeference_protocol	georeference_protocol_id	georeference_sources	georeference_remarks	information_withheld	data_generalizations	preferred_spatial_representation
B 10 0356094_gat			MATERIAL GATHERING					4703	T. Dürbye & A. Kirchhoff		2009-08-10							10.08.2009		477m								Buchenhangwald, offene sonnige Wegränder, Schläge										Europe				Slovakia	SK				Banska Bystrica. Gemer Nature reserve, Revuca, Muranski Planina, Road from Muran to Tisovec, trail anlong Hrdzava dolina.									48.74750	20.02167	WGS84																
B 10 0242900_gat			MATERIAL GATHERING					4234	C. G. Pringle	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/7ddb21fc-fa2f-4575-a594-322e837faa88 | http://viaf.org/viaf/74992245 | http://www.wikidata.org/entity/Q3009492 | https://bionomia.net/Q3009492	1892-09-02							02.09.1892										In porphyritic gravel of the crater										North America				Mexico	MX				State of Mexico. Nevado de Toluca.											WGS84																
B 10 1088912_gat			MATERIAL GATHERING					295784	Willing,E. & Willing,R.		2019-05-02							2019-05-02		346																		Europe				Greece	GR				NO Velventos									40.28194	22.08194	WGS84																
B 10 0479552_gat			MATERIAL GATHERING					10075	G. Mansion	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b13ff28a-8c37-42bd-9b5b-db1ca3f36ff5 | http://www.wikidata.org/entity/Q18986804										1208 m								On calcareous cliffs										Europe				Greece	GR				Peloponnese. Nomos Laconia, Langadas gorges, at the entrance of the parc.									37.09361	22.30000	WGS84																
B 10 0356094_occ			OCCURRENCE						T. Dürbye & A. Kirchhoff		2009-08-10							10.08.2009		477m								Buchenhangwald, offene sonnige Wegränder, Schläge										Europe				Slovakia	SK				Banska Bystrica. Gemer Nature reserve, Revuca, Muranski Planina, Road from Muran to Tisovec, trail anlong Hrdzava dolina.									48.74750	20.02167	WGS84																
B 10 0242900_occ			OCCURRENCE						C. G. Pringle	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/7ddb21fc-fa2f-4575-a594-322e837faa88 | http://viaf.org/viaf/74992245 | http://www.wikidata.org/entity/Q3009492 | https://bionomia.net/Q3009492	1892-09-02							02.09.1892										In porphyritic gravel of the crater										North America				Mexico	MX				State of Mexico. Nevado de Toluca.											WGS84																
B 10 1088912_occ			OCCURRENCE						Willing,E. & Willing,R.		2019-05-02							2019-05-02		346																		Europe				Greece	GR				NO Velventos									40.28194	22.08194	WGS84																
B 10 0479552_occ			OCCURRENCE						G. Mansion	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b13ff28a-8c37-42bd-9b5b-db1ca3f36ff5 | http://www.wikidata.org/entity/Q18986804										1208 m								On calcareous cliffs										Europe				Greece	GR				Peloponnese. Nomos Laconia, Langadas gorges, at the entrance of the parc.									37.09361	22.30000	WGS84																
B GT 0004898_sam_tis			MATERIAL SAMPLING																																								  																															
DB 5634_sam_dna			MATERIAL SAMPLING						Schories, Astrid		2009-10-29																							Extraction method: NucleoSpin Plant II by Macherey & Nagel									  																															
DB 16392_sam_dna			MATERIAL SAMPLING						Weigand, A.																									Extraction method: DNeasy Plant Mini Spin Kit by Qiagen									  																															
