eventID,parentEventID,preferredEventName,eventCategory,eventType,eventDate,verbatimElevation,habitat,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude
KAR11_1,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-10,187,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.139677,-68.710203
KAR11_2,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-10,172,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.13963,-68.709712
KAR11_3,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-10,197,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.139758,-68.709845
KAR11_4,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-10,182,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.139775,-68.710757
KAR11_5,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-10,185,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.139718,-68.709743
KAR11_6,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-10,178,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.139782,-68.709787
KAR11_7,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-12,198,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.139773,-68.710823
KAR11_8,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-12,196,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.139792,-68.710827
KAR11_9,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-12,191,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.139717,-68.710762
KAR11_10,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-12,195,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.139712,-68.710878
KAR11_11,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-12,188,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.13969,-68.709768
KAR11_12,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-12,191,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.139678,-68.709775
KAR11_13,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-12,189,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.13973,-68.70976
KAR11_14,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-12,187,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.13973,-68.70976
KAR11_15,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-12,182,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.139633,-68.709872
KAR11_16,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-12,183,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.139642,-68.709863
KAR11_17,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-12,183,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.139657,-68.709793
KAR11_18,KAR11,Peltigera smapling,material gathering,Occurrence,2011-01-12,187,Nothofagus pumilio young forest,Chile,CL,Region de Magallanes y de la Antartica Chilena,Karukinka Natural Park,-54.139705,-68.709818
