agentID,occurrenceID,agentRole
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-007,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-024,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-028,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-042,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-046,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-047,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-055,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-056,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-057,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-058,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-061,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-064,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-065,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-066,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-068,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-069,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-070,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-071,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-077,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-079,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-080,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-081,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-082,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-083,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-084,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-085,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-086,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-087,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-088,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-089,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-091,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-092,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-093,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-094,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-095,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-097,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-098,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-099,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-100,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-102,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-103,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-104,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-105,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-106,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-107,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-108,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-109,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-111,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-112,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-114,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-115,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-116,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-118,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-119,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-120,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-122,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-123,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-124,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-125,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-126,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-127,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-128,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-129,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-130,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-131,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-132,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-133,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-134,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-135,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-136,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-138,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-139,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-140,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-141,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-142,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-143,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-144,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-145,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-146,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-148,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-149,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-150,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-153,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-154,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-155,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-156,collector
M.C.|J.O.|J.L.P.|C.Z.,UCHILE:LEMi:KAR11-157,collector
