mediaID,occurrenceID,mediaSubjectCategory,physicalSetting
pelt_photo_1,UCHILE:LEMi:KAR11-007,organisms in the site of collection,Natural
pelt_photo_2,UCHILE:LEMi:KAR11-007,organisms in the site of collection,Natural
pelt_photo_3,UCHILE:LEMi:KAR11-007,organisms in the site of collection,Natural
pelt_photo_4,UCHILE:LEMi:KAR11-024,organisms in the site of collection,Natural
pelt_photo_5,UCHILE:LEMi:KAR11-024,organisms in the site of collection,Natural
pelt_photo_6,UCHILE:LEMi:KAR11-024,organisms in the site of collection,Natural
pelt_photo_7,UCHILE:LEMi:KAR11-028,organisms in the site of collection,Natural
pelt_photo_8,UCHILE:LEMi:KAR11-028,organisms in the site of collection,Natural
pelt_photo_9,UCHILE:LEMi:KAR11-028,organisms in the site of collection,Natural
pelt_photo_10,UCHILE:LEMi:KAR11-042,organisms in the site of collection,Natural
pelt_photo_11,UCHILE:LEMi:KAR11-042,organisms in the site of collection,Natural
pelt_photo_12,UCHILE:LEMi:KAR11-042,organisms in the site of collection,Natural
pelt_photo_13,UCHILE:LEMi:KAR11-046,organisms in the site of collection,Natural
pelt_photo_14,UCHILE:LEMi:KAR11-046,organisms in the site of collection,Natural
pelt_photo_15,UCHILE:LEMi:KAR11-046,organisms in the site of collection,Natural
pelt_photo_16,UCHILE:LEMi:KAR11-047,organisms in the site of collection,Natural
pelt_photo_17,UCHILE:LEMi:KAR11-047,organisms in the site of collection,Natural
pelt_photo_18,UCHILE:LEMi:KAR11-047,organisms in the site of collection,Natural
pelt_photo_19,UCHILE:LEMi:KAR11-055,organisms in the site of collection,Natural
pelt_photo_20,UCHILE:LEMi:KAR11-055,organisms in the site of collection,Natural
pelt_photo_21,UCHILE:LEMi:KAR11-055,organisms in the site of collection,Natural
pelt_photo_22,UCHILE:LEMi:KAR11-056,organisms in the site of collection,Natural
pelt_photo_23,UCHILE:LEMi:KAR11-056,organisms in the site of collection,Natural
pelt_photo_24,UCHILE:LEMi:KAR11-056,organisms in the site of collection,Natural
pelt_photo_25,UCHILE:LEMi:KAR11-057,organisms in the site of collection,Natural
pelt_photo_26,UCHILE:LEMi:KAR11-057,organisms in the site of collection,Natural
pelt_photo_27,UCHILE:LEMi:KAR11-057,organisms in the site of collection,Natural
pelt_photo_28,UCHILE:LEMi:KAR11-058,organisms in the site of collection,Natural
pelt_photo_29,UCHILE:LEMi:KAR11-058,organisms in the site of collection,Natural
pelt_photo_30,UCHILE:LEMi:KAR11-058,organisms in the site of collection,Natural
pelt_photo_31,UCHILE:LEMi:KAR11-061,organisms in the site of collection,Natural
pelt_photo_32,UCHILE:LEMi:KAR11-061,organisms in the site of collection,Natural
pelt_photo_33,UCHILE:LEMi:KAR11-061,organisms in the site of collection,Natural
pelt_photo_34,UCHILE:LEMi:KAR11-064,organisms in the site of collection,Natural
pelt_photo_35,UCHILE:LEMi:KAR11-064,organisms in the site of collection,Natural
pelt_photo_36,UCHILE:LEMi:KAR11-064,organisms in the site of collection,Natural
pelt_photo_37,UCHILE:LEMi:KAR11-065,organisms in the site of collection,Natural
pelt_photo_38,UCHILE:LEMi:KAR11-065,organisms in the site of collection,Natural
pelt_photo_39,UCHILE:LEMi:KAR11-065,organisms in the site of collection,Natural
pelt_photo_40,UCHILE:LEMi:KAR11-066,organisms in the site of collection,Natural
pelt_photo_41,UCHILE:LEMi:KAR11-066,organisms in the site of collection,Natural
pelt_photo_42,UCHILE:LEMi:KAR11-068,organisms in the site of collection,Natural
pelt_photo_43,UCHILE:LEMi:KAR11-068,organisms in the site of collection,Natural
pelt_photo_44,UCHILE:LEMi:KAR11-068,organisms in the site of collection,Natural
pelt_photo_45,UCHILE:LEMi:KAR11-069,organisms in the site of collection,Natural
pelt_photo_46,UCHILE:LEMi:KAR11-069,organisms in the site of collection,Natural
