occurrenceID,eventID,recordedBy,recordedByID,lifeStage,occurrenceRemarks,identifiedBy,dateIdentified,scientificName,taxonRank
UCHILE:LEMi:KAR11-007,KAR11_1,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera fuscopraetextata,Species
UCHILE:LEMi:KAR11-024,KAR11_2,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera fuscopraetextata,Species
UCHILE:LEMi:KAR11-028,KAR11_3,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera fuscopraetextata,Species
UCHILE:LEMi:KAR11-042,KAR11_4,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera rufescens,Species
UCHILE:LEMi:KAR11-046,KAR11_5,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera ponojensis/monticola 11,Species
UCHILE:LEMi:KAR11-047,KAR11_6,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera fuscopraetextata,Species
UCHILE:LEMi:KAR11-055,KAR11_7,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera rufescens,Species
UCHILE:LEMi:KAR11-056,KAR11_8,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera rufescens,Species
UCHILE:LEMi:KAR11-057,KAR11_9,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera rufescens,Species
UCHILE:LEMi:KAR11-058,KAR11_10,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera extenuata,Species
UCHILE:LEMi:KAR11-061,KAR11_11,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera ponojensis/monticola 11,Species
UCHILE:LEMi:KAR11-064,KAR11_12,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera extenuata,Species
UCHILE:LEMi:KAR11-065,KAR11_13,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera extenuata,Species
UCHILE:LEMi:KAR11-066,KAR11_14,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera canina,Subsection
UCHILE:LEMi:KAR11-068,KAR11_15,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera didactyla,Subsection
UCHILE:LEMi:KAR11-069,KAR11_16,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera extenuata,Species
UCHILE:LEMi:KAR11-070,KAR11_17,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera extenuata,Species
UCHILE:LEMi:KAR11-071,KAR11_18,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera extenuata,Species
UCHILE:LEMi:KAR11-077,KAR11_19,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera extenuata,Species
UCHILE:LEMi:KAR11-079,KAR11_20,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera ponojensis/monticola 11,Species
UCHILE:LEMi:KAR11-080,KAR11_21,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera canina,Subsection
UCHILE:LEMi:KAR11-081,KAR11_22,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera canina,Subsection
UCHILE:LEMi:KAR11-082,KAR11_23,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera canina,Subsection
UCHILE:LEMi:KAR11-083,KAR11_24,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera fuscopraetextata,Species
UCHILE:LEMi:KAR11-084,KAR11_25,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera frigida/Peltigera patagonica,Subsection
UCHILE:LEMi:KAR11-085,KAR11_26,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera truculenta,Species
UCHILE:LEMi:KAR11-086,KAR11_27,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera canina,Subsection
UCHILE:LEMi:KAR11-087,KAR11_28,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera ponojensis/monticola 11,Species
UCHILE:LEMi:KAR11-088,KAR11_29,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera frigida,Species
UCHILE:LEMi:KAR11-089,KAR11_30,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera fuscopraetextata,Species
UCHILE:LEMi:KAR11-091,KAR11_31,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera canina,Subsection
UCHILE:LEMi:KAR11-092,KAR11_32,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera ponojensis/Peltigera monticola,Subsection
UCHILE:LEMi:KAR11-093,KAR11_33,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera ponojensis/Peltigera monticola,Subsection
UCHILE:LEMi:KAR11-094,KAR11_34,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera ponojensis/Peltigera monticola,Subsection
UCHILE:LEMi:KAR11-095,KAR11_34,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera canina,Subsection
UCHILE:LEMi:KAR11-097,KAR11_35,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera fuscopraetextata,Species
UCHILE:LEMi:KAR11-098,KAR11_36,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera fuscopraetextata,Species
UCHILE:LEMi:KAR11-099,KAR11_37,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera fuscopraetextata,Species
UCHILE:LEMi:KAR11-100,KAR11_38,Margarita Caru | Julieta Orlando | Jose Luis Parraguez | Catalina Zuniga,M.C.|J.O.|J.L.P.|C.Z.,,,,,Peltigera ponojensis/monticola 11,Species
