"AGENTID","AGENTTYPE","AGENTTYPEIRI","AGENTTYPEVOCABULARY","PREFERREDAGENTNAME"
"1924080764","schema:Person","","https://schema.org/agent","W.J.v.Rooijen."
"1382799934","schema:Person","","https://schema.org/agent","A.Elferink"
"995999216","schema:Person","","https://schema.org/agent","Mahendra Limbu"
"1004984798","schema:Person","","https://schema.org/agent","Vos de"
"-96361793","schema:Person","","https://schema.org/agent","K. Lindberg"
"125225645","schema:Person","","https://schema.org/agent","B.v.Aartsen"
"-2094648607","schema:Person","","https://schema.org/agent","Garzon C."
"137874567","schema:Person","","https://schema.org/agent","K.Alders"
"-1944454642","schema:Person","","https://schema.org/agent","v.M.d.Th"
"-2032948194","schema:Person","","https://schema.org/agent","v. Wisselingh"
"-91873505","schema:Person","","https://schema.org/agent","M. Caland"
"623871294","schema:Person","","https://schema.org/agent","Gottlieb E."
"1475910473","schema:Person","","https://schema.org/agent","v. Groenendael"
"709138097","schema:Person","","https://schema.org/agent","Leffef"
"-1559529658","schema:Person","","https://schema.org/agent","v.w."
"-2023952048","schema:Person","","https://schema.org/agent","C.H.J.M. Fransen"
"-683048371","schema:Person","","https://schema.org/agent","Leg. A. Eisses-Brongers"
"1283844696","schema:Person","","https://schema.org/agent","M. Kawakatsu"
"1542775455","schema:Person","","https://schema.org/agent","G.R.Langohr"
"-1490831977","schema:Person","","https://schema.org/agent","Kalis"
"1299839815","schema:Person","","https://schema.org/agent","van Oyen"
"1943356554","schema:Person","","https://schema.org/agent","W. Kaudern"
"-1560603219","schema:Person","","https://schema.org/agent","R.T."
"1582926531","schema:Person","","https://schema.org/agent","Mastrigt H.J.G. van (Henk)"
"1860874706","schema:Person","","https://schema.org/agent","Groenendael J.M.A. van"
"1004983806","schema:Person","","https://schema.org/agent","Vos De"
"-481573404","schema:Person","","https://schema.org/agent","A. Elferink"
"-1493348967","schema:Person","","https://schema.org/agent","J. H."
"902253058","schema:Person","","https://schema.org/agent","M. Lourens"
"-1563016538","schema:Person","","https://schema.org/agent","Lk."
"807776938","schema:Person","","https://schema.org/agent","Cremers H.J.W.M."
"-1085382311","schema:Person","","https://schema.org/agent","v.Aartsen"
"-1867029535","schema:Person","","https://schema.org/agent","Godfried Gerrits"
"436077177","schema:Person","","https://schema.org/agent","leg. J.J.v. OORT"
"-819265791","schema:Person","","https://schema.org/agent","K. Alders"
"1667141754","schema:Person","","https://schema.org/agent","C. Treadaway"
"-2034831567","schema:Person","","https://schema.org/agent","Chris Davenport"
"1085331692","schema:Person","","https://schema.org/agent","J.Th.O."
"2069751803","schema:Person","","https://schema.org/agent","Siboga Expedition"
"1242171175","schema:Person","","https://schema.org/agent","Man J.G. de"
"332952569","schema:Person","","https://schema.org/agent","leg. J. BURGERS"
"2091763482","schema:Person","","https://schema.org/agent","leg. J.C. Koster"
"-396225227","schema:Person","","https://schema.org/agent","det. J.C. Koster"
"-1111444289","schema:Person","","https://schema.org/agent","Holthuis L.B."
"-813769784","schema:Person","","https://schema.org/agent","G- Langohr"
"-1627988911","schema:Person","","https://schema.org/agent","H.P. Wagner"
"1576064134","schema:Person","","https://schema.org/agent","Bloklander A."
"-248283687","schema:Person","","https://schema.org/agent","de Boer S."
"2083471191","schema:Person","","https://schema.org/agent","Weber M."
"48072139","schema:Person","","https://schema.org/agent","v. d. Vliet"
"1299985544","schema:Person","","https://schema.org/agent","van Tuyl"
"-819326524","schema:Person","","https://schema.org/agent","Edo de Jong"
"-491949684","schema:Person","","https://schema.org/agent","Det: BvB"
"-1638849102","schema:Person","","https://schema.org/agent","leg.R.Schouten"
"800377012","schema:Person","","https://schema.org/agent","Coll. W. Oord"
"-663610217","schema:Person","","https://schema.org/agent","J.H. Stock"
"-1837359511","schema:Person","","https://schema.org/agent","J. A. de Heer"
"-1692655883","schema:Person","","https://schema.org/agent","v. Oort J.J."
"1375249885","schema:Person","","https://schema.org/agent","B.J.Lempke"
"1283533466","schema:Person","","https://schema.org/agent","P. H. van de Pol"
"1542664789","schema:Person","","https://schema.org/agent","Coll. J.P. Kleiweg de Zwaan"
"-658738211","schema:Person","","https://schema.org/agent","BvAartsen"
"89014885","schema:Person","","https://schema.org/agent","A.J.BUIS"
"-621035440","schema:Person","","https://schema.org/agent","R. de Jong"
"-887671437","schema:Person","","https://schema.org/agent","Duffels J.P. (Hans)"
"2088143446","schema:Person","","https://schema.org/agent","Moonen J.J.M."
"-1563008652","schema:Person","","https://schema.org/agent","Tox"
"399969995","schema:Person","","https://schema.org/agent","C.Nies"
"2117262695","schema:Person","","https://schema.org/agent","""Pillsbury"""
"-478941847","schema:Person","","https://schema.org/agent","coll. G.J. FLINT"
"-582420983","schema:Person","","https://schema.org/agent","Olivier Pequin"
"-1693265874","schema:Person","","https://schema.org/agent","Stefan Schröeder"
"252332301","schema:Person","","https://schema.org/agent","A. den Dulk"
"1944229277","schema:Person","","https://schema.org/agent","B. v. Aartsen"
"-1548970441","schema:Person","","https://schema.org/agent","Lourens J.H."
"556960361","schema:Person","","https://schema.org/agent","leg. J.J. v. OORT"
"1325669677","schema:Person","","https://schema.org/agent","Dr.J.Th.OUDEMANS"
"-53985120","schema:Person","","https://schema.org/agent","Wagenaar Hummelinck P."
"719339543","schema:Person","","https://schema.org/agent","Gable M."
"-683516920","schema:Person","","https://schema.org/agent","Vane-wright R.I."
"-1563090503","schema:Person","","https://schema.org/agent","LN"
"-575686870","schema:Person","","https://schema.org/agent","Forsten"
"2012746029","schema:Person","","https://schema.org/agent","Alders K."
"1524147892","schema:Person","","https://schema.org/agent","G. v.d. Meulen"
"406970198","schema:Person","","https://schema.org/agent","R. de Vos"
"-145638240","schema:Person","","https://schema.org/agent","D. Regal"
"-2073183153","schema:Person","","https://schema.org/agent","P. Sollier"
"2029027931","schema:Person","","https://schema.org/agent","Hydrobiologisch Instituut afd. Deltaonderzoek"
"-1786496739","schema:Person","","https://schema.org/agent","L.Y. Fox"
"121360632","schema:Person","","https://schema.org/agent","G.J. SLOB"
"-595948076","schema:Person","","https://schema.org/agent","M. Kooi"
"2063696494","schema:Person","","https://schema.org/agent","M. Lamarque"
"790368283","schema:Person","","https://schema.org/agent","J.A.W.Lucas"
"2098124929","schema:Person","","https://schema.org/agent","L. Gomez Alonso"
"1639212825","schema:Person","","https://schema.org/agent","E. Houkes"
"628945722","schema:Person","","https://schema.org/agent","K.N.N."
"-310726606","schema:Person","","https://schema.org/agent","W. Oord"
"-817787541","schema:Person","","https://schema.org/agent","S. de Boer"
"1838736424","schema:Person","","https://schema.org/agent","coll. BalfourvanBurleigh Utrecht."
"-847336451","schema:Person","","https://schema.org/agent","Det.A.Aalders"
"-140977879","schema:Person","","https://schema.org/agent","v. Aartsen"
"-1269568636","schema:Person","","https://schema.org/agent","Leg. P.P. Parab 24-10-1988"
"1747247609","schema:Person","","https://schema.org/agent","Bedford and Lanchester"
"-1901081285","schema:Person","","https://schema.org/agent","C. Doets"
"-1496349940","schema:Person","","https://schema.org/agent","Ebely"
"984572952","schema:Person","","https://schema.org/agent","Swennen C."
"-547620757","schema:Person","","https://schema.org/agent","van den Broek E."
"-1781493487","schema:Person","","https://schema.org/agent","Lempke B.J."
"-1570471952","schema:Person","","https://schema.org/agent","W.J. v. Rooijen"
"1925696064","schema:Person","","https://schema.org/agent","Coll.:G.J. Slob"
"-1919312445","schema:Person","","https://schema.org/agent","A.J. BUIS"
"-1992675471","schema:Person","","https://schema.org/agent","Redet.: D.J.G.Griffin"
"-1220228693","schema:Person","","https://schema.org/agent","H. Tranter 07-1976 (T. gracilis: ??)"
"1377718859","schema:Person","","https://schema.org/agent","J.A.W. Lucas"
"1112645862","schema:Person","","https://schema.org/agent","J.B. Wolschrijn"
"728248252","schema:Person","","https://schema.org/agent","coll. HUISMAN"
