"AGENTID","AGENTROLE","AGENTROLEDATE","AGENTROLEIRI","AGENTROLEORDER","AGENTROLEVOCABULARY","EVENTID"
"1924080764","collector","","","","","544398640"
"1382799934","collector","","","","","919910985"
"995999216","collector","","","","","319946362"
"-96361793","collector","","","","","-2085369367"
"125225645","collector","","","","","-1449874949"
"-2094648607","collector","","","","","1017781852"
"137874567","collector","","","","","606885208"
"-1944454642","collector","","","","","-882278954"
"-2032948194","collector","","","","","-2073881644"
"-91873505","collector","","","","","721058331"
"623871294","collector","","","","","122464054"
"1475910473","collector","","","","","-1160614207"
"709138097","collector","","","","","-1144642543"
"-1559529658","collector","","","","","1007609377"
"-683048371","collector","","","","","-251639343"
"1283844696","collector","","","","","-1732452213"
"1542775455","collector","","","","","1189627415"
"-1490831977","collector","","","","","-1025854248"
"1299839815","collector","","","","","838973712"
"1943356554","collector","","","","","-523346627"
"-1560603219","collector","","","","","-431814449"
"1582926531","collector","","","","","534192033"
"1860874706","collector","","","","","1487886643"
"1004983806","collector","","","","","-43886903"
"-481573404","collector","","","","","-2034500171"
"-1493348967","collector","","","","","-1179022419"
"902253058","collector","","","","","-1179022419"
"-1563016538","collector","","","","","-841320936"
"-1085382311","collector","","","","","1492101296"
"-1867029535","collector","","","","","-904676539"
"436077177","collector","","","","","-350334608"
"-819265791","collector","","","","","2130886686"
"1667141754","collector","","","","","1545824935"
"1085331692","collector","","","","","-1813492050"
"2069751803","collector","","","","","-2009219912"
"332952569","collector","","","","","-984541162"
"2091763482","collector","","","","","-461199717"
"-1111444289","collector","","","","","-1376234147"
"-813769784","collector","","","","","-279489658"
"1576064134","collector","","","","","-1235070193"
"-248283687","collector","","","","","2020474529"
"2069751803","collector","","","","","-1636344294"
"48072139","collector","","","","","1789830998"
"1299985544","collector","","","","","-1731821276"
"-819326524","collector","","","","","-1431957888"
"-91873505","collector","","","","","733215465"
"-1638849102","collector","","","","","-1256492130"
"800377012","collector","","","","","1662272755"
"-663610217","collector","","","","","1063631726"
"-1837359511","collector","","","","","-1237785078"
"-1692655883","collector","","","","","-1338799893"
"995999216","collector","","","","","1493809672"
"1375249885","collector","","","","","-127843266"
"1283533466","collector","","","","","548888617"
"1542664789","collector","","","","","-404613602"
"-481573404","collector","","","","","217156341"
"125225645","collector","","","","","1941342514"
"-658738211","collector","","","","","-291724097"
"89014885","collector","","","","","458019612"
"-621035440","collector","","","","","-631038871"
"-887671437","collector","","","","","-1066687680"
"-1563008652","collector","","","","","-1829882648"
"399969995","collector","","","","","626097758"
"2117262695","collector","","","","","351157318"
"-478941847","collector","","","","","381820948"
"-1563008652","collector","","","","","-692312545"
"252332301","collector","","","","","1219565218"
"1944229277","collector","","","","","-1431243213"
"995999216","collector","","","","","-1765149121"
"-1548970441","collector","","","","","-1867047668"
"556960361","collector","","","","","-317725637"
"1325669677","collector","","","","","1826597807"
"-53985120","collector","","","","","806857111"
"-1563090503","collector","","","","","1644584053"
"995999216","collector","","","","","-1466024606"
"-575686870","collector","","","","","-998868745"
"2012746029","collector","","","","","432726652"
"1524147892","collector","","","","","-1871079804"
"406970198","collector","","","","","1263990478"
"-145638240","collector","","","","","-1034699551"
"-2073183153","collector","","","","","-1034699551"
"2029027931","collector","","","","","693517883"
"-1786496739","collector","","","","","-1403135013"
"121360632","collector","","","","","-1491516763"
"-595948076","collector","","","","","1833672397"
"2063696494","collector","","","","","-1819494811"
"790368283","collector","","","","","-2036034984"
"2098124929","collector","","","","","133133470"
"1639212825","collector","","","","","899646138"
"628945722","collector","","","","","1170942465"
"-310726606","collector","","","","","233410754"
"-817787541","collector","","","","","-1227864528"
"1838736424","collector","","","","","-402554069"
"-621035440","collector","","","","","528938766"
"-140977879","collector","","","","","-790512586"
"-1269568636","collector","","","","","-1395443140"
"1747247609","collector","","","","","-1173257831"
"-1901081285","collector","","","","","99442885"
"-1496349940","collector","","","","","-20350254"
"984572952","collector","","","","","-1912971167"
"-1781493487","collector","","","","","1362293755"
"-1570471952","collector","","","","","-1425652955"
"1925696064","collector","","","","","1076677306"
"-1919312445","collector","","","","","-1495953808"
"2069751803","collector","","","","","1965747277"
"1377718859","collector","","","","","-1300856529"
"709138097","collector","","","","","-1984296385"
"1112645862","collector","","","","","-442038286"
"728248252","collector","","","","","-206774171"
"-428198529","collector","","","","","1343074548"
"84720530","collector","","","","","-927273713"
"1219459368","collector","","","","","-502828638"
"-1563090535","collector","","","","","1133163415"
"-1837359511","collector","","","","","437240010"
"1085331692","collector","","","","","-989175928"
"1830900948","collector","","","","","1451127432"
"1953177120","collector","","","","","1402393698"
"1290074014","collector","","","","","2089890560"
"1852441166","collector","","","","","677019954"
"-706779554","collector","","","","","1662846326"
"-2032948194","collector","","","","","-608480296"
"-1361597156","collector","","","","","475719709"
"1314705304","collector","","","","","-1027183477"
"-1043045110","collector","","","","","-425874519"
"-1559670553","collector","","","","","2048936251"
"409142009","collector","","","","","-2054061326"
"264363111","collector","","","","","-1791398688"
"-1493348967","collector","","","","","-251390885"
"902253058","collector","","","","","-251390885"
"572505237","collector","","","","","-1854836897"
"1951769157","collector","","","","","1989724260"
"950766849","collector","","","","","1989724260"
"-1577743530","collector","","","","","-557811302"
"429781006","collector","","","","","978516190"
"2075931870","collector","","","","","-464131824"
"-621035440","collector","","","","","1385715566"
"1279623161","collector","","","","","-711703550"
"-543474072","collector","","","","","284185834"
"1625270929","collector","","","","","-1976402136"
"959084627","collector","","","","","1608422435"
"2117262695","collector","","","","","-338537126"
"-2032948194","collector","","","","","-644994586"
"138724362","collector","","","","","786394368"
"332952569","collector","","","","","-449718379"
"1299985544","collector","","","","","1483469658"
"-1057258190","collector","","","","","-13345696"
"1251386378","collector","","","","","987332622"
"709138097","collector","","","","","1227392803"
"-1563092874","collector","","","","","32622936"
"85262238","collector","","","","","-1549602711"
"-1563090349","collector","","","","","-285563166"
"1933640125","collector","","","","","-285563166"
"-1449990543","collector","","","","","868671238"
"1965713507","collector","","","","","800051324"
"-200711443","collector","","","","","-562745968"
"-1627988911","collector","","","","","-1915954918"
"108607163","collector","","","","","1123484178"
"409142009","collector","","","","","-1414833899"
"-1036905359","collector","","","","","1128962625"
"1615737875","collector","","","","","1598155288"
"-1788743748","collector","","","","","-1491885568"
"-1260500919","collector","","","","","-1438511536"
"-1570931070","collector","","","","","-1677119149"
"697781846","collector","","","","","-258538093"
"-813769784","collector","","","","","183139928"
"-78365851","collector","","","","","-916325221"
"-1901081285","collector","","","","","860779406"
"-1653153212","collector","","","","","838973712"
"401959844","collector","","","","","-2086215816"
"-1378495422","collector","","","","","548122540"
"-2032948194","collector","","","","","-155290416"
"405862462","collector","","","","","1498970549"
"-2101056464","collector","","","","","-313275074"
"-150525645","collector","","","","","-2124091949"
"-972040757","collector","","","","","1485078999"
"1238230728","collector","","","","","1485078999"
"229092927","collector","","","","","-1036937920"
