"continent","coordinatePrecision","coordinateUncertaintyInMeters","country","countryCode","county","dataGeneralizations","datasetID","datasetName","day","decimalLatitude","decimalLongitude","endDayOfYear","eventCategory","eventConductedBy","eventConductedByID","eventDate","eventEffort","eventID","eventReferences","eventRemarks","eventTime","eventType","fieldNotes","fieldNumber","footprintSpatialFit","footprintSRS","footprintWKT","geodeticDatum","georeferencedBy","georeferencedByID","georeferencedDate","georeferenceProtocol","georeferenceProtocolID","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherGeography","higherGeographyID","informationWithheld","island","islandGroup","locality","locationID","locationRemarks","maximumDepthInMeters","maximumDistanceAboveSurfaceInMeters","maximumElevationInMeters","minimumDepthInMeters","minimumDistanceAboveSurfaceInMeters","minimumElevationInMeters","month","municipality","parentEventID","pointRadiusSpatialFit","preferredEventName","preferredSpatialRepresentation","startDayOfYear","stateProvince","verbatimCoordinates","verbatimCoordinateSystem","verbatimDepth","verbatimElevation","verbatimEventDate","verbatimLatitude","verbatimLocality","verbatimLongitude","verbatimSRS","verticalDatum","waterBody","year"
"","","","France","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","b71454c5c5e94186a3cb5a5884a75800","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","New Caledonia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","England","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1891-06-04","","fa65a6c23754910417e602744b0da816","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Haidburn [?]","","","","","","","","","","","","","","","","Yorkshire","","","","","4/6/1891","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1962-11-05","","d0920e07a70131ec46e06774edbdbfb9","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Fortin","","","","","","","","","","","","","","","","Prov. Veracruz","","","","","05-11-1962","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1908-12-29","","2829ddececf9f0b0a4cf032c98945f1b","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Texel","","","","","","","","","","","","","","","","","","","","","","","29/12/1908","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1982-08-07","","97c11c9ddd1ac6e987392830e3d01363","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Zwanenburg, Haarlemmerweg pl 11,6 [Rottepolderplein]","","","","","","","","","","","","","","","","North Holland","","","","","7-8-1982","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1978-02-05","","f6602a525843b53f7faa253b42f0b6fa","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Castricum","","","","","","","","","","","","","","","","North Holland","","","","","5-2-1978","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1984-12-30","","ced8d9e053032b7e81479daab4e8e836","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Ardery I., Wilkesland","","","","","","","","","","","","","","","","","","","","","30-12-1984","","","","","","",""
"","","","Suriname","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1901-05-02","","53deae8cd173f6c2d6559f005523a0d0","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Suriname, no further locality","","","","","","","","","","","","","","","","","","","","","2/5/1901","","","","","","",""
"","","","Netherlands Antilles","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1952-03-18","","96018ba138454eeb34cf163c1c923678","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Curaçao","","Malpais","","","","","","","","","","","","","","","","","","","","","18-3-1952","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1923-06-11","","e139eb5ff7a6d27189f252c429bf8a22","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Java","","Semarang, C Java","","","","","","","","","","","","","","","","","","","","","11/6/1923","","","","","","",""
