"AGENTID","AGENTROLE","AGENTROLEDATE","AGENTROLEIRI","AGENTROLEORDER","AGENTROLEVOCABULARY","IDENTIFICATIONID"
"1004984798","identifier","","","","","1900402889"
"-2023952048","identifier","","","","","-1737952736"
"807776938","identifier","","","","","-1289444682"
"-2034831567","identifier","","","","","1150773283"
"1242171175","identifier","","","","","1962836207"
"-396225227","identifier","","","","","-660934503"
"-1627988911","identifier","","","","","481695911"
"2083471191","identifier","","","","","919051527"
"1242171175","identifier","","","","","261550251"
"-491949684","identifier","","","","","-269303855"
"-1111444289","identifier","","","","","1813068754"
"2088143446","identifier","","","","","-448302699"
"-2023952048","identifier","","","","","1755359491"
"-582420983","identifier","","","","","-1941338973"
"-2023952048","identifier","","","","","-1942632648"
"-1693265874","identifier","","","","","427897531"
"-2023952048","identifier","","","","","983392783"
"-1867029535","identifier","","","","","-441488167"
"2088143446","identifier","","","","","-513915458"
"719339543","identifier","","","","","423804804"
"-683516920","identifier","","","","","-91590176"
"-847336451","identifier","","","","","-1453831439"
"-547620757","identifier","","","","","50061846"
"-1992675471","identifier","","","","","1760970625"
"-1220228693","identifier","","","","","1760970625"
"747278273","identifier","","","","","315227639"
"2088143446","identifier","","","","","-1319187678"
"-2023952048","identifier","","","","","2022870208"
"-1634938774","identifier","","","","","-1366255175"
"512823107","identifier","","","","","1877096372"
"1579055789","identifier","","","","","-699498553"
"1373755211","identifier","","","","","-1501961959"
"-351264414","identifier","","","","","-742281732"
"2088143446","identifier","","","","","-608590883"
"719339543","identifier","","","","","-965166202"
"2088143446","identifier","","","","","-183117664"
"-2023952048","identifier","","","","","493097639"
"-851851698","identifier","","","","","-1924993386"
