"higherClassificationName","higherClassificationRank","identificationID","scientificName","taxonID","taxonRank","taxonRemarks","taxonSortOrder"
"Animalia","dwc:kingdom","19c1cfbae912edb617b68b5bc00c0145","Eunymphicus cornutus (J. F. Gmelin, 1788)","https://www.catalogueoflife.org/data/taxon/3CG7W","SPECIES","",""
"Animalia","dwc:kingdom","40c1c6d54c34bc55a991d1975dc74921","Motacilla flava Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/44G9F","SPECIES","",""
"Animalia","dwc:kingdom","2c4c3c62e165074a33632d77570e725a","Piranga rubra cooperi Ridgway, 1869","https://www.catalogueoflife.org/data/taxon/BNVWG","SUBSPECIES","",""
"Animalia","dwc:kingdom","cc968626db64b636c12a929338936b9e","Tachybaptus ruficollis ruficollis (Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/BP48X","SUBSPECIES","",""
"Animalia","dwc:kingdom","b36c138e20faf30a53a8672862afc1bf","Sturnus vulgaris vulgaris Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/BP3RY","SUBSPECIES","",""
"Animalia","dwc:kingdom","77d78837b7ccaf16e73eab15f386ce52","Gavia arctica arctica (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/BNGDN","SUBSPECIES","",""
"Animalia","dwc:kingdom","90ab37c97d82e985e2c25d22f5e709b0","Fulmarus glacialoides (A. Smith, 1840)","https://www.catalogueoflife.org/data/taxon/6K48R","SPECIES","",""
"Animalia","dwc:kingdom","0da1451e16c6f186295499496837745a","Egretta tricolor (Statius Muller, 1776)","https://www.catalogueoflife.org/data/taxon/6DYQW","SPECIES","",""
"Animalia","dwc:kingdom","76288fc34c5898ecbc685a3ded33998d","Tringa solitaria solitaria A. Wilson, 1813","https://www.catalogueoflife.org/data/taxon/BP5XD","SUBSPECIES","",""
"Animalia","dwc:kingdom","4f0af074f5103f5cdde571602811af3f","Cinnyris jugularis (Linnaeus, 1766)","https://www.catalogueoflife.org/data/taxon/5Z75C","SPECIES","",""
"Animalia","dwc:kingdom","664bc40afd6e21c222e4e0944f0c4346","Thalasseus acuflavidus eurygnathus (H. Saunders, 1876)","https://www.catalogueoflife.org/data/taxon/9HJCP","SUBSPECIES","",""
"Animalia","dwc:kingdom","641f72a77115012778bac5fa1636ca3d","Bubo bubo bubo (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/BMH68","SUBSPECIES","",""
"Animalia","dwc:kingdom","eab13ed24fb41d6934bade261566e843","Oceanodroma leucorhoa (Vieillot, 1818)","https://www.catalogueoflife.org/data/taxon/48C48","SPECIES","",""
"Animalia","dwc:kingdom","2700111bfc23023c222540045bf7d211","Ficedula hypoleuca hypoleuca (Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/BNFQD","SUBSPECIES","",""
"Animalia","dwc:kingdom","f3c7d8418abfb9642d35a1875ff090ca","Anous minutus F. Boie, 1844","https://www.catalogueoflife.org/data/taxon/5V9V5","SPECIES","",""
