"basedOnMaterialEntityID","basedOnMediaID","basedOnNucleotideAnalysisID","basedOnNucleotideSequenceID","basedOnOccurrenceID","dateIdentified","higherClassificationName","higherClassificationRank","identificationID","identificationReferences","identificationRemarks","identificationType","identificationVerificationStatus","identifiedBy","identifiedByID","isAcceptedIdentification","scientificName","taxonAssignmentMethod","taxonFormula","taxonID","taxonRank","taxonRemarks","typeDesignationType","typeStatus","verbatimIdentification"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.1014","","","","","","","","19c1cfbae912edb617b68b5bc00c0145","","","MaterialEntity","","","","true","","","","","","","","","Eunymphicus cornutus cornutus Gmelin, J.F., 1788"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.78854","","","","","","","","40c1c6d54c34bc55a991d1975dc74921","","","MaterialEntity","","","","true","","","","","","","","","Motacilla flava rayi"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.34302","","","","","","","","2c4c3c62e165074a33632d77570e725a","","","MaterialEntity","","","","true","","","","","","","","","Piranga rubra cooperi (Ridgway, 1869)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.234210","","","","","","","","cc968626db64b636c12a929338936b9e","","","MaterialEntity","","","","true","","","","","","","","","Tachybaptus ruficollis ruficollis (Pallas, 1764)"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.34909","","","","","","","","b36c138e20faf30a53a8672862afc1bf","","","MaterialEntity","","","","true","","","","","","","","","Sturnus vulgaris vulgaris Linnaeus, 1758"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.31709","","","","","","","","77d78837b7ccaf16e73eab15f386ce52","","","MaterialEntity","","","","true","","","","","","","","","Gavia arctica arctica Linnaeus, 1758"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.36986","","","","","","","","90ab37c97d82e985e2c25d22f5e709b0","","","MaterialEntity","","","","true","","","","","","","","","Fulmarus glacialoides Smith, A., 1840"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.179722","","","","","","","","0da1451e16c6f186295499496837745a","","","MaterialEntity","","","","true","","","","","","","","","Egretta tricolor (Müller, P.L.S., 1776)"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.11031","","","","","","","","76288fc34c5898ecbc685a3ded33998d","","","MaterialEntity","","","","true","","","","","","","","","Tringa solitaria solitaria Wilson, A., 1813"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.176886","","","","","","","","4f0af074f5103f5cdde571602811af3f","","","MaterialEntity","","","","true","","","","","","","","","Nectarinia jugularis pectoralis"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.28640","","","","","","","","664bc40afd6e21c222e4e0944f0c4346","","","MaterialEntity","","","","true","","","","","","","","","Sterna sandvicensis eurygnatha Saunders, 1876"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.260948.c","","","","","","","","641f72a77115012778bac5fa1636ca3d","","","MaterialEntity","","","","true","","","","","","","","","Bubo bubo bubo Linnaeus, C 1758"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.252899","","","","","","","","eab13ed24fb41d6934bade261566e843","","","MaterialEntity","","","","true","","","","","","","","","Oceanodroma leucorhoa (Vieillot)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.58046","","","","","","","","2700111bfc23023c222540045bf7d211","","","MaterialEntity","","","","true","","","","","","","","","Ficedula hypoleuca hypoleuca Pallas, 1764"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.211568","","","","","","","","f3c7d8418abfb9642d35a1875ff090ca","","","MaterialEntity","","","","true","","","","","","","","","Anous minutus Boie"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.52890","","","","","","","","547ec73ec56ba7938dd233a56d49971f","","","MaterialEntity","","","","true","","","","","","","","","Otus bakkamoena glabripes (Swinhoe)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.4263","","","","","","","","988cf1e910cfb1efc716e90c38c814d2","","","MaterialEntity","","","","true","","","","","","","","","Aythya ferina (Linnaeus)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.177951","","","","","","","","8c95ce22b559ccf35b004895c23377be","","","MaterialEntity","","","","true","","","","","","","","","Agyrtria"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.39914","","","","","","","","9a22ce2ed6f20d56f928cbd67203d7e9","","","MaterialEntity","","","","true","","","","","","","","","Pipilo erythrophthalmus arcticus cf Swainson, 1832"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.154818","","","","","","","","7e3d4709ce25b67000c7ecacac4c84d1","","","MaterialEntity","","","","true","","","","","","","","","Carpodacus erythrinus ferghanensis (Kozlova, 1939)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.72441","","","","","","","","2d7d2b67f8da42a9811f658cbf69cb36","","","MaterialEntity","","","","true","","","","","","","","","Hylexetastes perrotii perrotii (Lafresnaye, 1844)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.259619","","","","","","","","af1b755b03499a84fa330ef0df3ba760","","","MaterialEntity","","","","true","","","","","","","","","Acrocephalus palustris (Bechstein, 1798)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.11006","","","","","","","","8913c2a450770cffc9360fcdfef88728","","","MaterialEntity","","","","true","","","","","","","","","Charadrius mongolus Pallas, 1776"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.1206","","","","","","","","e4abe6306da273b8e2fbea73ac4232a5","","","MaterialEntity","","","","true","","","","","","","","","Sturnella militaris Linnaeus, 1758"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.28059","","","","","","","","0dd747e5a5f5caf1f15ca074d85fe652","","","MaterialEntity","","","","true","","","","","","","","","Turdus philomelos philomelos Brehm, C.L., 1831"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.35627","","","","","","","","452ac1ed5acb1d28c2975c6b4f291495","","","MaterialEntity","","","","true","","","","","","","","","Ixobrychus exilis erythromelas (Vieillot)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.221191","","","","","","","","df547aa614b7f3d7594ebb45859bcd6d","","","MaterialEntity","","","","true","","","","","","","","","Erolia testacea (Pallas, 1764)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.16939","","","","","","","","cbf9f46fbe98b8484fa2e97f420ebf05","","","MaterialEntity","","","","true","","","","","","","","","Buteo lagopus lagopus (Pontoppidan, 1763)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.213553","","","","","","","","782e81d0eeb877d0a44e209c202d0c59","","","MaterialEntity","","","","true","","","","","","","","","Treron bicincta (Jerdon)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.29745","","","","","","","","d033dc9ad0f2c1c2118d289c18a32439","","","MaterialEntity","","","","true","","","","","","","","","Gallus gallus bankiva Temminck"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.50624","","","","","","","","9b29b5cb48eb4243fa33ba713cdcbd1e","","","MaterialEntity","","","","true","","","","","","","","","Falco tinnunculus tinnunculus Linnaeus, 1758"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.57315","","","","","","","","f4b6548aedbd6d871f5e490710849999","","","MaterialEntity","","","","true","","","","","","","","","Emberiza citrinella erythrogenys Brehm, 1855"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.179103","","","","","","","","b62d9e4d2374834b08acccd990c193b1","","","MaterialEntity","","","","true","","","","","","","","","Columba rufina rufina Temminck, 1810"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.59634","","","","","","","","d1f9a3993dcb2b0edb97793fd4481ca3","","","MaterialEntity","","","","true","","","","","","","","","Phylloscopus ruficapillus johnstoni Sclater, 1927"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.56257","","","","","","","","6182396a458d46164a41456aa862610b","","","MaterialEntity","","","","true","","","","","","","","","Anas clypeata Linnaeus, 1758"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.161316","","","","","","","","3130a3cbb0c9c006e1ca6f5b3b97727f","","","MaterialEntity","","","","true","","","","","","","","","Padda oryzivora (Linnaeus, 1758)"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.50950","","","","","","","","0bf95363f4852fa97fc8b752e78e7eff","","","MaterialEntity","","","","true","","","","","","","","","Vanellus vanellus (Linnaeus, 1758)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.5092444.b","","","","","","","","acf709b71680de912b9c0828f2b6520c","","","MaterialEntity","","","","true","","","","","","","","","Bombycilla cedrorum Vieillot, 1808"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.135228","","","","","","","","e2b8d3500aad14d5e20d7dbe0f0976bf","","","MaterialEntity","","","","true","","","","","","","","","Rhipidura javanica javanica (Sparrman, 1788)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.86161","","","","","","","","0cb75799ad2603d9044e7b7260ed5a1b","","","MaterialEntity","","","","true","","","","","","","","","Ploceus velatus vitellinus (Lichtenstein, 1823)"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.63838","","","","","","","","bfb3e4f683bc6af08e547e0d71e4b8db","","","MaterialEntity","","","","true","","","","","","","","","Garrulus glandarius glandarius (Linnaeus, 1758)"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.47768","","","","","","","","5dae0e5df4e6522a6c80a45727e57743","","","MaterialEntity","","","","true","","","","","","","","","Cymbirhynchus macrorhynchos macrorhynchos Gmelin, J.F., 1788"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.228827","","","","","","","","90f5b5bcb0f2ae7fbf6a786736cea96f","","","MaterialEntity","","","","true","","","","","","","","","Pipile jacutinga (Spix)"
