"IDENTIFIER","IDENTIFIERLANGUAGE","IDENTIFIERTYPE","IDENTIFIERTYPEIRI","IDENTIFIERTYPEVOCABULARY","MATERIALENTITYID"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1160257","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-Y8V-0B4"
"ZMA.INS.1160257@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-Y8V-0B4"
"ZMA.INS.1160257","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-Y8V-0B4"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1412535","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-Y7F-49F"
"RMNH.INS.1412535@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-Y7F-49F"
"RMNH.INS.1412535","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-Y7F-49F"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1184490","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-Y28-CG4"
"ZMA.INS.1184490@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-Y28-CG4"
"ZMA.INS.1184490","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-Y28-CG4"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1331645","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-NMV-T5R"
"RMNH.INS.1331645@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-NMV-T5R"
"RMNH.INS.1331645","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-NMV-T5R"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.V.POL.650.3","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-LNE-V04"
"ZMA.V.POL.650.3@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-LNE-V04"
"ZMA.V.POL.650.3","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-LNE-V04"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.D.20936","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-LHT-VJX"
"RMNH.CRUS.D.20936@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-LHT-VJX"
"RMNH.CRUS.D.20936","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-LHT-VJX"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.993261","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-KAF-0PM"
"ZMA.INS.993261@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-KAF-0PM"
"ZMA.INS.993261","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-KAF-0PM"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.5173204","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-HG3-NBR"
"ZMA.INS.5173204@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-HG3-NBR"
"ZMA.INS.5173204","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-HG3-NBR"
