"MATERIALENTITYID","MEDIAID","MEDIASUBJECTCATEGORY","MEDIASUBJECTCATEGORYIRI","MEDIASUBJECTCATEGORYVOCABULARY"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.34302","https://doi.org/TEST/DR6-9A1-2SW","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.34302","https://doi.org/TEST/N0X-95Z-N6C","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.58046","https://doi.org/TEST/4W2-6KH-KEH","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.58046","https://doi.org/TEST/NY1-A7Y-69A","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.154818","https://doi.org/TEST/5G7-DEK-H88","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.154818","https://doi.org/TEST/FAK-CMV-GFC","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.72441","https://doi.org/TEST/NAK-NC7-AQ1","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.72441","https://doi.org/TEST/1F5-XVS-6YR","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.259619","https://doi.org/TEST/Y75-4DV-4D6","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.259619","https://doi.org/TEST/433-TQJ-HAV","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.57315","https://doi.org/TEST/J68-TAW-GWZ","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.57315","https://doi.org/TEST/FRR-G5A-XJ4","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.59634","https://doi.org/TEST/CNZ-V21-NCF","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.59634","https://doi.org/TEST/945-VP0-BPR","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.161316","https://doi.org/TEST/1VX-YG4-C4A","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.161316","https://doi.org/TEST/KGG-WBH-SDR","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.135228","https://doi.org/TEST/E15-RHH-AKQ","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.135228","https://doi.org/TEST/719-17N-65H","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.86161","https://doi.org/TEST/22D-7MM-2WG","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.86161","https://doi.org/TEST/682-3KR-RF5","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.34528","https://doi.org/TEST/GW0-7WA-TKP","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.34528","https://doi.org/TEST/8NF-ARN-J90","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.5092347.a","https://doi.org/TEST/3TL-Q71-GD5","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.5092347.a","https://doi.org/TEST/5BK-Q82-5L9","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.156840","https://doi.org/TEST/M6T-6RF-FCV","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.156840","https://doi.org/TEST/DQ9-AHD-AG3","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.72028","https://doi.org/TEST/YSQ-GJ0-YK1","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.72028","https://doi.org/TEST/Q75-JWG-DJH","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.140023","https://doi.org/TEST/M3Z-XAQ-WV7","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.140023","https://doi.org/TEST/1Z3-ZFY-RNG","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.120368","https://doi.org/TEST/PJP-DS7-8VN","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.120368","https://doi.org/TEST/93M-DTF-54R","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.132918","https://doi.org/TEST/R1N-T0F-PCP","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.132918","https://doi.org/TEST/12F-4C7-1KA","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.146776","https://doi.org/TEST/6VC-FYD-7MY","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.146776","https://doi.org/TEST/SQE-J2S-79T","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.126660","https://doi.org/TEST/KZH-JNZ-M91","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.126660","https://doi.org/TEST/4BF-7YB-KTF","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.98105","https://doi.org/TEST/EN3-0FA-NTQ","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.98105","https://doi.org/TEST/WBX-CLG-G96","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.48135","https://doi.org/TEST/4V3-5HC-W5H","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.48135","https://doi.org/TEST/KTN-NPH-C90","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.147655","https://doi.org/TEST/49E-MNV-HWM","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.147655","https://doi.org/TEST/90A-T97-RP5","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.56975","https://doi.org/TEST/NHD-TVC-T2H","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.56975","https://doi.org/TEST/R0E-YF3-T8N","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.24254","https://doi.org/TEST/ZKW-02P-LD0","","",""
