"associatedSequences","catalogNumber","collectedBy","collectedByID","collectionCode","collectionID","dataGeneralizations","dateIdentified","derivationEventID","derivationType","derivedFromMaterialEntityID","digitalSpecimenID","disposition","eventID","evidenceForOccurrenceID","higherClassificationName","higherClassificationRank","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifiedByID","informationWithheld","institutionCode","institutionID","isPartOfMaterialEntityID","materialCategory","materialEntityID","materialEntityRemarks","materialEntityType","materialReferences","objectQuantity","objectQuantityType","otherCatalogNumbers","ownerInstitutionCode","ownerInstitutionID","preparations","recordNumber","scientificName","taxonFormula","taxonID","taxonRank","taxonRemarks","typeDesignationType","typeStatus","typifiedName","verbatimIdentification","verbatimLabel"
"","ZMA.AVES.1014","","","","","","","","","","https://doi.org/TEST/ZZZ-YMH-ZHA","","b71454c5c5e94186a3cb5a5884a75800","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.1014","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.78854","","","","","","","","","","https://doi.org/TEST/ZZZ-WPD-K1T","","fa65a6c23754910417e602744b0da816","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.78854","","","","","","","","","egg (air dried)","","","","","","","","","","",""
"","RMNH.AVES.34302","","","","","","","","","","https://doi.org/TEST/ZZZ-P2Q-A33","","d0920e07a70131ec46e06774edbdbfb9","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.34302","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.234210","","","","","","","","","","https://doi.org/TEST/ZZZ-JAZ-GZD","","2829ddececf9f0b0a4cf032c98945f1b","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.234210","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","ZMA.AVES.34909","","","","","","","","","","https://doi.org/TEST/ZZZ-HT9-MGQ","","97c11c9ddd1ac6e987392830e3d01363","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.34909","","","","","","","","","Wing (study skin)","","","","","","","","","","",""
"","ZMA.AVES.31709","","","","","","","","","","https://doi.org/TEST/ZZZ-AQ2-6KL","","f6602a525843b53f7faa253b42f0b6fa","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.31709","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","ZMA.AVES.36986","","","","","","","","","","https://doi.org/TEST/ZZY-WZR-VN0","","ced8d9e053032b7e81479daab4e8e836","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.36986","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.179722","","","","","","","","","","https://doi.org/TEST/ZZY-TH9-72C","","53deae8cd173f6c2d6559f005523a0d0","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.179722","","","","","","","","","egg (air dried)","","","","","","","","","","",""
"","ZMA.AVES.11031","","","","","","","","","","https://doi.org/TEST/ZZY-NTM-EPF","","96018ba138454eeb34cf163c1c923678","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.11031","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.176886","","","","","","","","","","https://doi.org/TEST/ZZY-NBN-G1C","","e139eb5ff7a6d27189f252c429bf8a22","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.176886","","","","","","","","","egg (air dried)","","","","","","","","","","",""
