"ACCESSURI","CREATEDATE","CREATOR","CREATORID","FORMAT","MEDIADESCRIPTION","MEDIAID","MEDIALANGUAGE","MEDIATYPE","MODIFIED","OWNER","RIGHTS","SOURCE","WEBSTATEMENT"
"https://medialib.naturalis.nl/file/id/ZMA.INS.1353569_1/format/large","","","","image/jpeg","","https://doi.org/TEST/ZSR-AZ7-V2D","","StillImage","2025-01-28T08:54:51.994Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1189787_1/format/large","","","","image/jpeg","","https://doi.org/TEST/ZEX-V6D-6KH","","StillImage","2025-05-30T08:52:09.258Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.5164421_1/format/large","","","","image/jpeg","","https://doi.org/TEST/ZC9-WFC-9RW","","StillImage","2025-01-28T08:52:30.570Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1561054_1/format/large","","","","image/jpeg","","https://doi.org/TEST/ZAG-1XZ-LEQ","","StillImage","2025-01-28T08:51:49.053Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.5161905_1/format/large","","","","image/jpeg","","https://doi.org/TEST/Z26-9BX-JML","","StillImage","2025-01-28T08:58:09.080Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1331719_1/format/large","","","","image/jpeg","","https://doi.org/TEST/YSH-QYA-98J","","StillImage","2025-01-28T08:51:28.239Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1038134_1/format/large","","","","image/jpeg","","https://doi.org/TEST/YRB-HS1-NCN","","StillImage","2025-01-28T08:51:24.668Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.5164421_2/format/large","","","","image/jpeg","","https://doi.org/TEST/Y1Q-H52-N0Y","","StillImage","2025-01-28T08:52:30.570Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.370152_0001/format/large","","","","image/jpeg","","https://doi.org/TEST/Y1D-B4B-BBD","","StillImage","2025-01-28T08:51:19.070Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.322791_0001/format/large","","","","image/jpeg","","https://doi.org/TEST/XQ5-H12-1ZY","","StillImage","2025-01-28T08:54:41.180Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
