"behavior","caste","dataGeneralizations","dateIdentified","degreeOfEstablishment","establishmentMeans","eventID","higherClassificationName","higherClassificationRank","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifiedByID","informationWithheld","lifeStage","occurrenceID","occurrenceReferences","occurrenceRemarks","occurrenceStatus","organismID","organismName","organismQuantity","organismQuantityType","organismRemarks","organismScope","pathway","recordedBy","recordedByID","reproductiveCondition","scientificName","sex","surveyTargetID","taxonFormula","taxonID","taxonRank","taxonRemarks","verbatimIdentification","vitality"
"","","","","","","b71454c5c5e94186a3cb5a5884a75800","","","","","","","","","adult","5d3ea9a72640d4a529768b3417a6f519","","","","","","1","individuals","","","","","","","","","","","","","","",""
"","","","","","","fa65a6c23754910417e602744b0da816","","","","","","","","","egg","46e6ed82fca569de2034ed03ae82dd71","","","","","","6","individuals","","","","","","","","","","","","","","",""
"","","","","","","d0920e07a70131ec46e06774edbdbfb9","","","","","","","","","","365f3966836b7576e9516dbad2682a96","","","","","","1","individuals","","","","","","","","male","","","","","","",""
"","","","","","","2829ddececf9f0b0a4cf032c98945f1b","","","","","","","","","","63aabba0e28a78b314b4846e9915ff63","","","","","","","","","","","","","","","female","","","","","","",""
"","","","","","","97c11c9ddd1ac6e987392830e3d01363","","","","","","","","","1st c.y.","88068ce2ce64edfdd84aba00acd1dc78","","","","","","1","individuals","","","","","","","","male","","","","","","",""
"","","","","","","f6602a525843b53f7faa253b42f0b6fa","","","","","","","","","adult","d75de51f797c34acb883e405de49d78f","","","","","","1","individuals","","","","","","","","female","","","","","","",""
"","","","","","","ced8d9e053032b7e81479daab4e8e836","","","","","","","","","unknown","af48575ea93ea3c2f79bdcdbdeb159c4","","","","","","1","individuals","","","","","","","","female","","","","","","",""
"","","","","","","53deae8cd173f6c2d6559f005523a0d0","","","","","","","","","egg","31e239e3885eaaf4f4680fe7b23c1752","","","","","","21","individuals","","","","","","","","","","","","","","",""
"","","","","","","96018ba138454eeb34cf163c1c923678","","","","","","","","","unknown","f07019addb5e330a4532ad46402fd3be","","","","","","1","individuals","","","","","","","","male","","","","","","",""
"","","","","","","e139eb5ff7a6d27189f252c429bf8a22","","","","","","","","","egg","94bd7194a3b49b35f267b2154539b135","","","","","","2","individuals","","","","","","","","","","","","","","",""
"","","","","","","814f03a207c8ee41c2febbbca934aa46","","","","","","","","","unknown","e655399032a23c7f4378cee7ad227324","","","","","","1","individuals","","","","","","","","male","","","","","","",""
"","","","","","","d4a4154379d582062b9cb4d6388f858c","","","","","","","","","adult","a22e77557070e64175ae821e54d595d0","","","","","","1","individuals","","","","","","","","female","","","","","","",""
"","","","","","","5c5205c6928e97e16890c8a5d6e2a900","","","","","","","","","","71623dd066dd10835c0eb4c70493ed03","","","","","","1","individuals","","","","","","","","male","","","","","","",""
"","","","","","","6fdf1be4922863b9aa20f7abe906501c","","","","","","","","","","fbbb2d5f5a5dc9b2f3d57e94f2ff3191","","","","","","1","individuals","","","","","","","","male","","","","","","",""
"","","","","","","a6e900b9d0fa77e2c785f26c155c2361","","","","","","","","","","6612a454631f6c02f4c4323aabe94226","","","","","","1","individuals","","","","","","","","male","","","","","","",""
"","","","","","","5ad7ee0e51c8b58d82d05e9eac0cae2a","","","","","","","","","","5ae43c1025633324c024acf3b44bd109","","","","","","1","individuals","","","","","","","","female","","","","","","",""
"","","","","","","2f3a01ebc4f16dad8b0a4fc4cc6f48fa","","","","","","","","","","78defa8d779cfbe35962d3d86f4b882c","","","","","","1","individuals","","","","","","","","male","","","","","","",""
"","","","","","","b273abd2e553f01475a966216f65e6da","","","","","","","","","egg","9486cfc2c622a14a1ed39c559fa41098","","","","","","1","individuals","","","","","","","","","","","","","","",""
"","","","","","","fb022665d7e7b50d9fe1c2679e1bf343","","","","","","","","","unknown","55bc2d9fbe09c5cd93ea17fb9f56f8a3","","","","","","1","individuals","","","","","","","","male","","","","","","",""
"","","","","","","b3949456d8eaf0d48480ea1a2e578374","","","","","","","","","","96507a54cd1dc2b7cf62c253f9028de0","","","","","","1","individuals","","","","","","","","female","","","","","","",""
"","","","","","","917d693421cf9e42ae836c078e92bacc","","","","","","","","","","0cd4870362fce3fdcee57ab8ffcfe00e","","","","","","1","individuals","","","","","","","","male","","","","","","",""
"","","","","","","520d3096003423bee04eddb55f873451","","","","","","","","","egg","fd5a6d92d91f8b51cd47bd3dd44f9256","","","","","","1","individuals","","","","","","","","","","","","","","",""
"","","","","","","a30e78815d9474aadd092bb56aa89d5e","","","","","","","","","juvenile","de2c788ae5dda135a0fc2620f648a0b4","","","","","","1","individuals","","","","","","","","male","","","","","","",""
"","","","","","","81bf9a95039423e7836d64e6542b0273","","","","","","","","","unknown","fffe8f8a8596383a3c1f90e9fc12dd1b","","","","","","1","individuals","","","","","","","","female","","","","","","",""
"","","","","","","81fbed52f62b082cf51095f6d52adbba","","","","","","","","","unknown","e73c8c24b61f7f0cb654cb5dc95ecd5c","","","","","","1","individuals","","","","","","","","female","","","","","","",""
