"RELATEDRESOURCEID","RELATEDRESOURCETYPE","RELATEDRESOURCETYPEIRI","RELATEDRESOURCETYPEVOCABULARY","RELATIONSHIPACCORDINGTO","RELATIONSHIPACCORDINGTOID","RELATIONSHIPEFFECTIVEDATE","RELATIONSHIPID","RELATIONSHIPORDER","RELATIONSHIPREMARKS","RELATIONSHIPTYPE","RELATIONSHIPTYPEIRI","RELATIONSHIPTYPEVOCABULARY","SUBJECTRESOURCEID","SUBJECTRESOURCETYPE","SUBJECTRESOURCETYPEIRI","SUBJECTRESOURCETYPEVOCABULARY"
"https://ror.org/0566bfb96","","","","DiSSCo Translator Service","https://doi.org/10.5281/zenodo.14379776","Tue Jan 28 09:51:35 CET 2025","1199170095","","","hasOrganisationID","","","https://doi.org/TEST/ZZZ-Y8V-0B4","MaterialEntity","",""
"https://hdl.handle.net/TEST/M03-RH1-TX1","","","","DiSSCo Translator Service","https://doi.org/10.5281/zenodo.14379776","Tue Jan 28 09:51:35 CET 2025","-2040481686","","","hasSourceSystemID","","","https://doi.org/TEST/ZZZ-Y8V-0B4","MaterialEntity","",""
"https://doi.org/21.T11148/894b1e6cad57e921764e","","","","DiSSCo Translator Service","https://doi.org/10.5281/zenodo.14379776","Tue Jan 28 09:51:35 CET 2025","-604678629","","","hasFDOType","","","https://doi.org/TEST/ZZZ-Y8V-0B4","MaterialEntity","",""
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1160257","","","","DiSSCo Translator Service","https://doi.org/10.5281/zenodo.14379776","Tue Jan 28 09:51:35 CET 2025","1646664175","","","hasPhysicalIdentifier","","","https://doi.org/TEST/ZZZ-Y8V-0B4","MaterialEntity","",""
"https://www.catalogueoflife.org/data/taxon/93RRH","","","","DiSSCo Name Usage Search Service","https://doi.org/10.5281/zenodo.14380476","Tue Jan 28 10:06:21 CET 2025","1572408453","","","hasCOLID","","","https://doi.org/TEST/ZZZ-Y8V-0B4","MaterialEntity","",""
"https://ror.org/0566bfb96","","","","DiSSCo Translator Service","https://doi.org/10.5281/zenodo.14379776","Tue Jan 28 09:49:43 CET 2025","1465031779","","","hasOrganisationID","","","https://doi.org/TEST/ZZZ-Y7F-49F","MaterialEntity","",""
"https://hdl.handle.net/TEST/M03-RH1-TX1","","","","DiSSCo Translator Service","https://doi.org/10.5281/zenodo.14379776","Tue Jan 28 09:49:43 CET 2025","-1774620002","","","hasSourceSystemID","","","https://doi.org/TEST/ZZZ-Y7F-49F","MaterialEntity","",""
"https://doi.org/21.T11148/894b1e6cad57e921764e","","","","DiSSCo Translator Service","https://doi.org/10.5281/zenodo.14379776","Tue Jan 28 09:49:43 CET 2025","-338816945","","","hasFDOType","","","https://doi.org/TEST/ZZZ-Y7F-49F","MaterialEntity","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1412535","","","","DiSSCo Translator Service","https://doi.org/10.5281/zenodo.14379776","Tue Jan 28 09:49:43 CET 2025","412045203","","","hasPhysicalIdentifier","","","https://doi.org/TEST/ZZZ-Y7F-49F","MaterialEntity","",""
"https://www.catalogueoflife.org/data/taxon/6CHPM","","","","DiSSCo Name Usage Search Service","https://doi.org/10.5281/zenodo.14380476","Tue Jan 28 09:50:06 CET 2025","668783583","","","hasCOLID","","","https://doi.org/TEST/ZZZ-Y7F-49F","MaterialEntity","",""
