tblUploadID,Country,Reporting_organisation,CruiseID
8308,"LV","3140","LV3140LAIZ1993"
8311,"LV","3140","LV314090MF1996"
8314,"LV","3140","LV314067BC2014"
8315,"LV","3140","LV314067BC2013"
8316,"LV","3140","LV3140LTDA2012"
8317,"LV","3140","LV314067BC2012"
8318,"LV","3140","LV314067BC2009"
8323,"LV","3140","LV3140LA992004"
8324,"LV","3140","LV3140LA992003"
8325,"LV","3140","LV3140LA992002"
8326,"LV","3140","LV3140LA992001"
8327,"LV","3140","LV3140LA992000"
8337,"SE","4484","SE448477SE2021"
8344,"PL","194","PL19467BC2021"
8345,"DE","101","DE10106AQ2019"
8346,"BE","1478","BE147811BU2022"
8355,"BE","1478","BE147811BU2023"
8356,"NL","1340","BE1340AA311986"
8357,"NL","1340","DE134006S11981"
8358,"NL","1340","DE134006DA1981"
8359,"NL","1340","DE134006W21991"
8360,"NL","1340","DK1340AA311986"
8361,"NL","1340","DK134026D41989"
8362,"NL","1340","DK134026D41983"
8363,"NL","1340","DK134026D41981"
8364,"NL","1340","DK134026D41984"
8365,"NL","1340","FR134035TH1981"
8367,"NL","1340","NO134026HK1991"
8368,"NL","1340","NO134058G21987"
8369,"NL","1340","NO134058EJ1983"
8370,"NL","1340","NO134058M21981"
8372,"NL","1340","NO134058EJ1986"
8373,"NL","1340","NO134058M21982"
8374,"NL","1340","NO134058G21982"
8375,"NL","1340","NO134058J21981"
8376,"NL","1340","NO134058G21981"
8377,"NL","1340","SE134077AR1991"
8379,"NL","1340","NL1340AA311983"
8380,"NL","1340","NL134064SS1988"
8382,"NL","1340","UNK1340AA311991"
8387,"NL","1340","GB-ENG1340AA311982"
8390,"NL","1340","GB-ENG134074CZ1982"
8391,"NL","1340","GB-ENG134074CZ1986"
8393,"NL","1340","GB-ENG134074CZ1987"
8395,"NL","1340","NL134064SS1991"
8397,"NL","1340","NL1340AA311981"
8398,"NL","1340","NO1340AA311981"
8399,"NL","1340","NO1340AA311980"
8400,"NL","1340","NO1340AA311986"
8401,"NL","1340","NO1340AA311987"
8402,"NL","1340","NO1340AA311991"
8403,"NL","1340","NL134064SS1986"
8404,"NL","1340","NL1340640D1983"
8405,"NL","1340","NL134064T21990"
8407,"NL","1340","GB-SCT1340747S1984"
8408,"NL","1340","GB-SCT1340747S1986"
8409,"NL","1340","GB-SCT1340747S1982"
8410,"NL","1340","GB-SCT1340747S1987"
8415,"NL","1340","NL134064T11990"
8416,"NL","1340","NL1340AA361986"
8417,"NL","1340","NL1340AA361989"
8418,"NL","1340","NL1340AA361991"
8419,"NL","1340","NL134064T11989"
8420,"NL","1340","NL134064T11980"
8422,"NL","1340","NL134064T11982"
8423,"NL","1340","NL134064T11985"
8424,"NL","1340","NL134064T11986"
8425,"NL","1340","NL134064T11987"
8426,"NL","1340","NL134064T11983"
8428,"NL","1340","NL134064T11982_a"
8429,"NL","1340","NL134064T11983_a"
8430,"NL","1340","NL134064T11985_a"
8431,"NL","1340","NL134064T11987_a"
8432,"NL","1340","NL134064T11988"
8435,"NL","1340","NL134064T21991_a"
8436,"NL","1340","NL1340AA311981_a"
8437,"NL","1340","NL1340AA311982"
8438,"NL","1340","NL1340AA311985"
8439,"NL","1340","NL1340AA311986"
8440,"NL","1340","NL1340AA361981"
8441,"NL","1340","NL1340AA361983"
8442,"NL","1340","NL134064SS1988_a"
8443,"NL","1340","NL134064SS1991_a"
8444,"NL","1340","NL134064SS1990_a"
8445,"NL","1340","NL134064SS1989"
8446,"NL","1340","NL1340AA361982"
8447,"NL","1340","NL1340AA311980"
8449,"NL","1340","GB-SCT134074EX1980"
8451,"NL","1340","GB-SCT134074EX1982"
8452,"NL","1340","GB-SCT134074EX1983"
8453,"NL","1340","UNK1340AA311982"
8455,"NL","1340","UNK1340AA311984"
8456,"NL","1340","UNK1340AA311985"
8459,"NL","1340","UNK1340AA311986"
