tblUploadID,tblHaulID,Ship,Gear,HaulNo,StationNumber,Year,Month,Day,Time,ShootLat,ShootLong,HaulLat,HaulLong,ICESrectangle,Depth,Survey,ICESDatabase,Notes
8308,6123,"LAIZ","LBT",7,"1",1993,3,25,"0400",55.5833,19.6167,,,"40G9",86,"","N",""
8308,6124,"LAIZ","LBT",8,"1",1993,3,25,"0710",55.5666,19.85,,,"40G9",84,"","N",""
8308,6125,"LAIZ","LBT",10,"1",1993,3,26,"0335",55.0833,19.5833,,,"39G9",92,"","N",""
8308,6126,"LAIZ","LBT",11,"1",1993,3,26,"0800",55.0666,19.8167,,,"39G9",65,"","N",""
8308,6127,"LAIZ","LBT",14,"1",1993,3,27,"0335",55.9166,19.35,,,"40G9",104,"","N",""
8308,6128,"LAIZ","LBT",15,"1",1993,3,27,"0755",55.1833,19.2333,,,"39G9",100,"","N",""
8308,6129,"LAIZ","LBT",16,"1",1993,3,27,"1145",55.35,19.3999,,,"39G9",92,"","N",""
8308,6130,"LAIZ","LBT",19,"1",1993,3,30,"0335",56.5499,20.2333,,,"42H0",95,"","N",""
8308,6131,"LAIZ","LBT",20,"1",1993,3,30,"1210",56.9833,20.7833,,,"42H0",53,"","N",""
8308,6132,"LAIZ","LBT",27,"1",1993,4,1,"0615",57.2,20.6666,,,"43H0",78,"","N",""
8308,6133,"LAIZ","LBT",28,"1",1993,4,1,"0900",57.2333,20.6167,,,"43H0",91,"","N",""
8308,6134,"LAIZ","LBT",29,"1",1993,4,1,"1100",57.2333,20.6167,,,"43H0",95,"","N",""
8308,6135,"LAIZ","LBT",30,"1",1993,4,2,"0910",56.8832,19.9332,,,"42G9",160,"","N",""
8308,6136,"LAIZ","LBT",31,"1",1993,4,3,"0335",56.5833,19.8999,,,"42G9",136,"","N",""
8308,6137,"LAIZ","LBT",32,"1",1993,4,3,"0830",56.3667,19.5333,,,"41G9",140,"","N",""
8308,6138,"LAIZ","LBT",33,"1",1993,4,3,"1200",56.2167,19.2333,,,"41G9",130,"","N",""
8308,6139,"LAIZ","LBT",36,"1",1993,4,4,"0335",56.5167,19.4499,,,"42G9",138,"","N",""
8311,6164,"90MF","DT",2,"1",1996,2,2,"0900",55.6,19.05,,,"40G9",89,"","Y",""
8311,6165,"90MF","DT",59,"1",1996,3,15,"0335",56.6332,20.4833,,,"42H0",76,"","Y",""
8311,6166,"90MF","DT",61,"1",1996,3,15,"1008",56.5167,20.2166,,,"42H0",98,"","Y",""
8311,6167,"90MF","DT",62,"1",1996,3,15,"1215",56.5499,20.2833,,,"42H0",90,"","Y",""
8311,6168,"90MF","DT",63,"1",1996,3,16,"0335",56.6167,20.5167,,,"42H0",74,"","Y",""
8311,6169,"90MF","DT",64,"1",1996,3,16,"0548",56.5167,20.25,,,"42H0",99,"","Y",""
8311,6170,"90MF","DT",65,"1",1996,3,16,"0820",56.4667,20.05,,,"41H0",93,"","Y",""
8311,6171,"90MF","DT",66,"1",1996,3,16,"1035",56.3999,19.8832,,,"41G9",99,"","Y",""
8311,6172,"90MF","DT",67,"1",1996,3,16,"1245",56.3999,20.0333,,,"41H0",80,"","Y",""
8311,6173,"90MF","DT",82,"1",1996,3,21,"0335",56.3999,19.8667,,,"41G9",94,"","Y",""
8311,6174,"90MF","DT",83,"1",1996,3,21,"0750",56.1,19.2833,,,"41G9",112,"","Y",""
8311,6175,"90MF","DT",84,"1",1996,3,22,"0335",56.0833,19.8333,,,"41G9",58,"","Y",""
8311,6176,"90MF","DT",85,"1",1996,3,22,"0500",56.0167,19.8,,,"41G9",56,"","Y",""
8311,6177,"90MF","DT",86,"1",1996,3,22,"1145",55.8832,19.0333,,,"40G9",112,"","Y",""
8314,6198,"67BC","TVL",16,"1",2014,3,11,"1110",57.3716,21.2549,,,"43H1",57,"","Y",""
8314,6199,"67BC","TVL",17,"1",2014,3,11,"1240",57.2717,21.1482,,,"43H1",60,"","Y",""
8314,6200,"67BC","TVL",19,"1",2014,3,12,"0635",57.2933,20.9933,,,"43H0",66,"","Y",""
8314,6201,"67BC","TVL",20,"1",2014,3,12,"0750",57.3066,20.9849,,,"43H0",65,"","Y",""
8314,6202,"67BC","TVL",21,"1",2014,3,12,"0910",57.3549,20.885,,,"43H0",62,"","Y",""
8314,6203,"67BC","TVL",27,"1",2014,3,13,"0715",56.6199,20.7083,,,"42H0",40,"","Y",""
8314,6204,"67BC","TVL",1,"1",2014,3,6,"1335",56.13,19.5749,,,"41G9",63,"","Y",""
8314,6205,"67BC","TVL",2,"1",2014,3,6,"1535",56.1916,19.4532,,,"41G9",102,"","Y",""
8314,6206,"67BC","TVL",7,"1",2014,3,8,"0800",56.13,19.875,,,"41G9",62,"","Y",""
8314,6207,"67BC","TVL",8,"1",2014,3,8,"1355",56.6332,20.4316,,,"42H0",76,"","Y",""
8314,6208,"67BC","TVL",10,"1",2014,3,9,"0710",58.0349,21.1033,,,"45H1",71,"","Y",""
8314,6209,"67BC","TVL",12,"1",2014,3,10,"1450",57.7867,21.3782,,,"44H1",72,"","Y",""
8314,6210,"67BC","TVL",13,"1",2014,3,11,"0600",57.5133,21.1017,,,"44H1",66,"","Y",""
8315,6211,"67BC","TVL",1,"2",2013,12,4,"0715",57.9249,21.5717,,,"44H1",53,"","Y",""
8315,6212,"67BC","TVL",1,"3",2013,10,9,"1440",56.1099,19.4166,,,"41G9",47,"","Y",""
