eventID	parentEventID	preferredEventName	eventCategory	eventType	datasetName	datasetID	fieldNumber	eventConductedBy	eventConductedByID	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	verbatimLocality	verbatimElevation	verbatimDepth	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	georeferenceVerificationStatus	habitat	eventEffort	fieldNotes	eventReferences	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	minimumElevationInMeters	maximumElevationInMeters	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedByID	georeferencedDate	georeferenceProtocol	georeferenceProtocolID	georeferenceSources	georeferenceRemarks	informationWithheld	dataGeneralizations	preferredSpatialRepresentation	projectID	projectTitle	fundingAttribution	fundingAttributionID	feedbackURL
008d13cd-df52-4214-b92f-e86669020252			Event	mixed						2012-06-26				2012	6	26																JUANSAB2							México		Chiapas		San Cristóbal de Las Casas	Barrio Juan Sabines	2130.0								16.709	92.6157																						
e4d2f0a0-64f8-4f23-9569-d2e005839f73			Event	mixed						2013-10-12				2013	10	12																MIA2							México		Chiapas		Oxchuc	Mukulwitz	1972.0								16.8019	92.32189																						
0d51d381-ac46-4c00-a568-7d3275ae6805			Event	mixed						2013-10-13				2013	10	13																MIB1							México		Chiapas		Oxchuc	Retiro	2231.0								16.78602	92.36719																						
5d9f2aa3-cf27-4c4a-bdf8-2f57ea667823			Event	mixed						2010-12-12				2010	12	12																SIBA							México		Chiapas		Ocosingo	Sibaca	1107.0								16.94469	92.18388																						
8e996b04-8b5f-44e6-b2a7-997d908e1c85			Event	mixed						2010-04-15				2010	4	15																ROSA							México		Chiapas		Ocosingo	Rosario	1118.0								16.88589	92.27417																						
8c3f605b-7cad-41e7-bd7b-2b872e658c6a			Event	mixed						2011-11-16				2011	11	16																SFA							México		Chiapas		La Trinitaria	San Francisco de Asís	767.0								16.0118	92.0267																						
10fbb468-f538-4d27-a56a-b96d4809f22d			Event	mixed						2010-05-01				2010	5	1																PINA							Guatemala		Huehuetenango		La Democracia	Pinalito	963.0								15.6653	91.8618																						
d91eb638-efb2-4895-a22e-7e05972b269f			Event	mixed						2013-10-13				2013	10	13																MIB1							México		Chiapas		Oxchuc	Retiro	2231.0								16.78602	92.36719																						
0da76970-0eb7-461f-b2eb-1ae1937cdc16			Event	mixed						2010-04-08				2010	4	8																CHIC							México		Chiapas		San Juan Cancuc	Chicja	1170.0								16.9024	92.3595																						
408d67d5-7f7b-4be0-baef-7d5ee404e2f9			Event	mixed						2010-04-14				2010	4	14																PLAN							México		Chiapas		Ocosingo	Ocosingo	880.0								16.89199	92.08374																						
