id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name,field:plant or pollinator?,field:link key? required,field:associated observation,field:interaction->visited flower of,field:interaction->flower visited by
1782033,9da7d6ee-cd01-477e-8efe-f9dfb1c36255,2015-04-21,2015-04-21,,Eastern Time (US & Canada),109975,dkaposi,David Kaposi,2015-07-20 03:49:24 UTC,2021-05-23 15:42:21 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1782033,https://inaturalist-open-data.s3.amazonaws.com/photos/2156910/medium.jpg,,"","",2,0,false,,Franklin Canyon Park,34.121504,-118.408692,101,,,,101,,open,false,,manual,,Los Angeles,California,United States,California,Los Angeles,Anna's Hummingbird,Calypte anna,Anna's Hummingbird,Aves,6317,Animalia,Chordata,Vertebrata,,Aves,,,Apodiformes,,,Trochilidae,Trochilinae,,Mellisugini,,Calypte,,Calypte anna,,,,,pollinator,,https://inaturalist.ca/observations/1784617,Nicotiana glauca,
1784617,487dda55-d6ea-4b62-be41-77cba8cfa6eb,2015-04-21,2015-04-21,,Pacific Time (US & Canada),109975,dkaposi,David Kaposi,2015-07-21 00:47:38 UTC,2020-12-19 19:57:26 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1784617,https://inaturalist-open-data.s3.amazonaws.com/photos/2160291/medium.jpg,,"","",4,0,false,,Franklin Canyon Park,34.121131,-118.408735,2540,,,,2540,,,false,,manual,,Los Angeles,California,United States,California,Los Angeles,tree tobacco,Nicotiana glauca,tree tobacco,Plantae,58334,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,Solanaceae,Nicotianoideae,,,,Nicotiana,,Nicotiana glauca,,,,,plant,,https://inaturalist.ca/observations/1782033,,Calypte anna
3069262,114c5b94-4862-4b09-aa22-88c78325162a,2016-04-26 18:28:01,2016-04-26,2016-04-26 22:28:01 UTC,Eastern Time (US & Canada),109975,dkaposi,David Kaposi,2016-05-01 02:06:06 UTC,2020-12-11 03:38:19 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3069262,https://inaturalist-open-data.s3.amazonaws.com/photos/3536791/medium.jpg,,"","",1,0,false,,"Franklin Canyon Park, Chaparral Trail",34.12533,-118.407039,,,,,,,,false,,manual,,Los Angeles,California,United States,California,Los Angeles,Checkered White,Pontia protodice,Checkered White,Insecta,59119,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Pieridae,Pierinae,,Pierini,Pierina,Pontia,,Pontia protodice,,,,,pollinator,,https://inaturalist.ca/observations/3073482,Encelia californica,
3069266,72aaf32a-c8e3-4692-8f08-cbfeff8c057e,2016-04-26 19:13:53,2016-04-26,2016-04-26 23:13:53 UTC,Eastern Time (US & Canada),109975,dkaposi,David Kaposi,2016-05-01 02:06:10 UTC,2020-12-11 03:43:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3069266,https://static.inaturalist.org/photos/3536795/medium.jpg,,"","",3,0,false,,"Franklin Canyon Park, Chaparral Trail",34.123536,-118.406245,,,,,,,,false,,manual,,Los Angeles,California,United States,California,Los Angeles,Gray Hairstreak,Strymon melinus,Gray Hairstreak,Insecta,50931,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Theclinae,,Eumaeini,Strymonina,Strymon,,Strymon melinus,,,,,pollinator,,https://inaturalist.ca/observations/15384206,Eriogonum fasciculatum,
3073482,abb76732-2cc6-4199-a4f3-9ff3ab42941b,2016-04-26 18:28:01,2016-04-26,2016-04-26 22:28:01 UTC,Eastern Time (US & Canada),109975,dkaposi,David Kaposi,2016-05-01 17:59:51 UTC,2024-12-27 11:50:18 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3073482,https://inaturalist-open-data.s3.amazonaws.com/photos/3545284/medium.jpg,,"",,1,0,false,,"Franklin Canyon Park, Chaparral Trail",34.123447,-118.405451,,,,,,,,false,,,,Los Angeles,California,United States,California,Los Angeles,Duskywings,Encelia californica,California brittlebush,Plantae,64141,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Heliantheae,Enceliinae,Encelia,,Encelia californica,,,,,plant,,https://inaturalist.ca/observations/3069262,,Pontia protodice
3687769,624df93b-172a-415a-a325-d2fe559f0a2e,2016/07/16 8:14 AM PDT,2016-07-16,2016-07-16 15:14:00 UTC,Pacific Time (US & Canada),52839,glmory,Jesse Rorabaugh,2016-07-16 19:29:16 UTC,2023-11-27 23:22:32 UTC,research,CC0,http://www.inaturalist.org/observations/3687769,https://inaturalist-open-data.s3.amazonaws.com/photos/4277219/medium.jpg,,"",,3,0,false,,"Turnbull Canyon Open Space, Los Angeles, California, United States",33.9892266667,-118.0174016667,,,,,,,open,false,,,,Los Angeles,California,United States,California,Los Angeles,Sonoran Bumble Bee,Bombus sonorus,Sonoran Bumble Bee,Insecta,57690,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,,Bombus sonorus,,,,,plant,,https://www.inaturalist.org/observations/3687750,Helminthotheca echioides,
4639045,d2349a73-b770-4909-a9f1-8f48e301605b,2016/11/25 11:49 AM PST,2016-11-25,2016-11-25 19:49:00 UTC,Pacific Time (US & Canada),121050,rozhelfand,Rosalind Helfand,2016-11-26 04:42:04 UTC,2020-06-15 18:49:34 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4639045,https://inaturalist-open-data.s3.amazonaws.com/photos/5614905/medium.jpg,,"","",1,0,false,,"South Los Angeles, Los Angeles, CA, USA",34.0177036956,-118.2886200962,28,,,,28,,,false,,,,Los Angeles,California,United States,California,Los Angeles,Cloudless Sulphur,Phoebis sennae,Cloudless Sulphur,Insecta,48550,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Pieridae,Coliadinae,,Coliadini,Callidryina,Phoebis,,Phoebis sennae,,,,,pollinator,,,,
4995616,7b9bd25c-2502-44e4-88ec-b922127be84f,2017/01/21 12:28 PM PST,2017-01-21,2017-01-21 20:28:00 UTC,Pacific Time (US & Canada),121050,rozhelfand,Rosalind Helfand,2017-01-23 19:21:28 UTC,2020-06-15 18:48:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4995616,https://inaturalist-open-data.s3.amazonaws.com/photos/6105218/medium.jpg,,"",Looks like a female Anna's Hummingbird in the side gardens at Grand Park as people came through for Women's March L.A.!,2,0,false,,"Central LA, Los Angeles, CA, USA",34.0556183584,-118.2447606325,8,,,,8,,open,false,,,,Los Angeles,California,United States,California,Los Angeles,Anna's Hummingbird,Calypte anna,Anna's Hummingbird,Aves,6317,Animalia,Chordata,Vertebrata,,Aves,,,Apodiformes,,,Trochilidae,Trochilinae,,Mellisugini,,Calypte,,Calypte anna,,,,,pollinator,,,,
6159394,0fe77917-b63e-4e2b-89ac-df29134ec58b,2017/04/27 5:07 PM EDT,2017-04-27,2017-04-27 21:07:00 UTC,Eastern Time (US & Canada),109975,dkaposi,David Kaposi,2017-05-10 11:52:57 UTC,2021-03-07 13:04:12 UTC,research,CC-BY-NC,http://inaturalist.ca/observations/6159394,https://inaturalist-open-data.s3.amazonaws.com/photos/7722979/medium.jpg,,"2017, Franklin Canyon, Santa Monica Mountains",,2,0,false,,"Franklin Canyon Park, Los Angeles, CA, USA",34.1213975264,-118.4075117111,150,,,,150,,,false,,,,Los Angeles,California,United States,California,Los Angeles,Buckwheat Root Borer,Synanthedon polygoni,Buckwheat Root Borer Moth,Insecta,361851,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Cossoidea,Sesiidae,Sesiinae,,Synanthedonini,,Synanthedon,,Synanthedon polygoni,,,,,pollinator,,https://inaturalist.ca/observations/66404606,Eriogonum fasciculatum,
6166211,7c4a23c7-c318-4f9d-834f-f3dbcd700284,2017/04/27 4:34 PM EDT,2017-04-27,2017-04-27 20:34:00 UTC,Eastern Time (US & Canada),109975,dkaposi,David Kaposi,2017-05-11 01:22:15 UTC,2021-01-30 04:34:03 UTC,research,CC-BY-NC,http://inaturalist.ca/observations/6166211,https://inaturalist-open-data.s3.amazonaws.com/photos/7732852/medium.jpg,,"2017, Franklin Canyon, Santa Monica Mountains",,2,0,false,,"Franklin Canyon Park, Los Angeles, CA, USA",34.1232449365,-118.4072649479,150,,,,150,,,false,,,,Los Angeles,California,United States,California,Los Angeles,Bernardino Blue,Euphilotes bernardino,Bernardino Blue,Insecta,59159,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,,Polyommatini,Scolitantidina,Euphilotes,,Euphilotes bernardino,,,,,pollinator,dkaposi,https://www.inaturalist.org/observations/66404606,Eriogonum fasciculatum,
