event_id	parent_event_id	preferred_event_name	event_category	event_type	dataset_name	dataset_id	field_number	event_conducted_by	event_conducted_by_id	event_date	event_time	start_day_of_year	end_day_of_year	year	month	day	verbatim_event_date	verbatim_locality	verbatim_elevation	verbatim_depth	verbatim_coordinates	verbatim_latitude	verbatim_longitude	verbatim_coordinate_system	verbatim_srs	georeference_verification_status	habitat	event_effort	field_notes	event_references	event_remarks	location_id	higher_geography_id	higher_geography	continent	water_body	island_group	island	country	country_code	state_province	county	municipality	locality	site_number	minimum_elevation_in_meters	maximum_elevation_in_meters	vertical_datum	minimum_depth_in_meters	maximum_depth_in_meters	minimum_distance_above_surface_in_meters	maximum_distance_above_surface_in_meters	location_remarks	decimal_latitude	decimal_longitude	geodetic_datum	coordinate_uncertainty_in_meters	coordinate_precision	point_radius_spatial_fit	footprint_wkt	footprint_srs	footprint_spatial_fit	georeferenced_by	georeferenced_by_id	georeferenced_date	georeference_protocol	georeference_protocol_id	georeference_sources	georeference_remarks	preferred_spatial_representation	geological_context_id	feedback_url	information_withheld	data_generalizations
https://www.inaturalist.org/projects/california-pollination-project		California Pollination Project	observation	iNaturalist Project				iNaturalist	https://www.inaturalist.org																														United States	US	California																																	
9da7d6ee-cd01-477e-8efe-f9dfb1c36255	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			David Kaposi	109975								2015-04-21	Franklin Canyon Park																					United States		California	Los Angeles		Franklin Canyon Park										34.121504	-118.408692	epsg:4326	101								2015-04-21	manual				point-radius				
487dda55-d6ea-4b62-be41-77cba8cfa6eb	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			David Kaposi	109975								2015-04-21	Franklin Canyon Park																					United States		California	Los Angeles		Franklin Canyon Park										34.121131	-118.408735	epsg:4326	2540								2015-04-21	manual				point-radius				
114c5b94-4862-4b09-aa22-88c78325162a	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			David Kaposi	109975	2016-04-26T22:28:01Z	22:28:01			2016	4	26	2016-04-26 18:28:01	Franklin Canyon Park, Chaparral Trail																					United States		California	Los Angeles		Franklin Canyon Park, Chaparral Trail										34.12533	-118.407039	epsg:4326									2016-04-26	manual				point-radius				
72aaf32a-c8e3-4692-8f08-cbfeff8c057e	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			David Kaposi	109975	2016-04-26T23:13:53Z	23:13:53			2016	4	26	2016-04-26 19:13:53	Franklin Canyon Park, Chaparral Trail																					United States		California	Los Angeles		Franklin Canyon Park, Chaparral Trail										34.123536	-118.406245	epsg:4326									2016-04-26	manual				point-radius				
abb76732-2cc6-4199-a4f3-9ff3ab42941b	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			David Kaposi	109975	2016-04-26T22:28:01Z	22:28:01			2016	4	26	2016-04-26 18:28:01	Franklin Canyon Park, Chaparral Trail																					United States		California	Los Angeles		Franklin Canyon Park, Chaparral Trail										34.123447	-118.405451	epsg:4326									2016-04-26					point-radius				
624df93b-172a-415a-a325-d2fe559f0a2e	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Jesse Rorabaugh	52839	2016-07-16T15:14:00Z	15:14:00			2016	7	16	2016/07/16 8:14 AM PDT	Turnbull Canyon Open Space, Los Angeles, California, United States																					United States		California	Los Angeles		Turnbull Canyon Open Space, Los Angeles, California, United States										33.9892266667	-118.0174016667	epsg:4326									2016-07-16					point-radius				
d2349a73-b770-4909-a9f1-8f48e301605b	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Rosalind Helfand	121050	2016-11-25T19:49:00Z	19:49:00			2016	11	25	2016/11/25 11:49 AM PST	South Los Angeles, Los Angeles, CA, USA																					United States		California	Los Angeles		South Los Angeles, Los Angeles, CA, USA										34.0177036956	-118.2886200962	epsg:4326	28								2016-11-25					point-radius				
7b9bd25c-2502-44e4-88ec-b922127be84f	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Rosalind Helfand	121050	2017-01-21T20:28:00Z	20:28:00			2017	1	21	2017/01/21 12:28 PM PST	Central LA, Los Angeles, CA, USA																					United States		California	Los Angeles		Central LA, Los Angeles, CA, USA										34.0556183584	-118.2447606325	epsg:4326	8								2017-01-21					point-radius				
0fe77917-b63e-4e2b-89ac-df29134ec58b	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			David Kaposi	109975	2017-04-27T21:07:00Z	21:07:00			2017	4	27	2017/04/27 5:07 PM EDT	Franklin Canyon Park, Los Angeles, CA, USA																					United States		California	Los Angeles		Franklin Canyon Park, Los Angeles, CA, USA										34.1213975264	-118.4075117111	epsg:4326	150								2017-04-27					point-radius				
7c4a23c7-c318-4f9d-834f-f3dbcd700284	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			David Kaposi	109975	2017-04-27T20:34:00Z	20:34:00			2017	4	27	2017/04/27 4:34 PM EDT	Franklin Canyon Park, Los Angeles, CA, USA																					United States		California	Los Angeles		Franklin Canyon Park, Los Angeles, CA, USA										34.1232449365	-118.4072649479	epsg:4326	150								2017-04-27					point-radius				
d8aefedc-9f95-455c-96ce-03b380f7792d	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Rosalind Helfand	121050	2018-05-07T02:19:00Z	02:19:00			2018	5	7	2018/05/06 7:19 PM PDT	Grand Central, Glendale, CA 91201, USA																					United States		California	Los Angeles	Glendale	Grand Central, Glendale, CA 91201, USA										34.1603873126	-118.2876684518	epsg:4326	2								2018-05-06					point-radius				
bb9d2c43-be39-4ed8-b2be-859aaec2ab8f	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Rosalind Helfand	121050	2018-05-05T21:56:00Z	21:56:00			2018	5	5	2018/05/05 2:56 PM PDT	Los Angeles County, CA, USA																					United States		California	Los Angeles		Los Angeles County, CA, USA										34.3424929708	-118.5473241152	epsg:4326	20								2018-05-05					point-radius				
eba7da9c-d737-4f63-ba9d-78999811423f	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Rosalind Helfand	121050	2018-04-29T21:45:00Z	21:45:00			2018	4	29	2018/04/29 2:45 PM PDT	Verdugo Mountains, Glendale, CA, USA																					United States		California	Los Angeles	Glendale	Verdugo Mountains, Glendale, CA, USA										34.1883763078	-118.2747095254	epsg:4326	11								2018-04-29					point-radius				
2aefa2d7-8253-43b1-8ee6-8302692c7506	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			David Kaposi	109975	2016-04-26T23:13:53Z	23:13:53			2016	4	26	2016-04-26 19:13:53	Franklin Canyon Park, Chaparral Trail																					United States		California	Los Angeles		Franklin Canyon Park, Chaparral Trail										34.123536	-118.406245	epsg:4326									2016-04-26					point-radius				
