identification_id	material_entity_id	media_id	nucleotide_analysis_id	nucleotide_sequence_id	occurrence_id	organism_id	verbatim_identification	is_accepted_identification	taxon_formula	type_status	type_designation_type	identified_by	identified_by_id	date_identified	identification_references	taxon_assignment_method	identification_verification_status	identification_remarks	taxon_id	scientific_name_id	geo_classification_code	geo_name	scientific_name	scientific_name_authorship	vernacular_name	taxon_rank	external_classification_source	kingdom	phylum	class	order	family	subfamily	genus	generic_name	subgenus	infrageneric_epithet	specific_epithet	infraspecific_epithet	cultivar_epithet	name_according_to	nomenclatural_code	nomenclatural_status	name_published_in	name_published_in_year	taxon_remarks	feedback_url
6dc5c914-26cf-44a8-81c5-0272d3c0cae0		https://inaturalist-open-data.s3.amazonaws.com/photos/2156910/medium.jpg					Anna's Hummingbird	true	A			David Kaposi	109975	2015-07-20 03:49:24 UTC									Calypte anna		Anna's Hummingbird			Animalia	Chordata	Aves	Apodiformes	Trochilidae	Trochilinae	Calypte	Calypte												
7287d0e8-f41d-4941-b6e6-8d7ae18d6998		https://inaturalist-open-data.s3.amazonaws.com/photos/2160291/medium.jpg					tree tobacco	true	A			David Kaposi	109975	2015-07-21 00:47:38 UTC									Nicotiana glauca		tree tobacco			Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Nicotianoideae	Nicotiana	Nicotiana												
305e8f42-72b3-4ff4-ac85-6fcdb4ad1a64		https://inaturalist-open-data.s3.amazonaws.com/photos/3536791/medium.jpg					Checkered White	true	A			David Kaposi	109975	2016-05-01 02:06:06 UTC									Pontia protodice		Checkered White			Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pierinae	Pontia	Pontia												
e160567b-cee9-4b1c-be3e-7157ed7171e8		https://static.inaturalist.org/photos/3536795/medium.jpg					Gray Hairstreak	true	A			David Kaposi	109975	2016-05-01 02:06:10 UTC									Strymon melinus		Gray Hairstreak			Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Theclinae	Strymon	Strymon												
23dc2801-fb8c-4593-b4d1-eafec298abc6		https://inaturalist-open-data.s3.amazonaws.com/photos/3545284/medium.jpg					Duskywings	true	A			David Kaposi	109975	2016-05-01 17:59:51 UTC									Encelia californica		California brittlebush			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Encelia	Encelia												
5fcfc6bd-587d-4abd-bbea-e624df518afc		https://inaturalist-open-data.s3.amazonaws.com/photos/4277219/medium.jpg					Sonoran Bumble Bee	true	A			Jesse Rorabaugh	52839	2016-07-16 19:29:16 UTC									Bombus sonorus		Sonoran Bumble Bee			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apinae	Bombus	Bombus												
b976331f-5cd8-48ec-b153-7b3c955ece04		https://inaturalist-open-data.s3.amazonaws.com/photos/5614905/medium.jpg					Cloudless Sulphur	true	A			Rosalind Helfand	121050	2016-11-26 04:42:04 UTC									Phoebis sennae		Cloudless Sulphur			Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Coliadinae	Phoebis	Phoebis												
23fb56c9-8a42-400b-9f0b-a0aa6f3d8a6d		https://inaturalist-open-data.s3.amazonaws.com/photos/6105218/medium.jpg					Anna's Hummingbird	true	A			Rosalind Helfand	121050	2017-01-23 19:21:28 UTC									Calypte anna		Anna's Hummingbird			Animalia	Chordata	Aves	Apodiformes	Trochilidae	Trochilinae	Calypte	Calypte												
1da05904-d9c6-4e68-859b-187ff557b343		https://inaturalist-open-data.s3.amazonaws.com/photos/7722979/medium.jpg					Buckwheat Root Borer	true	A			David Kaposi	109975	2017-05-10 11:52:57 UTC									Synanthedon polygoni		Buckwheat Root Borer Moth			Animalia	Arthropoda	Insecta	Lepidoptera	Sesiidae	Sesiinae	Synanthedon	Synanthedon												
0c5986b1-d052-4b73-adc6-6b2236eeae58		https://inaturalist-open-data.s3.amazonaws.com/photos/7732852/medium.jpg					Bernardino Blue	true	A			David Kaposi	109975	2017-05-11 01:22:15 UTC									Euphilotes bernardino		Bernardino Blue			Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Polyommatinae	Euphilotes	Euphilotes												
89aa95a7-f214-402e-b6a4-8f9fb2a06c07		https://inaturalist-open-data.s3.amazonaws.com/photos/17593582/medium.jpg					Valley Carpenter Bee	true	A			Rosalind Helfand	121050	2018-05-07 18:58:20 UTC									Xylocopa sonorina		Valley Carpenter Bee			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Xylocopinae	Xylocopa	Xylocopa												
