"uid","domainID","siteID","namedLocation","passStartTime","passEndTime","eventID","passNumber","specimenNumber","taxonID","scientificName","taxonRank","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","fishTotalLength","fishWeight","delt","efMortality","efInjury","fishLifeStage","sampleTypeCollected","voucherSampleID","dnaSampleID","identifiedBy","remarks","publicationDate","release"
"b719a3ba-ce7f-4380-9727-a38da9230ad6","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,16,"SALTRU","Salmo trutta","species",NA,NA,NA,116,12,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"c450cb21-46ef-429d-8aa8-a1cda5b70aac","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,1,"SALTRU","Salmo trutta","species",NA,NA,NA,221,105,NA,NA,NA,"adult","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"49391f40-cafc-43de-87d9-ca21a7631151","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,17,"SALTRU","Salmo trutta","species",NA,NA,NA,108,12,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"4d01419b-d052-44c8-899f-68c150396af8","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,20,"SALSP2","Salmonidae sp.","family",NA,NA,NA,91,6,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"a7ff2504-e8cc-471a-acba-bf971f1d4f83","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,18,"SALTRU","Salmo trutta","species",NA,NA,NA,118,18,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"5256b27a-c751-4c55-b390-58cce3e98751","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,13,"SALTRU","Salmo trutta","species",NA,NA,NA,125,16,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"8601b4d5-0674-43eb-8042-3a47759c02bd","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,21,"SALTRU","Salmo trutta","species",NA,NA,NA,136,25,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"22cda7c6-7a20-4410-9892-6aed8a7bd182","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,7,"SALTRU","Salmo trutta","species",NA,NA,NA,105,12,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"99b9b04a-d824-4568-816f-df8665f98f39","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,14,"SALSP2","Salmonidae sp.","family",NA,NA,NA,99,8,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"523a6343-53df-4123-bfdb-18b5b0464fa9","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,2,"SALTRU","Salmo trutta","species",NA,NA,NA,114,16,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"6a76c175-939b-4890-abc1-5eca299c3c40","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,9,"SALSP2","Salmonidae sp.","family",NA,NA,NA,117,16,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
