"measurementID","occurrenceID","measurementType","measurementValue","measurementUnit","eventID"
"0023d3123f88e18f849c761aa9ef6333","9f69603d-c607-44da-8ffa-8bf7ef5ac8d7","Live weight as measured in the field","0.3","gram",NA
"003a7456e8137ac30de75001c1adbae4","dcfda8f8-9877-4933-b186-5d1aef14b601","Live weight as measured in the field","57","gram",NA
"003ec0c57d7212fca623c399b04623d5","eb75b3a8-5dd7-4b30-9bde-39ab31007ff6","Number of the specimen","22",NA,NA
"0043213d116315a8db4a87129107528f",NA,"Duty cycle at the end of data collection for the second electrofisher","25","percent","BIGC.20190425.08.1.e-fisher"
"0061d0fd7cc21a4d1ba3ad523f25b808","3b1e62a6-0c48-4c2f-8d2a-9ec2cf96dc90","Live weight as measured in the field","17","gram",NA
"0067942333b0f7e09ebe29d07cf76ab2","cf2e00a3-0e50-41a6-b5c1-dd0fd6507a27","Length of the specimen","79","millimeter",NA
"007a8684b26643321b0b8d097c0a8394","57755cc5-18c0-4ff6-954d-4eceda0f7eb0","Live weight as measured in the field","118","gram",NA
"007f9737915504e85660c37f0b0aeb63","0db30263-34b7-432a-8743-14ca20bc5e20","Number of the specimen","1",NA,NA
"00deadb8c00fad921f2132ab6a88d49d","aa62b9f4-b88d-46b7-9cd6-52599256e478","Length of the specimen","206","millimeter",NA
"00e0330e6b3c469985885bd8477238a2","26a7b673-c6cf-4b76-a798-8f4f12ba0c3b","Number of the specimen","7",NA,NA
"016a79738897ed9e2f5e7d1903a307da","f940e981-e1bf-4904-bd1a-ee0a53ff468c","Number of the specimen","2",NA,NA
"01818c4ef69d7b7dc7d62e56c172fcbc","946dd145-9e0b-4466-aa3f-1441806a2323","Number of the specimen","6",NA,NA
"0184d1b00003d3ee6a56ff915044016a","33a38301-f1f2-4a06-a72b-1cca7d525395","Number of the specimen","10",NA,NA
"018eeb3ce4429721736db5964c7582cc","9c2c8ee1-3d38-4ada-afb1-cac8d7e9251f","Length of the specimen","120","millimeter",NA
"01bc804098975873473aa5027f8bf95b","c152696c-c25f-4a69-99ab-0fc59f945dcc","Length of the specimen","91","millimeter",NA
"01ce7f0e7cb21d22c56fcf37d8d15c13","6f284bf9-3c4d-4b8f-901f-3bcc1113e508","Number of the specimen","28",NA,NA
"01eed689f490f8c8ac5b4620a920fc15","62f76887-6388-438e-b36a-3db006eef1c2","Length of the specimen","186","millimeter",NA
"027ebc7c4246a328778ec7021defbb2b","150ea9eb-cd97-4ce2-afd1-83dfaede8205","Number of the specimen","40",NA,NA
"02ebf957a5493b8bcc80d16b9f1dd016","b2f88573-a992-4815-b099-c307f8f1754d","Length of the specimen","161","millimeter",NA
"03151e7386ee4a7afacf3df3ef087483","6c9d6094-bbc7-461e-b456-3fc12a8c8b78","Length of the specimen","136","millimeter",NA
"03224264fc2c2d230d222151d53ff2fa","9b8aa7b3-fe5d-46d8-a525-ea5a40bc32ba","Length of the specimen","72","millimeter",NA
"035af3e6d0703b4fa3cb849d0f984995","a1125fcf-524a-4255-baf5-6a816fc8a8ea","Number of the specimen","4",NA,NA
"0381ae5c3e192fc7d927aa494d9793a0","092a8f33-33a1-4fe2-a596-fa315568e04b","Live weight as measured in the field","14","gram",NA
"03cdff7f807829be13d2f553609b12bb","304273ab-b150-41fb-9b31-114b0a102645","Number of the specimen","7",NA,NA
"03dc0b66a66fc9776b19b8b2257b591a",NA,"Temperature of water","9.3","degrees Celsius","BIGC.20191022.04.1.e-fisher"
"03efd688897805bf47ed6141fd68ae24","6eddaad7-42dd-4fec-affb-1900a5c39724","Live weight as measured in the field","16","gram",NA
"0421494026bf912a7b9047f59512812e","9f69603d-c607-44da-8ffa-8bf7ef5ac8d7","Number of the specimen","21",NA,NA
"042f908d7640ee997803d0ac1061f70e","e23f210d-c957-4d98-9c01-7ecc0fd0a072","Number of the specimen","41",NA,NA
"0447ba16da625b4a62a22fb25e8be2a2","7a450e4c-5788-4916-97fa-f2687fae2300","Length of the specimen","141","millimeter",NA
"0494b53dd9c626f99dbe38a97f40a671","bad7eda1-c638-4786-9e9b-8b71672c1430","Length of the specimen","80","millimeter",NA
"04968c9150bd513ea9e2f9494c174ea1","bd39f601-a9dc-4d45-81d0-07decf295938","Length of the specimen","24","millimeter",NA
"04ecb4ae7a10f10edfb5f75ed6959c98",NA,"Conductivity auto-corrected to 25 degrees C","230.6","microsiemensPerCentimeter","BIGC.20191022.04.1.e-fisher"
"0505bd322a8951f9a75fbe5a40aa90e2",NA,"Conductivity auto-corrected to 25 degrees C","76.5","microsiemensPerCentimeter","BIGC.20190423.04.3.e-fisher"
"0575496bca8d85ac0f72e923bd512cbf","3687e9be-17cc-4255-979d-b1a3c2871d95","Number of the specimen","21",NA,NA
"05794d696bb293f5f21d5f2ce5cf7946",NA,"Dissolved Oxygen Concentration","9","milligramsPerLiter","BIGC.20190423.04.3.e-fisher"
"0583840c97ef065ccc73c05d48692719","d33d4fa8-9be6-4a6c-9bbf-10db6b2f6d23","Number of the specimen","19",NA,NA
"059b91409dacc7ef7597e282687121d0","83c0259a-76b4-4141-afa4-6b0f58142e9e","Length of the specimen","83","millimeter",NA
"059f7178b5e8ff5ec62e479c14acba1a",NA,"Temperature of water","11.7","degrees Celsius","BIGC.20190422.01.2.e-fisher"
