"occurrenceID","eventID","basisOfRecord","taxonID","scientificName","identificationQualifier","identifiedByID","occurrenceRemarks","individualCount","occurrenceStatus","taxonRank","lifeStage","otherCatalogNumbers","preparations"
"004b1d79-1662-4c08-8617-f4843ebe73b6","BIGC.20190424.05.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0003-3756-1381",NA,1,"present","species","juvenile",NA,NA
"0053f79d-f1bf-4732-a236-1d7d795a30ac","BIGC.20191021.01.2.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"005ccdeb-cb22-4256-ab6c-377c4a5f3286","BIGC.20191021.01.3.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","young of year",NA,NA
"0079055e-1f65-420c-b789-edac97a42c3f","BIGC.20190422.01.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"00d2603e-6bc7-4853-9900-6ef30da228bb","BIGC.20190425.08.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"010d6651-28bb-4ec9-bf5f-9aa63477ef87","BIGC.20190423.04.2.e-fisher","HumanObservation","OTHE","Chordata sp.","cf. genus","https://orcid.org/0000-0001-7072-0706",NA,1,"present","phylum","young of year",NA,NA
"0121eb6e-ec34-4dd0-83e7-c6fc3c4149cc","BIGC.20191023.07.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","young of year",NA,NA
"01236d07-b824-490a-ab3d-44ce351e237b","BIGC.20190424.07.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"02c14d66-70d7-4a68-919c-597714490f7f","BIGC.20191023.05.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","adult",NA,NA
"02d94c46-1b9d-4cc1-9879-7c52ba2ceab9","BIGC.20191024.08.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"03253363-2a62-444b-9e1a-7c6b9b41d4a2","BIGC.20191024.09.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"03603582-ae8f-4710-a2b3-7fe703d93834","BIGC.20190425.09.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","adult",NA,NA
"0454aa13-93c1-41c4-9f4f-6d96420d7b25","BIGC.20190424.05.1.e-fisher","HumanObservation","SALSP2","Salmonidae sp.",NA,"https://orcid.org/0000-0003-3756-1381",NA,1,"present","family","juvenile",NA,NA
"04919cd6-c8b3-4284-81e1-35182938f8ad","BIGC.20190422.01.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","adult",NA,NA
"04da25b3-6089-49c3-8704-a7662569024c","BIGC.20191023.07.2.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","young of year",NA,NA
"0528554b-9eb3-4e64-b08d-272285c857b5","BIGC.20191022.04.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","adult",NA,NA
"0638c380-9ce9-4e72-9471-0a3548b13bbf","BIGC.20191022.04.3.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"067b44c6-bae0-4b8f-b116-38615a2839e7","BIGC.20191022.04.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"07a567c7-c6c5-4fcf-88a0-64c7fbc2dc8e","BIGC.20190424.07.2.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"0884a357-1344-4cd7-979d-05592e664603","BIGC.20191024.09.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","adult",NA,NA
"088d725b-4723-4503-aa50-ac647cda26e1","BIGC.20190422.01.1.e-fisher","PreservedSpecimen","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile","FSH.BIGC.01.20190422.1.0027","voucher sample only"
"08adc40a-78ea-4cab-8d6b-f7a5d53e83c0","BIGC.20190423.04.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"092a8f33-33a1-4fe2-a596-fa315568e04b","BIGC.20190424.05.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0003-3756-1381",NA,1,"present","species","juvenile",NA,NA
"093f94b2-1602-4ad9-9b82-5c9782ef2bf4","BIGC.20191023.05.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"09b85f98-bc96-429b-98ed-8710ca4de430","BIGC.20191023.07.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","young of year",NA,NA
"09c9bf93-9010-4284-b074-0de82e5ce506","BIGC.20191022.04.2.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"0a0f1119-efb3-4d3d-897d-138c8a429fd7","BIGC.20190425.09.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"0b438113-51b2-455f-8692-2bc7beaae39b","BIGC.20190425.09.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"0b77a648-6cf7-4fa8-9ece-ee28a2b17ca6","BIGC.20190424.07.2.e-fisher","HumanObservation","OTHE","Chordata sp.",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","phylum","young of year",NA,NA
"0b7e19f1-d50e-4eda-8776-3688d799dece","BIGC.20191023.07.1.e-fisher","HumanObservation","SALSP2","Salmonidae sp.",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","family","adult",NA,NA
"0c0d1d7e-9dd5-4758-9ca1-a2bc35fee5f7","BIGC.20190424.05.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0003-3756-1381",NA,1,"present","species","adult",NA,NA
"0c4127ce-225e-4824-aded-ed0c4ea65889","BIGC.20191023.05.1.e-fisher","MaterialSample","SALSP2","Salmonidae sp.",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","family","juvenile","FSH.BIGC.05.20191023.1.0041 | FSH.BIGC.05.20191023.1.0041.DNA","dna sample only"
"0c5f5b7e-86a4-4e00-9478-20f5e5086934","BIGC.20191024.08.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","adult",NA,NA
"0d16b24a-8d29-4bc7-a871-6c0228590552","BIGC.20191023.07.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","adult",NA,NA
"0daa9690-00ac-499e-bf41-f180e9d36639","BIGC.20191022.04.3.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","juvenile",NA,NA
"0db30263-34b7-432a-8743-14ca20bc5e20","BIGC.20191024.09.1.e-fisher","HumanObservation","SALTRU","Salmo trutta",NA,"https://orcid.org/0000-0001-7072-0706",NA,1,"present","species","adult",NA,NA
