assertionID	eventID	verbatimAssertionType	assertionType	assertionTypeIRI	assertionTypeVocabulary	assertionMadeDate	assertionEffectiveDate	assertionValue	assertionValueIRI	assertionValueVocabulary	assertionValueNumeric	assertionUnit	assertionUnitIRI	assertionUnitVocabulary	assertionBy	assertionByID	assertionProtocols	assertionProtocolID	assertionReferences	assertionRemarks
1b6e2517-a0c0-46a9-acca-5676d475656a	BIGC.20190422.01		The length of the reach as measured by the technicians when the reach was established								105	meter								
4c3eff41-c4ed-4e85-bc5a-0ceec8bf433c	BIGC.20190423.04		The length of the reach as measured by the technicians when the reach was established								100	meter								
15c9c1df-56fe-4cb8-9c2a-6b92f83eb70c	BIGC.20190424.07		The length of the reach as measured by the technicians when the reach was established								90	meter								
5c80e47d-7c20-4bea-8102-91f902a0f288	BIGC.20190424.05		The length of the reach as measured by the technicians when the reach was established								100	meter								
0875bf57-1cfd-4392-9037-12cdb40cec3f	BIGC.20190425.09		The length of the reach as measured by the technicians when the reach was established								100	meter								
64aea4e4-32b9-430e-81df-3bb2fed6b894	BIGC.20190425.08		The length of the reach as measured by the technicians when the reach was established								100	meter								
95950e92-4f09-47b6-8f4b-3f652c48b87e	BIGC.20191021.01		The length of the reach as measured by the technicians when the reach was established								102	meter								
3160e706-fddb-464b-9762-78464060ce5a	BIGC.20191022.04		The length of the reach as measured by the technicians when the reach was established								102	meter								
8856e834-89cd-4046-98ed-72455afa265f	BIGC.20191023.07		The length of the reach as measured by the technicians when the reach was established								100	meter								
f57dcf31-d20c-4b6a-9859-971051e43d56	BIGC.20191023.05		The length of the reach as measured by the technicians when the reach was established								100	meter								
5e22dd0e-f368-4f60-932f-7aaa974006e9	BIGC.20191024.09		The length of the reach as measured by the technicians when the reach was established								100	meter								
94c80ff1-539d-4340-9600-4a3a2c20e98a	BIGC.20191024.08		The length of the reach as measured by the technicians when the reach was established								100	meter								
04d1609b-f06c-428d-9cd9-b351f88d3052	BIGC.20190422.01		An indication of whether the reach is fixed or random					fixed												
08739d86-ae44-49f7-b847-0b63cedcf351	BIGC.20190423.04		An indication of whether the reach is fixed or random					fixed												
3520fe96-881b-4a51-834f-6a585a6a7c23	BIGC.20190424.07		An indication of whether the reach is fixed or random					fixed												
71faa0dd-3d10-40d1-88ba-4aba959ac8c7	BIGC.20190424.05		An indication of whether the reach is fixed or random					random												
4749745f-b54f-4fc5-81f3-bdf3e1eb87c8	BIGC.20190425.09		An indication of whether the reach is fixed or random					random												
f97609a6-9478-49e3-a8d4-e5ded56bb649	BIGC.20190425.08		An indication of whether the reach is fixed or random					random												
add60e73-c602-4e3b-be0d-11cbd15a0fb4	BIGC.20191021.01		An indication of whether the reach is fixed or random					fixed												
