eventID	parentEventID	preferredEventName	eventCategory	eventType	datasetName	datasetID	fieldNumber	eventConductedBy	eventConductedByID	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	verbatimLocality	verbatimElevation	verbatimDepth	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	georeferenceVerificationStatus	habitat	eventEffort	fieldNotes	eventReferences	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	minimumElevationInMeters	maximumElevationInMeters	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedByID	georeferencedDate	georeferenceProtocol	georeferenceProtocolID	georeferenceSources	georeferenceRemarks	informationWithheld	dataGeneralizations	preferredSpatialRepresentation	projectID	projectTitle	fundingAttribution	fundingAttributionID	feedbackURL
NEON_fish			Event	Project	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		NEON (National Ecological Observatory Network)		2019-07-01/2024-09-26																				NEON (National Ecological Observatory Network). Fish electrofishing, gill netting, and fyke netting counts (DP1.20107.001), RELEASE-2025. https://doi.org/10.48443/ap3d-rp07. Dataset accessed from https://data.neonscience.org/data-products/DP1.20107.001/RELEASE-2025 on March 3, 2025.					North America				United States	US																																				
BIGC	NEON_fish		Survey	Site	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		NEON (National Ecological Observatory Network)		2019-04-22/2019-10-24				2019													Aquatic Wadeable Stream								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC)	1003	1700							37.059719	-119.257549	WGS84	1000	0.000001														point-radius					
BIGC.AOS.fish.point.01	BIGC		Survey	Reach	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		NEON (National Ecological Observatory Network)		2019-04-22/2019-10-24				2019													stream								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC)	1130.8	1131.6							37.057599	-119.255367	WGS84	0.3	0.000001														point-radius					
BIGC.AOS.fish.point.04	BIGC		Survey	Reach	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		NEON (National Ecological Observatory Network)		2019-04-22/2019-10-24				2019													stream								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC)	1139.7	1140.3							37.059224	-119.257139	WGS84	0.2	0.000001														point-radius					
BIGC.AOS.fish.point.05	BIGC		Survey	Reach	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		NEON (National Ecological Observatory Network)		2019-04-22/2019-10-24				2019													stream								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC)	1133.3	1133.9							37.059885	-119.257882	WGS84	0.2	0.000001														point-radius					
BIGC.AOS.fish.point.07	BIGC		Survey	Reach	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		NEON (National Ecological Observatory Network)		2019-04-22/2019-10-24				2019													stream								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC)	1131.8	1132.8							37.06096	-119.258115	WGS84	0.3	0.000001														point-radius					
BIGC.AOS.fish.point.08	BIGC		Survey	Reach	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		NEON (National Ecological Observatory Network)		2019-04-22/2019-10-24				2019													stream								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC)	1133.4	1134.2							37.061544	-119.258321	WGS84	0.3	0.000001														point-radius					
BIGC.AOS.fish.point.09	BIGC		Survey	Reach	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		NEON (National Ecological Observatory Network)		2019-04-22/2019-10-24				2019													stream								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC)	1137.3	1137.9							37.062076	-119.258599	WGS84	0.2	0.000001														point-radius					
BIGC.20190422.01	BIGC.AOS.fish.point.01		Survey	Reach Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-6721-6581 | 0000-0001-5717-3867 | 0000-0003-2386-8235		2019-04-22/2019-04-22				2019													stream, normal flow								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.01	1130.8	1131.6							37.057599	-119.255367	WGS84	0.3	0.000001														point-radius					
BIGC.20191021.01	BIGC.AOS.fish.point.01		Survey	Reach Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-5454-7533 | 0000-0001-7332-328X | 0000-0003-2386-8235		2019-10-21/2019-10-21				2019													stream, normal flow								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.01	1130.8	1131.6							37.057599	-119.255367	WGS84	0.3	0.000001														point-radius					
