assertion_id	event_id	assertion_type	assertion_type_iri	assertion_type_vocabulary	assertion_made_date	assertion_effective_date	assertion_value	assertion_value_iri	assertion_value_vocabulary	assertion_value_numeric	assertion_unit	assertion_unit_iri	assertion_unit_vocabulary	assertion_by	assertion_by_id	assertion_protocol	assertion_protocol_id	assertion_citation	assertion_remarks
09666dba-94c2-40c9-a6af-70c269dbe98b	BIGC.20190422.01	The length of the reach as measured by the technicians when the reach was established								105	meter								
32b83f7d-6a3c-46cc-8b90-09d9d3f0df72	BIGC.20190423.04	The length of the reach as measured by the technicians when the reach was established								100	meter								
b8c1a01f-374b-4be1-a2e5-b29ad6d7e377	BIGC.20190424.07	The length of the reach as measured by the technicians when the reach was established								90	meter								
66c7431a-2f7d-4838-ad20-377c7a9d1e9d	BIGC.20190424.05	The length of the reach as measured by the technicians when the reach was established								100	meter								
aecdd614-32e4-4ac3-ad39-bccf7df7505b	BIGC.20190425.09	The length of the reach as measured by the technicians when the reach was established								100	meter								
30a34f8f-9c28-4f57-ba0e-a1433dfc28ee	BIGC.20190425.08	The length of the reach as measured by the technicians when the reach was established								100	meter								
4810be34-3692-4588-a4eb-62f14711edb2	BIGC.20191021.01	The length of the reach as measured by the technicians when the reach was established								102	meter								
50e7bd95-3f30-47bf-8866-c92cb4c6e1c2	BIGC.20191022.04	The length of the reach as measured by the technicians when the reach was established								102	meter								
c515ba75-e569-41be-852d-c049a2f7036e	BIGC.20191023.07	The length of the reach as measured by the technicians when the reach was established								100	meter								
6429ad9b-6060-42ec-b234-6cfa7d6aa7ff	BIGC.20191023.05	The length of the reach as measured by the technicians when the reach was established								100	meter								
84f2ccce-56bd-41ad-ac6c-a59510d1b841	BIGC.20191024.09	The length of the reach as measured by the technicians when the reach was established								100	meter								
84ecd450-2cb8-43cf-a33c-b8fb7a96515c	BIGC.20191024.08	The length of the reach as measured by the technicians when the reach was established								100	meter								
8ffcbc41-f642-41b4-9d33-79a6091504d2	BIGC.20190422.01	An indication of whether the reach is fixed or random					fixed												
a0ebd75c-beb5-4c50-a33d-b09bea4e4a56	BIGC.20190423.04	An indication of whether the reach is fixed or random					fixed												
da7a546f-9ebd-4334-b349-336e53044f7b	BIGC.20190424.07	An indication of whether the reach is fixed or random					fixed												
dd6a75dc-cc8f-463a-85a7-37f3533d3f3f	BIGC.20190424.05	An indication of whether the reach is fixed or random					random												
270f3f2a-81f6-4246-a72c-25927e1c8082	BIGC.20190425.09	An indication of whether the reach is fixed or random					random												
59919fe5-943a-4c9a-9710-7c47acb03f58	BIGC.20190425.08	An indication of whether the reach is fixed or random					random												
bf64cc96-2f52-4894-be4d-42ed7f9e91d6	BIGC.20191021.01	An indication of whether the reach is fixed or random					fixed												
c989ce67-8a0b-4aef-9b2a-e912bdb5fa18	BIGC.20191022.04	An indication of whether the reach is fixed or random					fixed												
3098795b-c688-4960-9a96-f0842d4c96f9	BIGC.20191023.07	An indication of whether the reach is fixed or random					fixed												
445b9f7a-9d4c-44b8-926a-b940468df15d	BIGC.20191023.05	An indication of whether the reach is fixed or random					random												
586cca64-4a70-442d-8aff-bad82a0dfca2	BIGC.20191024.09	An indication of whether the reach is fixed or random					random												
394e70dc-1f24-4da2-ae6d-48aa00eac080	BIGC.20191024.08	An indication of whether the reach is fixed or random					random												
1777ad8c-f03b-4c43-ac30-28134bda4c44	BIGC.20190422.01.1.e-fisher	Number of the sampling pass within a reach								1									
a42c826d-5bd2-4f64-998f-3c68d847bad1	BIGC.20190422.01.1.e-fisher	Number of the sampling pass within a reach								1									
65d494e1-70e3-40e7-9e76-3254052f6964	BIGC.20190422.01.1.e-fisher	Number of the sampling pass within a reach								1									
4c13b3eb-2971-4d9a-acb3-59c3bbb73170	BIGC.20190422.01.1.e-fisher	Number of the sampling pass within a reach								1									
010d9c09-5928-4984-8be8-0bbbaf8f4f57	BIGC.20190422.01.1.e-fisher	Number of the sampling pass within a reach								1									
c1563ffc-f2e0-47df-89a5-13bd2dce6e53	BIGC.20190422.01.1.e-fisher	Number of the sampling pass within a reach								1									
251cf0df-4a4f-44e8-9aed-975d8395b4a9	BIGC.20190422.01.1.e-fisher	Number of the sampling pass within a reach								1									
f9ee7f90-bf33-4987-b0a1-d39c549e7581	BIGC.20190422.01.1.e-fisher	Number of the sampling pass within a reach								1									
970e12d6-1a77-4627-932a-079792697020	BIGC.20190422.01.1.e-fisher	Number of the sampling pass within a reach								1									
153ddb6a-9396-4a9d-979e-1da630731cc1	BIGC.20190422.01.1.e-fisher	Number of the sampling pass within a reach								1									
3ab9a1e6-be01-483f-ac46-a3c8e43e6abf	BIGC.20190422.01.1.e-fisher	Number of the sampling pass within a reach								1									
