identificationID	basedOnOccurrenceID	basedOnMaterialEntityID	basedOnNucleotideSequenceID	basedOnNucleotideAnalysisID	basedOnMediaID	identificationType	verbatimIdentification	isAcceptedIdentification	taxonFormula	typeStatus	typeDesignationType	identifiedBy	identifiedByID	dateIdentified	identificationReferences	taxonAssignmentMethod	identificationVerificationStatus	identificationRemarks	taxonID	higherClassificationName	higherClassificationRank	scientificName	taxonRank	taxonRemarks	feedbackURL
686a3d68-3db1-483f-bde7-69771cbfb38a	b719a3ba-ce7f-4380-9727-a38da9230ad6					Observation		t	A				0000-0001-7072-0706	2019-04-22T17:45:00/2019-04-22T20:15:00					SALTRU	Animalia	kingdom	Salmo trutta	species		
4e7e6b0e-e790-4fa4-8cc1-6ff0425a398e	c450cb21-46ef-429d-8aa8-a1cda5b70aac					Observation		t	A				0000-0001-7072-0706	2019-04-22T17:45:00/2019-04-22T20:15:00					SALTRU	Animalia	kingdom	Salmo trutta	species		
51e234c5-1f0f-4228-aa36-c42e186b842b	49391f40-cafc-43de-87d9-ca21a7631151					Observation		t	A				0000-0001-7072-0706	2019-04-22T17:45:00/2019-04-22T20:15:00					SALTRU	Animalia	kingdom	Salmo trutta	species		
6d8968a1-cc69-4c73-8695-4388f8061479	4d01419b-d052-44c8-899f-68c150396af8					Observation		t	A				0000-0001-7072-0706	2019-04-22T17:45:00/2019-04-22T20:15:00					SALSP2	Animalia	kingdom	Salmonidae	family		
26e4d6dd-ec57-4382-a5d0-17646868070d	a7ff2504-e8cc-471a-acba-bf971f1d4f83					Observation		t	A				0000-0001-7072-0706	2019-04-22T17:45:00/2019-04-22T20:15:00					SALTRU	Animalia	kingdom	Salmo trutta	species		
c53c3844-39d0-43f8-948a-8eee239c2a7d	5256b27a-c751-4c55-b390-58cce3e98751					Observation		t	A				0000-0001-7072-0706	2019-04-22T17:45:00/2019-04-22T20:15:00					SALTRU	Animalia	kingdom	Salmo trutta	species		
ccd9fe86-c76d-485d-9cca-e5f1b897db6d	8601b4d5-0674-43eb-8042-3a47759c02bd					Observation		t	A				0000-0001-7072-0706	2019-04-22T17:45:00/2019-04-22T20:15:00					SALTRU	Animalia	kingdom	Salmo trutta	species		
0ef757c4-d28f-4dd1-ad76-fb5b83d13c19	22cda7c6-7a20-4410-9892-6aed8a7bd182					Observation		t	A				0000-0001-7072-0706	2019-04-22T17:45:00/2019-04-22T20:15:00					SALTRU	Animalia	kingdom	Salmo trutta	species		
f0d20078-de88-48c3-9c62-da2730e726ec	99b9b04a-d824-4568-816f-df8665f98f39					Observation		t	A				0000-0001-7072-0706	2019-04-22T17:45:00/2019-04-22T20:15:00					SALSP2	Animalia	kingdom	Salmonidae	family		
b1ad2915-4487-427c-bb83-253b6aa80da3	523a6343-53df-4123-bfdb-18b5b0464fa9					Observation		t	A				0000-0001-7072-0706	2019-04-22T17:45:00/2019-04-22T20:15:00					SALTRU	Animalia	kingdom	Salmo trutta	species		
10211787-75a8-41ac-9433-cb0192011d78	6a76c175-939b-4890-abc1-5eca299c3c40					Observation		t	A				0000-0001-7072-0706	2019-04-22T17:45:00/2019-04-22T20:15:00					SALSP2	Animalia	kingdom	Salmonidae	family		
26b265e7-88a7-4b06-baa1-fb72d9d186da	0079055e-1f65-420c-b789-edac97a42c3f					Observation		t	A				0000-0001-7072-0706	2019-04-22T17:45:00/2019-04-22T20:15:00					SALTRU	Animalia	kingdom	Salmo trutta	species		
3a0953d6-0ad4-4a5b-ad50-40c50fe94963	9cafe757-73b1-4285-81b9-40082b050514					Observation		t	A				0000-0001-7072-0706	2019-04-22T17:45:00/2019-04-22T20:15:00					SALTRU	Animalia	kingdom	Salmo trutta	species		
928914af-eed0-4c41-975c-d8e8169d7124	04919cd6-c8b3-4284-81e1-35182938f8ad					Observation		t	A				0000-0001-7072-0706	2019-04-22T17:45:00/2019-04-22T20:15:00					SALTRU	Animalia	kingdom	Salmo trutta	species		
1f9a3374-c606-4059-9654-fec23b068c1b	2f67ac4e-5a55-42fe-8f45-b64e9d6f2512					Observation		t	A				0000-0001-7072-0706	2019-04-22T17:45:00/2019-04-22T20:15:00					SALSP2	Animalia	kingdom	Salmonidae	family		
c7ff15bd-7547-4b72-8cf9-1cbb6991c591	2e104ff3-7099-4fb6-8ea8-b73515da0605					Observation		t	A				0000-0001-7072-0706	2019-04-22T17:45:00/2019-04-22T20:15:00					SALTRU	Animalia	kingdom	Salmo trutta	species		
