assertionID	occurrenceID	verbatimAssertionType	assertionType	assertionTypeIRI	assertionTypeVocabulary	assertionMadeDate	assertionEffectiveDate	assertionValue	assertionValueIRI	assertionValueVocabulary	assertionValueNumeric	assertionUnit	assertionUnitIRI	assertionUnitVocabulary	assertionBy	assertionByID	assertionProtocols	assertionProtocolID	assertionReferences	assertionRemarks
d1b249de-34f5-4eba-9102-3f076773354c	b719a3ba-ce7f-4380-9727-a38da9230ad6		Length of the specimen								116	millimeter								
31d60473-d329-4dea-8634-5ca54ad3dfe5	c450cb21-46ef-429d-8aa8-a1cda5b70aac		Length of the specimen								221	millimeter								
a945e185-f01a-4ba4-a645-fd13b5ef909b	49391f40-cafc-43de-87d9-ca21a7631151		Length of the specimen								108	millimeter								
f87b4c7c-ab33-40be-b177-72ff1b8d9ebf	4d01419b-d052-44c8-899f-68c150396af8		Length of the specimen								91	millimeter								
e4784c99-50bc-4963-9c07-98bf1af1b870	a7ff2504-e8cc-471a-acba-bf971f1d4f83		Length of the specimen								118	millimeter								
228137e9-f8e6-4100-917a-3ce0ca8efd2f	5256b27a-c751-4c55-b390-58cce3e98751		Length of the specimen								125	millimeter								
820a4ec8-8346-46b6-b542-269a64de13d8	8601b4d5-0674-43eb-8042-3a47759c02bd		Length of the specimen								136	millimeter								
f9ef8514-1cfa-4936-b356-934ebfa391f1	22cda7c6-7a20-4410-9892-6aed8a7bd182		Length of the specimen								105	millimeter								
67d3c173-6aa2-436d-913e-efc36f04df6c	99b9b04a-d824-4568-816f-df8665f98f39		Length of the specimen								99	millimeter								
1a6caf30-85e9-469c-8640-eb3ad360b5ae	523a6343-53df-4123-bfdb-18b5b0464fa9		Length of the specimen								114	millimeter								
becd1ae2-9981-456f-8d00-e251631bf982	6a76c175-939b-4890-abc1-5eca299c3c40		Length of the specimen								117	millimeter								
8e0c61e1-3db1-4179-9005-179b42fd80bf	0079055e-1f65-420c-b789-edac97a42c3f		Length of the specimen								119	millimeter								
e7fdb6b3-7473-4654-9310-84550f6bf946	9cafe757-73b1-4285-81b9-40082b050514		Length of the specimen								192	millimeter								
fe12cafa-c85e-43a6-9006-1d04ad68f08e	04919cd6-c8b3-4284-81e1-35182938f8ad		Length of the specimen								222	millimeter								
f9247887-4a27-42c2-8869-92ed2356ed14	2f67ac4e-5a55-42fe-8f45-b64e9d6f2512		Length of the specimen								99	millimeter								
7093b18c-50bc-467b-bca0-ea2a7022c3c1	2e104ff3-7099-4fb6-8ea8-b73515da0605		Length of the specimen								127	millimeter								
2cc714f0-ad01-4462-a7cd-0102e77e30f0	12799340-4617-46d7-a9a3-4683e32973b1		Length of the specimen								86	millimeter								
3eed270f-c06f-469f-81e6-fc5d3e0fa699	7a5ef2dd-64c5-4ddc-888d-158763487cd6		Length of the specimen								103	millimeter								
7b2a9ed7-a6aa-43c3-b8fe-c59e64593bc4	c3827862-720d-40cd-9ddf-303f02f63fd9		Length of the specimen								118	millimeter								
bceabb9b-246f-4e24-b82b-062864a91e9f	c4eb481b-197d-4b7f-8275-76d6aab9fdc1		Length of the specimen								221	millimeter								
02d4aac1-a4f4-4d90-95f7-67d5952acae0	088d725b-4723-4503-aa50-ac647cda26e1		Length of the specimen								109	millimeter								
499c6484-8f52-4c09-8119-efba3af68492	1afac3c8-26dc-4b0b-b992-6c9150ffa6dc		Length of the specimen								106	millimeter								
95669ce7-069c-4446-bd57-287c63eeb342	d6aa4186-e659-4c80-91ba-4fb76878388a		Length of the specimen								107	millimeter								
8b44d163-1b33-4eb9-9171-421ed07058b9	76f83b0e-662d-4e9b-9f1a-1f3da2ff81dd		Length of the specimen								114	millimeter								
66663d3a-8ca0-4130-9eb5-65653f1df05f	5f3e4242-cbb2-4afe-b3f6-ffda66aea67b		Length of the specimen								153	millimeter								
63262559-a577-485c-bf0a-383a57265161	0e9c3715-106e-403e-9a37-d079ee38f8cb		Length of the specimen								124	millimeter								
31ddbbc9-c7b7-441f-8621-544f579ad9ed	abcf3ae8-b003-4756-ba02-b79eee69fc35		Length of the specimen								197	millimeter								
dae9d7e1-a1f3-4bd4-8975-f0c24a727564	47a3a918-4a47-4fc3-81d9-941294f08a1b		Length of the specimen								93	millimeter								
927d1450-ef1f-429b-aa0a-ae40f7f74ff8	b4b9e38b-be56-4954-b43e-fc8850648984		Length of the specimen								205	millimeter								
cb1c7104-1a86-4c7f-86ba-2b60f981a102	4f64d9ac-0fd8-4379-a2b3-4c1be7940f80		Length of the specimen								100	millimeter								
3f51bbed-3c4c-4856-8346-169af127da48	764e4406-d4fc-4179-88c6-1651d240c0ef		Length of the specimen								115	millimeter								
a06632ef-f082-42f2-bdf4-973bb67a37cf	304e0330-aea8-4d3a-bfb1-c9d01f2a8f4a		Length of the specimen								185	millimeter								
5310dee0-faaf-42d8-b454-f60d75e7a85c	b92deca2-fd2b-4c5e-96c7-7f7823b564c5		Length of the specimen								28	millimeter								
