occurrence_id	event_id	survey_target_id	recorded_by	recorded_by_id	organism_quantity	organism_quantity_type	organism_quantity_type_iri	organism_quantity_type_vocabulary	sex	life_stage	reproductive_condition	caste	behavior	vitality	establishment_means	degree_of_establishment	pathway	occurrence_status	information_withheld	data_generalizations	occurrence_remarks	organism_id	organism_scope	organism_scope_iri	organism_scope_vocabulary	organism_name	organism_remarks	verbatim_identification	taxon_formula	identified_by	identified_by_id	date_identified	identification_references	identification_verification_status	identification_verification_status_iri	identificationverificationstatusvocabulary	identificationremarks	taxon_id	kingdom	scientific_name	taxon_rank	taxon_remarks
b719a3ba-ce7f-4380-9727-a38da9230ad6	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
c450cb21-46ef-429d-8aa8-a1cda5b70aac	BIGC.20190422.01.1.e-fisher				1	individuals				adult								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
49391f40-cafc-43de-87d9-ca21a7631151	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
4d01419b-d052-44c8-899f-68c150396af8	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALSP2	Animalia	Salmonidae	family	
a7ff2504-e8cc-471a-acba-bf971f1d4f83	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
5256b27a-c751-4c55-b390-58cce3e98751	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
8601b4d5-0674-43eb-8042-3a47759c02bd	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
22cda7c6-7a20-4410-9892-6aed8a7bd182	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
99b9b04a-d824-4568-816f-df8665f98f39	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALSP2	Animalia	Salmonidae	family	
523a6343-53df-4123-bfdb-18b5b0464fa9	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
6a76c175-939b-4890-abc1-5eca299c3c40	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALSP2	Animalia	Salmonidae	family	
0079055e-1f65-420c-b789-edac97a42c3f	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
9cafe757-73b1-4285-81b9-40082b050514	BIGC.20190422.01.1.e-fisher				1	individuals				adult								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
04919cd6-c8b3-4284-81e1-35182938f8ad	BIGC.20190422.01.1.e-fisher				1	individuals				adult								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
2f67ac4e-5a55-42fe-8f45-b64e9d6f2512	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALSP2	Animalia	Salmonidae	family	
2e104ff3-7099-4fb6-8ea8-b73515da0605	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
12799340-4617-46d7-a9a3-4683e32973b1	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALSP2	Animalia	Salmonidae	family	
7a5ef2dd-64c5-4ddc-888d-158763487cd6	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
c3827862-720d-40cd-9ddf-303f02f63fd9	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
c4eb481b-197d-4b7f-8275-76d6aab9fdc1	BIGC.20190422.01.1.e-fisher				1	individuals				adult								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
088d725b-4723-4503-aa50-ac647cda26e1	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
1afac3c8-26dc-4b0b-b992-6c9150ffa6dc	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
d6aa4186-e659-4c80-91ba-4fb76878388a	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
76f83b0e-662d-4e9b-9f1a-1f3da2ff81dd	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALSP2	Animalia	Salmonidae	family	
5f3e4242-cbb2-4afe-b3f6-ffda66aea67b	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALSP2	Animalia	Salmonidae	family	
0e9c3715-106e-403e-9a37-d079ee38f8cb	BIGC.20190422.01.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALSP2	Animalia	Salmonidae	family	
abcf3ae8-b003-4756-ba02-b79eee69fc35	BIGC.20190422.01.1.e-fisher				1	individuals				adult								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
47a3a918-4a47-4fc3-81d9-941294f08a1b	BIGC.20190422.01.2.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALSP2	Animalia	Salmonidae	family	
b4b9e38b-be56-4954-b43e-fc8850648984	BIGC.20190422.01.2.e-fisher				1	individuals				adult								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
4f64d9ac-0fd8-4379-a2b3-4c1be7940f80	BIGC.20190422.01.2.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALSP2	Animalia	Salmonidae	family	
764e4406-d4fc-4179-88c6-1651d240c0ef	BIGC.20190422.01.2.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
304e0330-aea8-4d3a-bfb1-c9d01f2a8f4a	BIGC.20190422.01.2.e-fisher				1	individuals				adult								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
b92deca2-fd2b-4c5e-96c7-7f7823b564c5	BIGC.20190422.01.2.e-fisher				1	individuals				young of year								present					multicellular organism						A		0000-0001-7072-0706							OTHE	Animalia	Chordata	phylum	
155b52af-189b-4320-a6e8-69de2112a810	BIGC.20190422.01.2.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
c5a62467-494b-4571-bd8a-3402d0c2ecfa	BIGC.20190422.01.3.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALSP2	Animalia	Salmonidae	family	
120f5e9f-1d0e-4fe0-8ff0-07dbeb652cfb	BIGC.20190422.01.3.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
fdf068ab-5743-4105-8f06-24b06d11368a	BIGC.20190422.01.3.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
3f682483-9b82-4a3d-b198-2389579485f6	BIGC.20190422.01.3.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
917f70bb-c487-4b5d-a09a-e9c1fa910949	BIGC.20190422.01.3.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALSP2	Animalia	Salmonidae	family	
2b7c56b5-5dea-4b88-8797-ae692c7760e3	BIGC.20190422.01.3.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
c802a776-d1b5-431f-bfcc-40ee6608ac08	BIGC.20190422.01.3.e-fisher				1	individuals				adult								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
ff4b4492-2e57-48d5-b941-33ada4863939	BIGC.20190422.01.3.e-fisher				1	individuals				adult								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
2aa28faa-ff62-4f54-b2b2-2cc521afeff7	BIGC.20190422.01.3.e-fisher				1	individuals				adult								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
890e8552-a038-47f7-8454-4005521d8be7	BIGC.20190422.01.3.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALSP2	Animalia	Salmonidae	family	
67277e43-41bd-4187-9739-dd557ed367e0	BIGC.20190423.04.1.e-fisher				1	individuals				juvenile								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
dccfab68-853e-4503-8ef0-91a33fc8373a	BIGC.20190423.04.1.e-fisher				1	individuals				adult								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
ac5945e8-2c48-41a1-a4d1-63d48737018f	BIGC.20190423.04.1.e-fisher				1	individuals				adult								present					multicellular organism						A		0000-0001-7072-0706							SALTRU	Animalia	Salmo trutta	species	
