assertion_id	occurrence_id	assertion_type	assertion_type_iri	assertion_type_vocabulary	assertion_made_date	assertion_effective_date	assertion_value	assertion_value_iri	assertion_value_vocabulary	assertion_value_numeric	assertion_unit	assertion_unit_iri	assertion_unit_vocabulary	assertion_by	assertion_by_id	assertion_protocol	assertion_protocol_id	assertion_citation	assertion_remarks
d4f667c1-124f-4edd-a8c0-96e1e53c95d9	b719a3ba-ce7f-4380-9727-a38da9230ad6	Length of the specimen								116	millimeter								
496615f5-765a-4215-8d9e-7d9db2f0a014	c450cb21-46ef-429d-8aa8-a1cda5b70aac	Length of the specimen								221	millimeter								
ef853e39-126e-4124-b292-0ecc2405b434	49391f40-cafc-43de-87d9-ca21a7631151	Length of the specimen								108	millimeter								
1ea6f2fe-ec6b-4d5b-add0-9c2ff8ed65c1	4d01419b-d052-44c8-899f-68c150396af8	Length of the specimen								91	millimeter								
ca6247ee-0c36-4986-87a8-0bac4e44a096	a7ff2504-e8cc-471a-acba-bf971f1d4f83	Length of the specimen								118	millimeter								
2f2ff29a-7e0e-4b76-956b-a2c47758b856	5256b27a-c751-4c55-b390-58cce3e98751	Length of the specimen								125	millimeter								
1e39aa1d-2f9e-4c4c-b63a-ffe62fee3175	8601b4d5-0674-43eb-8042-3a47759c02bd	Length of the specimen								136	millimeter								
27f46522-79b9-4f68-9fcf-4e6c9e20bad8	22cda7c6-7a20-4410-9892-6aed8a7bd182	Length of the specimen								105	millimeter								
a22a8ccd-31a7-4b89-bcce-1bf4b1f0f76d	99b9b04a-d824-4568-816f-df8665f98f39	Length of the specimen								99	millimeter								
4074b975-d499-4a7d-8758-3e81db50db2e	523a6343-53df-4123-bfdb-18b5b0464fa9	Length of the specimen								114	millimeter								
8cb1bffd-ce62-4531-a04b-5c1966019112	6a76c175-939b-4890-abc1-5eca299c3c40	Length of the specimen								117	millimeter								
f927a560-39fb-438a-b4d5-3fa24dbe8152	0079055e-1f65-420c-b789-edac97a42c3f	Length of the specimen								119	millimeter								
a5e8cd35-eaf9-4bf3-a484-1edc32b6c22b	9cafe757-73b1-4285-81b9-40082b050514	Length of the specimen								192	millimeter								
7088ca6e-61c9-4dd0-bf49-2a1f47711e75	04919cd6-c8b3-4284-81e1-35182938f8ad	Length of the specimen								222	millimeter								
83e7c79a-d8b5-4b9f-a4cd-052437d70daa	2f67ac4e-5a55-42fe-8f45-b64e9d6f2512	Length of the specimen								99	millimeter								
92063a50-cd40-48ca-bf41-e5586e98ec0a	2e104ff3-7099-4fb6-8ea8-b73515da0605	Length of the specimen								127	millimeter								
5f6eacdc-2736-4240-bda9-d6e9c43f5420	12799340-4617-46d7-a9a3-4683e32973b1	Length of the specimen								86	millimeter								
0913040d-4b85-48ad-9bd0-759e66800ef8	7a5ef2dd-64c5-4ddc-888d-158763487cd6	Length of the specimen								103	millimeter								
1e34add3-20eb-4810-932d-42ed339f8944	c3827862-720d-40cd-9ddf-303f02f63fd9	Length of the specimen								118	millimeter								
3cf465d2-42b5-4184-ac09-7608b4b8cce1	c4eb481b-197d-4b7f-8275-76d6aab9fdc1	Length of the specimen								221	millimeter								
b4c144f4-cbfc-4377-ae71-afc5696264c6	088d725b-4723-4503-aa50-ac647cda26e1	Length of the specimen								109	millimeter								
bb8491a3-8577-403f-ad73-9f581d18b4a4	1afac3c8-26dc-4b0b-b992-6c9150ffa6dc	Length of the specimen								106	millimeter								
075f662e-9986-4e85-8dd8-c1c7bf2d27a2	d6aa4186-e659-4c80-91ba-4fb76878388a	Length of the specimen								107	millimeter								
64c6db98-add4-46d0-b72f-93d8c927b8d1	76f83b0e-662d-4e9b-9f1a-1f3da2ff81dd	Length of the specimen								114	millimeter								
ec37f14a-ad26-4685-b197-fb539ab54401	5f3e4242-cbb2-4afe-b3f6-ffda66aea67b	Length of the specimen								153	millimeter								
3a7f3724-f289-4cc6-97c1-0ed5af82cd1c	0e9c3715-106e-403e-9a37-d079ee38f8cb	Length of the specimen								124	millimeter								
5636ffcf-e62f-42a2-94dd-d04157943388	abcf3ae8-b003-4756-ba02-b79eee69fc35	Length of the specimen								197	millimeter								
72861407-6172-436f-886b-09a851f56b48	47a3a918-4a47-4fc3-81d9-941294f08a1b	Length of the specimen								93	millimeter								
6452478d-da6d-42ce-ac9b-9987dfa40d0b	b4b9e38b-be56-4954-b43e-fc8850648984	Length of the specimen								205	millimeter								
e5d74fb4-012b-47ea-bac1-152b27704ed7	4f64d9ac-0fd8-4379-a2b3-4c1be7940f80	Length of the specimen								100	millimeter								
