surveyID	eventID	siteCount	siteNestingDescription	verbatimSiteDescriptions	verbatimSiteNames	geospatialScopeAreaValue	geospatialScopeAreaUnit	totalAreaSampledValue	totalAreaSampledUnit	reportedWeather	reportedExtremeConditions	eventDurationValue	eventDurationUnit	taxonCompletenessReported	taxonCompletenessProtocols	isAbsenceReported	absentTaxa	hasNonTargetTaxa	nonTargetTaxa	areNonTargetTaxaFullyReported	hasNonTargetOrganisms	verbatimTargetScope	identifiedBy	identifiedByID	identificationReferences	compilationTypes	compilationSourceTypes	inventoryTypes	protocolNames	protocolDescriptions	protocolReferences	isAbundanceReported	isAbundanceCapReported	abundanceCap	isVegetationCoverReported	isLeastSpecificTargetCategoryQuantityInclusive	hasVouchers	voucherInstitutions	hasMaterialSamples	materialSampleTypes	sampleSizeValue	sampleSizeUnit	samplingPerformedBy	samplingPerformedByID	isSamplingEffortReported	samplingEffortProtocol	samplingEffortProtocolID	samplingEffortValue	samplingEffortUnit	informationWithheld	dataGeneralizations	feedbackURL
7830754b-912e-403f-a675-8b62647f0696	BIGC	10	Aquatic stream site divided into 10 reaches	A wadeable stream on the western slope of the Sierra Nevada Mountains | mixed mature cottonwood trees, short grasses, and shrubs | 1 km in length	BIGC | Upper Big Creek					"{""minimumWinterTemperatureInDegreesFahrenheit"": 32, ""maximumWinterTemperatureInDegreesFahrenheit"": 48, ""maximumSummerTemperatureInDegreesFahrenheit"": 57, ""maximumSummerTemperatureInDegreesFahrenheit"": 68, ""annualMeanTemperatureInDegreesFahrenheit"": 56, ""annualPrecipitationInInches"": 34.5}"				not reported																																						
fdea115d-64b0-4365-946c-e639e97c7242	BIGC.20190422.01													not reported										https://orcid.org/0000-0001-7072-0706							NEON.DOC.001295vD												0000-0002-6721-6581, 0000-0001-5717-3867, 0000-0003-2386-8235									
0bac527b-deb0-4be3-b8f9-721a40dd17c5	BIGC.20190422.01.1.e-fisher											150	minutes	not reported															electrofisher																							
626722b9-6a45-4499-a4b0-bf30968d277d	BIGC.20190422.01.2.e-fisher											60	minutes	not reported															electrofisher																							
b019ffa4-9665-4c94-a2e8-a5d414e0d1b8	BIGC.20190422.01.3.e-fisher											65	minutes	not reported															electrofisher																							
16dd6305-81cc-4cf8-811a-e4aaebe1256c	BIGC.20190423.04													not reported										https://orcid.org/0000-0001-7072-0706							NEON.DOC.001295vD												0000-0002-6721-6581, 0000-0001-5717-3867, 0000-0003-2386-8235									
314dc9a5-bdad-4f81-96aa-2d2ddcb819f5	BIGC.20190423.04.1.e-fisher											134	minutes	not reported															electrofisher																							
fc7936bd-7710-412c-ae2b-1973b13f664c	BIGC.20190423.04.2.e-fisher											111	minutes	not reported															electrofisher																							
f6e96684-588d-49e1-b8b3-c35e52cc2c81	BIGC.20190423.04.3.e-fisher											92	minutes	not reported															electrofisher																							
ced6694f-2253-4b9d-917e-dcea6d2933fe	BIGC.20190424.05													not reported										https://orcid.org/0000-0003-3756-1381							NEON.DOC.001295vF												0000-0003-2386-8235, 0000-0002-6721-6581, 0000-0002-7776-2789									
9cf17b28-7cc3-41ec-9b28-f06154f2188a	BIGC.20190424.05.1.e-fisher											77	minutes	not reported															electrofisher																							
