agentID	relatedAgentID	agentRole	agentRoleOrder
https://orcid.org/0000-0002-2042-5095	kawaguchi2010-authors	isPartOf	1
SNic	kawaguchi2010-authors	isPartOf	2
https://orcid.org/0000-0002-9870-1256	kawaguchi2010-authors	isPartOf	3
SDav	kawaguchi2010-authors	isPartOf	4
RCas	kawaguchi2010-authors	isPartOf	5
KSwad	kawaguchi2010-authors	isPartOf	6
GHos	kawaguchi2010-authors	isPartOf	7
https://orcid.org/0000-0002-6145-2129	pakhomov1996-authors	isPartOf	1
https://www.researchgate.net/profile/R-Perissinotto	pakhomov1996-authors	isPartOf	2
https://orcid.org/0000-0002-3473-8308	pakhomov1996-authors	isPartOf	3
https://orcid.org/0000-0003-1336-5554	putte2010-authors	isPartOf	1
GDJax	putte2010-authors	isPartOf	2
https://orcid.org/0000-0002-6145-2129	putte2010-authors	isPartOf	3
https://orcid.org/0000-0003-1617-5449	putte2010-authors	isPartOf	4
https://orcid.org/0000-0003-4342-4295	putte2010-authors	isPartOf	5
