eventID	parentEventID	preferredEventName	eventType	eventConductedBy	eventConductedByID	eventDate	year	month	day	verbatimLocality	eventReferences	eventRemarks	locationID	waterBody	countryCode	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum	footprintWKT	footprintSRS
BROKE_WEST			Expedition			2006-01-02/2006-03-17	2006			CCAMLR Subdivision 58.4.2 of the Southern Ocean; includes the Cosmonaut Sea to the west and Prydz Bay area to the east	https://data.aad.gov.au/aadc/voyages/display_voyage.cfm?voyage_id=178	Krills caught are recorded in another dataset: http://dx.doi.org/doi:10.4225/15/57BBAF89ECD5D 		Southern Ocean	AQ	0		-54.45	88.5	WGS84	POLYGON((30 -69, 30 -32,147 -32, 147 -69))	EPSG:4326
BROKE_WEST_RMT_001	BROKE_WEST	Target RMT	Survey	RSV Aurora Australis	https://www.wikidata.org/entity/Q5765948	2006-01-17	2006	1	17		van de Putte, A. (2010) Fish catches from Rectangular Midwater Trawl - data collected from the BROKE-West voyage of the Aurora Australis, 2006, Ver. 1, Australian Antarctic Data Centre - doi:10.4225/15/598d453109182, Accessed: 2025-02-17 | Van de Putte, A.P.; Jackson, G.D.; Pakhomov, E.; Flores, H.; Volckaert, F.A.M. (2010). Distribution of squid and fish in the pelagic zone of the Cosmonaut Sea and Prydz Bay region during the BROKE-West campaign. Deep-Sea Res., Part 2, Top. Stud. Oceanogr. 57(9-10): 956-967. dx.doi.org/10.1016/j.dsr2.2008.02.015 https://doi.org/10.1016/j.dsr2.2008.02.015 	Line string for the trawl not provided 			AQ			-62.01	38.93	WGS84		
BROKE_WEST_RMT_002	BROKE_WEST	Target RMT	Survey	RSV Aurora Australis	https://www.wikidata.org/entity/Q5765948	2006-01-18	2006	1	18		van de Putte, A. (2010) Fish catches from Rectangular Midwater Trawl - data collected from the BROKE-West voyage of the Aurora Australis, 2006, Ver. 1, Australian Antarctic Data Centre - doi:10.4225/15/598d453109182, Accessed: 2025-02-17 | Van de Putte, A.P.; Jackson, G.D.; Pakhomov, E.; Flores, H.; Volckaert, F.A.M. (2010). Distribution of squid and fish in the pelagic zone of the Cosmonaut Sea and Prydz Bay region during the BROKE-West campaign. Deep-Sea Res., Part 2, Top. Stud. Oceanogr. 57(9-10): 956-967. dx.doi.org/10.1016/j.dsr2.2008.02.015 https://doi.org/10.1016/j.dsr2.2008.02.015 	Line string for the trawl not provided 			AQ			-61.98	37.49	WGS84		
BROKE_WEST_RMT_003	BROKE_WEST	Target RMT	Survey	RSV Aurora Australis	https://www.wikidata.org/entity/Q5765948	2006-01-18	2006	1	18		van de Putte, A. (2010) Fish catches from Rectangular Midwater Trawl - data collected from the BROKE-West voyage of the Aurora Australis, 2006, Ver. 1, Australian Antarctic Data Centre - doi:10.4225/15/598d453109182, Accessed: 2025-02-17 | Van de Putte, A.P.; Jackson, G.D.; Pakhomov, E.; Flores, H.; Volckaert, F.A.M. (2010). Distribution of squid and fish in the pelagic zone of the Cosmonaut Sea and Prydz Bay region during the BROKE-West campaign. Deep-Sea Res., Part 2, Top. Stud. Oceanogr. 57(9-10): 956-967. dx.doi.org/10.1016/j.dsr2.2008.02.015 https://doi.org/10.1016/j.dsr2.2008.02.015 	Line string for the trawl not provided 			AQ			-61.98	32.49	WGS84		
BROKE_WEST_RMT_004	BROKE_WEST	Routine RMT	Survey	RSV Aurora Australis	https://www.wikidata.org/entity/Q5765948	2006-01-19	2006	1	19		van de Putte, A. (2010) Fish catches from Rectangular Midwater Trawl - data collected from the BROKE-West voyage of the Aurora Australis, 2006, Ver. 1, Australian Antarctic Data Centre - doi:10.4225/15/598d453109182, Accessed: 2025-02-17 | Van de Putte, A.P.; Jackson, G.D.; Pakhomov, E.; Flores, H.; Volckaert, F.A.M. (2010). Distribution of squid and fish in the pelagic zone of the Cosmonaut Sea and Prydz Bay region during the BROKE-West campaign. Deep-Sea Res., Part 2, Top. Stud. Oceanogr. 57(9-10): 956-967. dx.doi.org/10.1016/j.dsr2.2008.02.015 https://doi.org/10.1016/j.dsr2.2008.02.015 	Line string for the trawl not provided 			AQ	0	200	-62	29.99	WGS84		
BROKE_WEST_RMT_005	BROKE_WEST	Routine RMT	Survey	RSV Aurora Australis	https://www.wikidata.org/entity/Q5765948	2006-01-19	2006	1	19		van de Putte, A. (2010) Fish catches from Rectangular Midwater Trawl - data collected from the BROKE-West voyage of the Aurora Australis, 2006, Ver. 1, Australian Antarctic Data Centre - doi:10.4225/15/598d453109182, Accessed: 2025-02-17 | Van de Putte, A.P.; Jackson, G.D.; Pakhomov, E.; Flores, H.; Volckaert, F.A.M. (2010). Distribution of squid and fish in the pelagic zone of the Cosmonaut Sea and Prydz Bay region during the BROKE-West campaign. Deep-Sea Res., Part 2, Top. Stud. Oceanogr. 57(9-10): 956-967. dx.doi.org/10.1016/j.dsr2.2008.02.015 https://doi.org/10.1016/j.dsr2.2008.02.015 	Line string for the trawl not provided 			AQ	0	200	-63.32	30.02	WGS84		
BROKE_WEST_RMT_006	BROKE_WEST	Target RMT	Survey	RSV Aurora Australis	https://www.wikidata.org/entity/Q5765948	2006-01-20	2006	1	20		van de Putte, A. (2010) Fish catches from Rectangular Midwater Trawl - data collected from the BROKE-West voyage of the Aurora Australis, 2006, Ver. 1, Australian Antarctic Data Centre - doi:10.4225/15/598d453109182, Accessed: 2025-02-17 | Van de Putte, A.P.; Jackson, G.D.; Pakhomov, E.; Flores, H.; Volckaert, F.A.M. (2010). Distribution of squid and fish in the pelagic zone of the Cosmonaut Sea and Prydz Bay region during the BROKE-West campaign. Deep-Sea Res., Part 2, Top. Stud. Oceanogr. 57(9-10): 956-967. dx.doi.org/10.1016/j.dsr2.2008.02.015 https://doi.org/10.1016/j.dsr2.2008.02.015 	Line string for the trawl not provided 			AQ			-64.26	29.99	WGS84		
BROKE_WEST_RMT_007	BROKE_WEST	Routine RMT	Survey	RSV Aurora Australis	https://www.wikidata.org/entity/Q5765948	2006-01-20	2006	1	20		van de Putte, A. (2010) Fish catches from Rectangular Midwater Trawl - data collected from the BROKE-West voyage of the Aurora Australis, 2006, Ver. 1, Australian Antarctic Data Centre - doi:10.4225/15/598d453109182, Accessed: 2025-02-17 | Van de Putte, A.P.; Jackson, G.D.; Pakhomov, E.; Flores, H.; Volckaert, F.A.M. (2010). Distribution of squid and fish in the pelagic zone of the Cosmonaut Sea and Prydz Bay region during the BROKE-West campaign. Deep-Sea Res., Part 2, Top. Stud. Oceanogr. 57(9-10): 956-967. dx.doi.org/10.1016/j.dsr2.2008.02.015 https://doi.org/10.1016/j.dsr2.2008.02.015 	Line string for the trawl not provided 			AQ	0	200	-64.67	29.98	WGS84		
BROKE_WEST_RMT_008	BROKE_WEST	Routine RMT	Survey	RSV Aurora Australis	https://www.wikidata.org/entity/Q5765948	2006-01-20	2006	1	20		van de Putte, A. (2010) Fish catches from Rectangular Midwater Trawl - data collected from the BROKE-West voyage of the Aurora Australis, 2006, Ver. 1, Australian Antarctic Data Centre - doi:10.4225/15/598d453109182, Accessed: 2025-02-17 | Van de Putte, A.P.; Jackson, G.D.; Pakhomov, E.; Flores, H.; Volckaert, F.A.M. (2010). Distribution of squid and fish in the pelagic zone of the Cosmonaut Sea and Prydz Bay region during the BROKE-West campaign. Deep-Sea Res., Part 2, Top. Stud. Oceanogr. 57(9-10): 956-967. dx.doi.org/10.1016/j.dsr2.2008.02.015 https://doi.org/10.1016/j.dsr2.2008.02.015 	Line string for the trawl not provided 			AQ	0	200	-65.99	29.98	WGS84		
BROKE_WEST_RMT_009	BROKE_WEST	Target RMT	Survey	RSV Aurora Australis	https://www.wikidata.org/entity/Q5765948	2006-01-21	2006	1	21		van de Putte, A. (2010) Fish catches from Rectangular Midwater Trawl - data collected from the BROKE-West voyage of the Aurora Australis, 2006, Ver. 1, Australian Antarctic Data Centre - doi:10.4225/15/598d453109182, Accessed: 2025-02-17 | Van de Putte, A.P.; Jackson, G.D.; Pakhomov, E.; Flores, H.; Volckaert, F.A.M. (2010). Distribution of squid and fish in the pelagic zone of the Cosmonaut Sea and Prydz Bay region during the BROKE-West campaign. Deep-Sea Res., Part 2, Top. Stud. Oceanogr. 57(9-10): 956-967. dx.doi.org/10.1016/j.dsr2.2008.02.015 https://doi.org/10.1016/j.dsr2.2008.02.015 	Line string for the trawl not provided 			AQ			-66.16	29.99	WGS84		
BROKE_WEST_RMT_010	BROKE_WEST	Routine RMT	Survey	RSV Aurora Australis	https://www.wikidata.org/entity/Q5765948	2006-01-21	2006	1	21		van de Putte, A. (2010) Fish catches from Rectangular Midwater Trawl - data collected from the BROKE-West voyage of the Aurora Australis, 2006, Ver. 1, Australian Antarctic Data Centre - doi:10.4225/15/598d453109182, Accessed: 2025-02-17 | Van de Putte, A.P.; Jackson, G.D.; Pakhomov, E.; Flores, H.; Volckaert, F.A.M. (2010). Distribution of squid and fish in the pelagic zone of the Cosmonaut Sea and Prydz Bay region during the BROKE-West campaign. Deep-Sea Res., Part 2, Top. Stud. Oceanogr. 57(9-10): 956-967. dx.doi.org/10.1016/j.dsr2.2008.02.015 https://doi.org/10.1016/j.dsr2.2008.02.015 	Line string for the trawl not provided 			AQ	0	200	-67	29.98	WGS84		
BROKE_WEST_RMT_011	BROKE_WEST	Routine RMT	Survey	RSV Aurora Australis	https://www.wikidata.org/entity/Q5765948	2006-01-22	2006	1	22		van de Putte, A. (2010) Fish catches from Rectangular Midwater Trawl - data collected from the BROKE-West voyage of the Aurora Australis, 2006, Ver. 1, Australian Antarctic Data Centre - doi:10.4225/15/598d453109182, Accessed: 2025-02-17 | Van de Putte, A.P.; Jackson, G.D.; Pakhomov, E.; Flores, H.; Volckaert, F.A.M. (2010). Distribution of squid and fish in the pelagic zone of the Cosmonaut Sea and Prydz Bay region during the BROKE-West campaign. Deep-Sea Res., Part 2, Top. Stud. Oceanogr. 57(9-10): 956-967. dx.doi.org/10.1016/j.dsr2.2008.02.015 https://doi.org/10.1016/j.dsr2.2008.02.015 	Line string for the trawl not provided 			AQ	0	200	-67.99	30	WGS84		
BROKE_WEST_RMT_012	BROKE_WEST	Target RMT	Survey	RSV Aurora Australis	https://www.wikidata.org/entity/Q5765948	2006-01-22	2006	1	22		van de Putte, A. (2010) Fish catches from Rectangular Midwater Trawl - data collected from the BROKE-West voyage of the Aurora Australis, 2006, Ver. 1, Australian Antarctic Data Centre - doi:10.4225/15/598d453109182, Accessed: 2025-02-17 | Van de Putte, A.P.; Jackson, G.D.; Pakhomov, E.; Flores, H.; Volckaert, F.A.M. (2010). Distribution of squid and fish in the pelagic zone of the Cosmonaut Sea and Prydz Bay region during the BROKE-West campaign. Deep-Sea Res., Part 2, Top. Stud. Oceanogr. 57(9-10): 956-967. dx.doi.org/10.1016/j.dsr2.2008.02.015 https://doi.org/10.1016/j.dsr2.2008.02.015 	Line string for the trawl not provided 			AQ			-67.98	29.96	WGS84		
BROKE_WEST_RMT_013	BROKE_WEST	Target RMT	Survey	RSV Aurora Australis	https://www.wikidata.org/entity/Q5765948	2006-01-22	2006	1	22		van de Putte, A. (2010) Fish catches from Rectangular Midwater Trawl - data collected from the BROKE-West voyage of the Aurora Australis, 2006, Ver. 1, Australian Antarctic Data Centre - doi:10.4225/15/598d453109182, Accessed: 2025-02-17 | Van de Putte, A.P.; Jackson, G.D.; Pakhomov, E.; Flores, H.; Volckaert, F.A.M. (2010). Distribution of squid and fish in the pelagic zone of the Cosmonaut Sea and Prydz Bay region during the BROKE-West campaign. Deep-Sea Res., Part 2, Top. Stud. Oceanogr. 57(9-10): 956-967. dx.doi.org/10.1016/j.dsr2.2008.02.015 https://doi.org/10.1016/j.dsr2.2008.02.015 	Line string for the trawl not provided 			AQ			-68.49	29.98	WGS84		
BROKE_WEST_RMT_014	BROKE_WEST	Target RMT	Survey	RSV Aurora Australis	https://www.wikidata.org/entity/Q5765948	2006-01-22	2006	1	22		van de Putte, A. (2010) Fish catches from Rectangular Midwater Trawl - data collected from the BROKE-West voyage of the Aurora Australis, 2006, Ver. 1, Australian Antarctic Data Centre - doi:10.4225/15/598d453109182, Accessed: 2025-02-17 | Van de Putte, A.P.; Jackson, G.D.; Pakhomov, E.; Flores, H.; Volckaert, F.A.M. (2010). Distribution of squid and fish in the pelagic zone of the Cosmonaut Sea and Prydz Bay region during the BROKE-West campaign. Deep-Sea Res., Part 2, Top. Stud. Oceanogr. 57(9-10): 956-967. dx.doi.org/10.1016/j.dsr2.2008.02.015 https://doi.org/10.1016/j.dsr2.2008.02.015 	Line string for the trawl not provided 			AQ			-68.5	29.98	WGS84		
BROKE_WEST_RMT_015	BROKE_WEST	Target RMT	Survey	RSV Aurora Australis	https://www.wikidata.org/entity/Q5765948	2006-01-22	2006	1	22		van de Putte, A. (2010) Fish catches from Rectangular Midwater Trawl - data collected from the BROKE-West voyage of the Aurora Australis, 2006, Ver. 1, Australian Antarctic Data Centre - doi:10.4225/15/598d453109182, Accessed: 2025-02-17 | Van de Putte, A.P.; Jackson, G.D.; Pakhomov, E.; Flores, H.; Volckaert, F.A.M. (2010). Distribution of squid and fish in the pelagic zone of the Cosmonaut Sea and Prydz Bay region during the BROKE-West campaign. Deep-Sea Res., Part 2, Top. Stud. Oceanogr. 57(9-10): 956-967. dx.doi.org/10.1016/j.dsr2.2008.02.015 https://doi.org/10.1016/j.dsr2.2008.02.015 	Line string for the trawl not provided 			AQ			-68.5	29.98	WGS84		
BROKE_WEST_RMT_016	BROKE_WEST	Target RMT	Survey	RSV Aurora Australis	https://www.wikidata.org/entity/Q5765948	2006-01-22	2006	1	22		van de Putte, A. (2010) Fish catches from Rectangular Midwater Trawl - data collected from the BROKE-West voyage of the Aurora Australis, 2006, Ver. 1, Australian Antarctic Data Centre - doi:10.4225/15/598d453109182, Accessed: 2025-02-17 | Van de Putte, A.P.; Jackson, G.D.; Pakhomov, E.; Flores, H.; Volckaert, F.A.M. (2010). Distribution of squid and fish in the pelagic zone of the Cosmonaut Sea and Prydz Bay region during the BROKE-West campaign. Deep-Sea Res., Part 2, Top. Stud. Oceanogr. 57(9-10): 956-967. dx.doi.org/10.1016/j.dsr2.2008.02.015 https://doi.org/10.1016/j.dsr2.2008.02.015 	Line string for the trawl not provided 			AQ			-68.51	30	WGS84		
