materialEntityID	eventID	materialCategory	materialEntityType	collectedBy	collectedByID	preparations	disposition	materialEntityRemarks	evidenceForOccurrenceID	derivedFromMaterialEntityID	derivationType	verbatimIdentification	identifiedBy	identifiedByID	identificationRemarks	taxonID	scientificName	taxonRank
AAV3FF_00322	BROKE_WEST_RMT_100_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	formalin	pending accession into Institue of Natural Sciences' collection		BROKE_WEST_RMT_100_RMT8_234552			Bathydraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	closely resembles bathydraco antarcticus according to kellerman	urn:lsid:marinespecies.org:taxname:234552	Bathydraco	Genus
AAV3FF_00323	BROKE_WEST_RMT_100_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Frozen	pending accession into Institue of Natural Sciences' collection		BROKE_WEST_RMT_100_RMT8_234730			Pogonophryne marmorata	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234730	Pogonophryne marmorata	Species
AAV3FF_00324	BROKE_WEST_RMT_100_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Ethanol	pending accession into Institue of Natural Sciences' collection		BROKE_WEST_RMT_100_RMT8_234834			Cygnodraco mawsoni	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234834	Cygnodraco mawsoni	Species
AAV3FF_00325	BROKE_WEST_RMT_100_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Ethanol	pending accession into Institue of Natural Sciences' collection		BROKE_WEST_RMT_100_RMT8_234552			Bathydraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	closely resembles bathydraco antarcticus according to kellerman	urn:lsid:marinespecies.org:taxname:234552	Bathydraco	Genus
AAV3FF_00326	BROKE_WEST_RMT_101_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Frozen	pending accession into Institue of Natural Sciences' collection		BROKE_WEST_RMT_101_RMT8_217697_Postmeta			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00327	BROKE_WEST_RMT_101_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Frozen	pending accession into Institue of Natural Sciences' collection		BROKE_WEST_RMT_101_RMT8_217697_Postmeta			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00328	BROKE_WEST_RMT_101_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	formalin			BROKE_WEST_RMT_101_RMT8_217697_Postmeta			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00329	BROKE_WEST_RMT_101_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Frozen	pending accession into Institue of Natural Sciences' collection		BROKE_WEST_RMT_101_RMT8_217697_Postmeta			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00330	BROKE_WEST_RMT_101_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Frozen	pending accession into Institue of Natural Sciences' collection		BROKE_WEST_RMT_101_RMT8_217697_Postmeta			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00331	BROKE_WEST_RMT_101_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	formalin			BROKE_WEST_RMT_101_RMT8_217697_Postmeta			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00332	BROKE_WEST_RMT_101_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Frozen	pending accession into Institue of Natural Sciences' collection		BROKE_WEST_RMT_101_RMT8_217697_Postmeta			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00333	BROKE_WEST_RMT_101_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Ethanol	pending accession into Institue of Natural Sciences' collection		BROKE_WEST_RMT_101_RMT8_234695			Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00334	BROKE_WEST_RMT_101_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Ethanol	pending accession into Institue of Natural Sciences' collection		BROKE_WEST_RMT_101_RMT8_234695			Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
