materialEntityID	assertionID	assertionType	assertionTypeIRI	assertionValue	assertionValueIRI	assertionValueNumeric	assertionUnit	assertionUnitIRI
AAV3FF_00001	AAV3FF_00001_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			41	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00002	AAV3FF_00002_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			26	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00003	AAV3FF_00003_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			13	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00004	AAV3FF_00004_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			36	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00006	AAV3FF_00006_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			46	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00007	AAV3FF_00007_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			75	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00012	AAV3FF_00012_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			72	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00013	AAV3FF_00013_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			55	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00014	AAV3FF_00014_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			66	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00015	AAV3FF_00015_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			58	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00016	AAV3FF_00016_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			66	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00017	AAV3FF_00017_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			70	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00018	AAV3FF_00018_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			59	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00019	AAV3FF_00019_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			71	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00020	AAV3FF_00020_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			68	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00021	AAV3FF_00021_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			64	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00022	AAV3FF_00022_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			65	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00023	AAV3FF_00023_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			65	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00024	AAV3FF_00024_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			67	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00025	AAV3FF_00025_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			73	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00026	AAV3FF_00026_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			62	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
AAV3FF_00027	AAV3FF_00027_SL	Standard Length	http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01			58	mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
