mediaID	materialEntityID
AAV3FF_00001_01	AAV3FF_00001
AAV3FF_00002_01	AAV3FF_00002
AAV3FF_00003_01	AAV3FF_00003
AAV3FF_00004_01	AAV3FF_00004
AAV3FF_00005_01	AAV3FF_00005
AAV3FF_00006_01	AAV3FF_00006
AAV3FF_00007_01	AAV3FF_00007
AAV3FF_00008_01	AAV3FF_00008
AAV3FF_00009_01	AAV3FF_00009
AAV3FF_00012_01	AAV3FF_00012
AAV3FF_00112_01	AAV3FF_00112
AAV3FF_00113_01	AAV3FF_00113
AAV3FF_00114_01	AAV3FF_00114
AAV3FF_00115_01	AAV3FF_00115
AAV3FF_00116_01	AAV3FF_00116
AAV3FF_00117_01	AAV3FF_00117
AAV3FF_00118_01	AAV3FF_00118
AAV3FF_00119_01	AAV3FF_00119
AAV3FF_00120_01	AAV3FF_00120
AAV3FF_00121_01	AAV3FF_00121
AAV3FF_00123_01	AAV3FF_00123
AAV3FF_00124_01	AAV3FF_00124
AAV3FF_00125_01	AAV3FF_00125
AAV3FF_00126_01	AAV3FF_00126
AAV3FF_00139_01	AAV3FF_00139
AAV3FF_00140_01	AAV3FF_00140
AAV3FF_00141_01	AAV3FF_00141
AAV3FF_00142_01	AAV3FF_00142
AAV3FF_00143_01	AAV3FF_00143
AAV3FF_00144_01	AAV3FF_00144
AAV3FF_00145_01	AAV3FF_00145
AAV3FF_00146_01	AAV3FF_00146
AAV3FF_00147_01	AAV3FF_00147
AAV3FF_00148_01	AAV3FF_00148
AAV3FF_00149_01	AAV3FF_00149
AAV3FF_00150_01	AAV3FF_00150
AAV3FF_00151_01	AAV3FF_00151
AAV3FF_00154_01	AAV3FF_00154
AAV3FF_00155_01	AAV3FF_00155
AAV3FF_00156_01	AAV3FF_00156
AAV3FF_00157_01	AAV3FF_00157
AAV3FF_00158_01	AAV3FF_00158
AAV3FF_00159_01	AAV3FF_00159
AAV3FF_00160_01	AAV3FF_00160
AAV3FF_00161_01	AAV3FF_00161
AAV3FF_00162_01	AAV3FF_00162
AAV3FF_00163_01	AAV3FF_00163
AAV3FF_00164_01	AAV3FF_00164
AAV3FF_00165_01	AAV3FF_00165
AAV3FF_00166_01	AAV3FF_00166
AAV3FF_00167_01	AAV3FF_00167
AAV3FF_00168_01	AAV3FF_00168
AAV3FF_00169_01	AAV3FF_00169
AAV3FF_00170_01	AAV3FF_00170
AAV3FF_00171_01	AAV3FF_00171
AAV3FF_00172_01	AAV3FF_00172
AAV3FF_00174_01	AAV3FF_00174
AAV3FF_00175_01	AAV3FF_00175
AAV3FF_00176_01	AAV3FF_00176
AAV3FF_00178_01	AAV3FF_00178
AAV3FF_00181_01	AAV3FF_00181
AAV3FF_00182_01	AAV3FF_00182
AAV3FF_00183_01	AAV3FF_00183
AAV3FF_00184_01	AAV3FF_00184
AAV3FF_00185_01	AAV3FF_00185
AAV3FF_00196_01	AAV3FF_00196
AAV3FF_00198_01	AAV3FF_00198
AAV3FF_00199_01	AAV3FF_00199
AAV3FF_00204_01	AAV3FF_00204
AAV3FF_00205_01	AAV3FF_00205
AAV3FF_00206_01	AAV3FF_00206
AAV3FF_00207_01	AAV3FF_00207
AAV3FF_00208_01	AAV3FF_00208
AAV3FF_00209_01	AAV3FF_00209
AAV3FF_00210_01	AAV3FF_00210
AAV3FF_00211_01	AAV3FF_00211
AAV3FF_00212_01	AAV3FF_00212
AAV3FF_00213_01	AAV3FF_00213
AAV3FF_00214_01	AAV3FF_00214
AAV3FF_00215_01	AAV3FF_00215
AAV3FF_00216_01	AAV3FF_00216
AAV3FF_00217_01	AAV3FF_00217
AAV3FF_00219_01	AAV3FF_00219
AAV3FF_00221_01	AAV3FF_00221
AAV3FF_00224_01	AAV3FF_00224
AAV3FF_00227_01	AAV3FF_00227
AAV3FF_00228_01	AAV3FF_00228
AAV3FF_00229_01	AAV3FF_00229
AAV3FF_00230_01	AAV3FF_00230
AAV3FF_00231_01	AAV3FF_00231
AAV3FF_00232_01	AAV3FF_00232
AAV3FF_00233_01	AAV3FF_00233
AAV3FF_00234_01	AAV3FF_00234
AAV3FF_00235_01	AAV3FF_00235
AAV3FF_00236_01	AAV3FF_00236
AAV3FF_00237_01	AAV3FF_00237
AAV3FF_00238_01	AAV3FF_00238
AAV3FF_00239_01	AAV3FF_00239
AAV3FF_00240_01	AAV3FF_00240
AAV3FF_00241_01	AAV3FF_00241
AAV3FF_00244_01	AAV3FF_00244
