provenanceID	materialEntityID
PELAGANT	AAV3FF_00001
PELAGANT	AAV3FF_00002
PELAGANT	AAV3FF_00003
PELAGANT	AAV3FF_00004
PELAGANT	AAV3FF_00005
PELAGANT	AAV3FF_00006
PELAGANT	AAV3FF_00007
PELAGANT	AAV3FF_00008
PELAGANT	AAV3FF_00009
PELAGANT	AAV3FF_00012
PELAGANT	AAV3FF_00013
PELAGANT	AAV3FF_00014
PELAGANT	AAV3FF_00015
PELAGANT	AAV3FF_00016
PELAGANT	AAV3FF_00017
PELAGANT	AAV3FF_00018
PELAGANT	AAV3FF_00019
PELAGANT	AAV3FF_00020
PELAGANT	AAV3FF_00021
PELAGANT	AAV3FF_00022
PELAGANT	AAV3FF_00022_stomach_013_Copepod
PELAGANT	AAV3FF_00022_stomach_014_Oithona similis
PELAGANT	AAV3FF_00022_stomach_015_Oithona similis
PELAGANT	AAV3FF_00022_stomach_016_Oithona similis
PELAGANT	AAV3FF_00022_stomach_017_Other
PELAGANT	AAV3FF_00023
PELAGANT	AAV3FF_00024
PELAGANT	AAV3FF_00024_stomach_113_Primno macropa
PELAGANT	AAV3FF_00024_stomach_114_Calanoid copepod
PELAGANT	AAV3FF_00024_stomach_115_Calanoid copepod
PELAGANT	AAV3FF_00024_stomach_116_Calanoid copepod
PELAGANT	AAV3FF_00024_stomach_117_Stephos longipes
PELAGANT	AAV3FF_00024_stomach_118_Oithona similis
PELAGANT	AAV3FF_00024_stomach_119_Oithona similis
PELAGANT	AAV3FF_00024_stomach_120_Hyperiid
PELAGANT	AAV3FF_00024_stomach_121_Oithona similis
PELAGANT	AAV3FF_00024_stomach_122_Primno macropa
PELAGANT	AAV3FF_00024_stomach_123_Ctenocalanus vanus
PELAGANT	AAV3FF_00024_stomach_124_Ctenocalanus vanus
PELAGANT	AAV3FF_00024_stomach_125_Ctenocalanus vanus
PELAGANT	AAV3FF_00024_stomach_126_Oithona similis
PELAGANT	AAV3FF_00024_stomach_127_Copepod
PELAGANT	AAV3FF_00024_stomach_128_Calanoid copepod
PELAGANT	AAV3FF_00024_stomach_129_Copepod
PELAGANT	AAV3FF_00025
PELAGANT	AAV3FF_00025_stomach_018_Copepod
PELAGANT	AAV3FF_00025_stomach_019_Crustecean
PELAGANT	AAV3FF_00025_stomach_020_Mucus
PELAGANT	AAV3FF_00026
PELAGANT	AAV3FF_00027
PELAGANT	AAV3FF_00028
PELAGANT	AAV3FF_00028_stomach_042_Amphipod
PELAGANT	AAV3FF_00028_stomach_043_Primno macropa
PELAGANT	AAV3FF_00028_stomach_044_Oithona similis
PELAGANT	AAV3FF_00028_stomach_045_Oithona similis
PELAGANT	AAV3FF_00028_stomach_046_Oithona similis
PELAGANT	AAV3FF_00028_stomach_047_Oithona similis
PELAGANT	AAV3FF_00028_stomach_048_Nauplius
PELAGANT	AAV3FF_00028_stomach_049_Calyptotis
PELAGANT	AAV3FF_00028_stomach_050_Euphausia superba
PELAGANT	AAV3FF_00028_stomach_051_Copepod
PELAGANT	AAV3FF_00028_stomach_052_Copepod
PELAGANT	AAV3FF_00028_stomach_053_Copepod
PELAGANT	AAV3FF_00028_stomach_054_Copepod
PELAGANT	AAV3FF_00028_stomach_055_Copepod
PELAGANT	AAV3FF_00029
PELAGANT	AAV3FF_00029_stomach_056_Oithona similis
PELAGANT	AAV3FF_00029_stomach_057_Oithona similis
PELAGANT	AAV3FF_00029_stomach_058_Oithona similis
PELAGANT	AAV3FF_00029_stomach_059_Oithona similis
PELAGANT	AAV3FF_00029_stomach_060_Oithona similis
PELAGANT	AAV3FF_00029_stomach_061_Scaphocalanus vervoorti
PELAGANT	AAV3FF_00029_stomach_062_Calanoid copepod
PELAGANT	AAV3FF_00029_stomach_063_Scaphocalanus vervoorti
PELAGANT	AAV3FF_00029_stomach_064_Calanoid copepod
PELAGANT	AAV3FF_00029_stomach_065_Calanoid copepod
PELAGANT	AAV3FF_00029_stomach_066_Crustecean
PELAGANT	AAV3FF_00029_stomach_067_Copepod
PELAGANT	AAV3FF_00029_stomach_068_Copepod
PELAGANT	AAV3FF_00029_stomach_069_Copepod
PELAGANT	AAV3FF_00029_stomach_070_Calanoid copepod
PELAGANT	AAV3FF_00029_stomach_071_Calanoid copepod
PELAGANT	AAV3FF_00029_stomach_072_Calanoid copepod
PELAGANT	AAV3FF_00029_stomach_073_Oithona similis
PELAGANT	AAV3FF_00029_stomach_074_Oithona similis
PELAGANT	AAV3FF_00030
PELAGANT	AAV3FF_00031
PELAGANT	AAV3FF_00032
PELAGANT	AAV3FF_00033
PELAGANT	AAV3FF_00034
PELAGANT	AAV3FF_00035
PELAGANT	AAV3FF_00036
PELAGANT	AAV3FF_00036_stomach_094_Other
PELAGANT	AAV3FF_00036_stomach_095_Oithona similis
PELAGANT	AAV3FF_00036_stomach_096_Oithona similis
PELAGANT	AAV3FF_00036_stomach_097_Oithona similis
PELAGANT	AAV3FF_00036_stomach_098_Oithona similis
PELAGANT	AAV3FF_00036_stomach_099_Oithona similis
PELAGANT	AAV3FF_00036_stomach_100_Oithona similis
PELAGANT	AAV3FF_00036_stomach_101_Copepod
PELAGANT	AAV3FF_00036_stomach_102_other
PELAGANT	AAV3FF_00036_stomach_103_Crustecean
PELAGANT	AAV3FF_00036_stomach_104_Other
PELAGANT	AAV3FF_00036_stomach_105_Primno macropa
PELAGANT	AAV3FF_00036_stomach_106_Euphausia superba
PELAGANT	AAV3FF_00036_stomach_107_Euphausia superba
PELAGANT	AAV3FF_00036_stomach_108_larval euphausiid
PELAGANT	AAV3FF_00036_stomach_109_Calanoid copepod
PELAGANT	AAV3FF_00036_stomach_110_Undinella sp.
PELAGANT	AAV3FF_00036_stomach_111_Mucus
PELAGANT	AAV3FF_00036_stomach_112_Copepod
PELAGANT	AAV3FF_00037
PELAGANT	AAV3FF_00037_stomach_075_Oithona similis
PELAGANT	AAV3FF_00037_stomach_076_Oithona similis
PELAGANT	AAV3FF_00037_stomach_077_Oithona similis
PELAGANT	AAV3FF_00037_stomach_078_Oithona similis
PELAGANT	AAV3FF_00037_stomach_079_Copepod
PELAGANT	AAV3FF_00037_stomach_080_Copepod
PELAGANT	AAV3FF_00037_stomach_081_Calanoid copepod
PELAGANT	AAV3FF_00037_stomach_082_Aetidius armatus
PELAGANT	AAV3FF_00037_stomach_083_Calanoid copepod
PELAGANT	AAV3FF_00038
PELAGANT	AAV3FF_00039
PELAGANT	AAV3FF_00039_stomach_084_Oithona similis
PELAGANT	AAV3FF_00039_stomach_085_Oithona similis
PELAGANT	AAV3FF_00039_stomach_086_Oithona similis
PELAGANT	AAV3FF_00039_stomach_087_Other
PELAGANT	AAV3FF_00039_stomach_088_Euphausia superba
PELAGANT	AAV3FF_00039_stomach_089_Copepod
PELAGANT	AAV3FF_00039_stomach_090_Mucus
PELAGANT	AAV3FF_00039_stomach_091_Crustecean
PELAGANT	AAV3FF_00039_stomach_092_Scaphocalanus vervoorti
PELAGANT	AAV3FF_00039_stomach_093_Amphipod
PELAGANT	AAV3FF_00040
PELAGANT	AAV3FF_00040_stomach_021_Oithona similis
PELAGANT	AAV3FF_00040_stomach_022_Oithona similis
PELAGANT	AAV3FF_00040_stomach_023_Oithona similis
PELAGANT	AAV3FF_00040_stomach_024_Oithona similis
PELAGANT	AAV3FF_00040_stomach_025_Copepod
PELAGANT	AAV3FF_00040_stomach_026_Copepod
PELAGANT	AAV3FF_00040_stomach_027_Copepod
PELAGANT	AAV3FF_00040_stomach_028_Copepod
PELAGANT	AAV3FF_00040_stomach_029_Other
PELAGANT	AAV3FF_00040_stomach_030_Other
PELAGANT	AAV3FF_00041
PELAGANT	AAV3FF_00041_stomach_031_Furcilia
PELAGANT	AAV3FF_00041_stomach_032_Calyptotis
PELAGANT	AAV3FF_00041_stomach_033_Facet eye
PELAGANT	AAV3FF_00041_stomach_034_Copepod
PELAGANT	AAV3FF_00041_stomach_035_Calanoid copepod
PELAGANT	AAV3FF_00041_stomach_036_Oithona similis
PELAGANT	AAV3FF_00041_stomach_037_Oithona similis
PELAGANT	AAV3FF_00041_stomach_038_Oithona similis
PELAGANT	AAV3FF_00041_stomach_039_Copepod
PELAGANT	AAV3FF_00041_stomach_040_Harpacticoid copepod
PELAGANT	AAV3FF_00041_stomach_041_Mucus
PELAGANT	AAV3FF_00042
PELAGANT	AAV3FF_00043
PELAGANT	AAV3FF_00044
PELAGANT	AAV3FF_00045
PELAGANT	AAV3FF_00046
PELAGANT	AAV3FF_00047
PELAGANT	AAV3FF_00048
PELAGANT	AAV3FF_00049
PELAGANT	AAV3FF_00050
PELAGANT	AAV3FF_00051
PELAGANT	AAV3FF_00052
PELAGANT	AAV3FF_00053
PELAGANT	AAV3FF_00054
PELAGANT	AAV3FF_00055
PELAGANT	AAV3FF_00056
PELAGANT	AAV3FF_00057
PELAGANT	AAV3FF_00058
PELAGANT	AAV3FF_00059
PELAGANT	AAV3FF_00060
PELAGANT	AAV3FF_00061
PELAGANT	AAV3FF_00062
PELAGANT	AAV3FF_00063
PELAGANT	AAV3FF_00064
PELAGANT	AAV3FF_00065
PELAGANT	AAV3FF_00066
PELAGANT	AAV3FF_00067
PELAGANT	AAV3FF_00068
PELAGANT	AAV3FF_00069
PELAGANT	AAV3FF_00070
PELAGANT	AAV3FF_00071
PELAGANT	AAV3FF_00072
PELAGANT	AAV3FF_00073
PELAGANT	AAV3FF_00074
PELAGANT	AAV3FF_00075
PELAGANT	AAV3FF_00076
PELAGANT	AAV3FF_00077
PELAGANT	AAV3FF_00078
PELAGANT	AAV3FF_00079
PELAGANT	AAV3FF_00080
PELAGANT	AAV3FF_00081
PELAGANT	AAV3FF_00082
PELAGANT	AAV3FF_00083
PELAGANT	AAV3FF_00084
PELAGANT	AAV3FF_00085
PELAGANT	AAV3FF_00086
PELAGANT	AAV3FF_00087
PELAGANT	AAV3FF_00088
PELAGANT	AAV3FF_00089
PELAGANT	AAV3FF_00090
PELAGANT	AAV3FF_00091
PELAGANT	AAV3FF_00092
PELAGANT	AAV3FF_00093
PELAGANT	AAV3FF_00094
PELAGANT	AAV3FF_00095
PELAGANT	AAV3FF_00096
PELAGANT	AAV3FF_00097
PELAGANT	AAV3FF_00098
PELAGANT	AAV3FF_00099
PELAGANT	AAV3FF_00100
PELAGANT	AAV3FF_00101
PELAGANT	AAV3FF_00102
PELAGANT	AAV3FF_00103
PELAGANT	AAV3FF_00104
PELAGANT	AAV3FF_00105
PELAGANT	AAV3FF_00106
PELAGANT	AAV3FF_00107
PELAGANT	AAV3FF_00108
PELAGANT	AAV3FF_00109
PELAGANT	AAV3FF_00110
PELAGANT	AAV3FF_00111
PELAGANT	AAV3FF_00112
PELAGANT	AAV3FF_00113
PELAGANT	AAV3FF_00114
PELAGANT	AAV3FF_00115
PELAGANT	AAV3FF_00116
PELAGANT	AAV3FF_00117
PELAGANT	AAV3FF_00118
PELAGANT	AAV3FF_00119
PELAGANT	AAV3FF_00120
PELAGANT	AAV3FF_00121
PELAGANT	AAV3FF_00123
PELAGANT	AAV3FF_00124
PELAGANT	AAV3FF_00125
PELAGANT	AAV3FF_00126
PELAGANT	AAV3FF_00130
PELAGANT	AAV3FF_00132
PELAGANT	AAV3FF_00133
PELAGANT	AAV3FF_00134
PELAGANT	AAV3FF_00135
PELAGANT	AAV3FF_00136
PELAGANT	AAV3FF_00137
PELAGANT	AAV3FF_00139
PELAGANT	AAV3FF_00140
PELAGANT	AAV3FF_00141
PELAGANT	AAV3FF_00142
PELAGANT	AAV3FF_00143
PELAGANT	AAV3FF_00144
PELAGANT	AAV3FF_00145
PELAGANT	AAV3FF_00146
PELAGANT	AAV3FF_00147
PELAGANT	AAV3FF_00148
PELAGANT	AAV3FF_00149
PELAGANT	AAV3FF_00150
PELAGANT	AAV3FF_00151
PELAGANT	AAV3FF_00154
PELAGANT	AAV3FF_00155
PELAGANT	AAV3FF_00156
PELAGANT	AAV3FF_00157
PELAGANT	AAV3FF_00158
PELAGANT	AAV3FF_00159
PELAGANT	AAV3FF_00160
PELAGANT	AAV3FF_00161
PELAGANT	AAV3FF_00162
PELAGANT	AAV3FF_00163
PELAGANT	AAV3FF_00164
PELAGANT	AAV3FF_00165
PELAGANT	AAV3FF_00166
PELAGANT	AAV3FF_00167
PELAGANT	AAV3FF_00168
PELAGANT	AAV3FF_00169
PELAGANT	AAV3FF_00170
PELAGANT	AAV3FF_00171
PELAGANT	AAV3FF_00172
PELAGANT	AAV3FF_00173
PELAGANT	AAV3FF_00174
PELAGANT	AAV3FF_00175
PELAGANT	AAV3FF_00176
PELAGANT	AAV3FF_00177
PELAGANT	AAV3FF_00178
PELAGANT	AAV3FF_00179
PELAGANT	AAV3FF_00181
PELAGANT	AAV3FF_00182
PELAGANT	AAV3FF_00183
PELAGANT	AAV3FF_00184
PELAGANT	AAV3FF_00185
PELAGANT	AAV3FF_00186
PELAGANT	AAV3FF_00196
PELAGANT	AAV3FF_00197
PELAGANT	AAV3FF_00198
PELAGANT	AAV3FF_00199
PELAGANT	AAV3FF_00201
PELAGANT	AAV3FF_00202
PELAGANT	AAV3FF_00203
PELAGANT	AAV3FF_00204
PELAGANT	AAV3FF_00205
PELAGANT	AAV3FF_00206
PELAGANT	AAV3FF_00207
PELAGANT	AAV3FF_00208
PELAGANT	AAV3FF_00209
PELAGANT	AAV3FF_00210
PELAGANT	AAV3FF_00211
PELAGANT	AAV3FF_00212
PELAGANT	AAV3FF_00213
PELAGANT	AAV3FF_00214
PELAGANT	AAV3FF_00215
PELAGANT	AAV3FF_00216
PELAGANT	AAV3FF_00217
PELAGANT	AAV3FF_00218
PELAGANT	AAV3FF_00219
PELAGANT	AAV3FF_00220
PELAGANT	AAV3FF_00221
PELAGANT	AAV3FF_00222
PELAGANT	AAV3FF_00223
PELAGANT	AAV3FF_00224
PELAGANT	AAV3FF_00227
PELAGANT	AAV3FF_00228
PELAGANT	AAV3FF_00229
PELAGANT	AAV3FF_00230
PELAGANT	AAV3FF_00231
PELAGANT	AAV3FF_00232
PELAGANT	AAV3FF_00233
PELAGANT	AAV3FF_00234
PELAGANT	AAV3FF_00235
PELAGANT	AAV3FF_00236
PELAGANT	AAV3FF_00237
PELAGANT	AAV3FF_00238
PELAGANT	AAV3FF_00239
PELAGANT	AAV3FF_00240
PELAGANT	AAV3FF_00241
PELAGANT	AAV3FF_00244
PELAGANT	AAV3FF_00247
PELAGANT	AAV3FF_00248
PELAGANT	AAV3FF_00248_stomach_136_Rhincalanus gigas
PELAGANT	AAV3FF_00248_stomach_137_Siphonophora nectophore
PELAGANT	AAV3FF_00248_stomach_138_Paraeuchaeta antarctica
PELAGANT	AAV3FF_00249
PELAGANT	AAV3FF_00249_stomach_139_Rhincalanus gigas
PELAGANT	AAV3FF_00250
PELAGANT	AAV3FF_00251
PELAGANT	AAV3FF_00252
PELAGANT	AAV3FF_00253
PELAGANT	AAV3FF_00254
PELAGANT	AAV3FF_00255
PELAGANT	AAV3FF_00256
PELAGANT	AAV3FF_00257
PELAGANT	AAV3FF_00258
PELAGANT	AAV3FF_00259
PELAGANT	AAV3FF_00260
PELAGANT	AAV3FF_00261
PELAGANT	AAV3FF_00262
PELAGANT	AAV3FF_00263
PELAGANT	AAV3FF_00264
PELAGANT	AAV3FF_00265
PELAGANT	AAV3FF_00266
PELAGANT	AAV3FF_00267
PELAGANT	AAV3FF_00268
PELAGANT	AAV3FF_00269
PELAGANT	AAV3FF_00270
PELAGANT	AAV3FF_00271
PELAGANT	AAV3FF_00272
PELAGANT	AAV3FF_00273
PELAGANT	AAV3FF_00274
PELAGANT	AAV3FF_00275
PELAGANT	AAV3FF_00276
PELAGANT	AAV3FF_00277
PELAGANT	AAV3FF_00278
PELAGANT	AAV3FF_00279
PELAGANT	AAV3FF_00281
PELAGANT	AAV3FF_00281_stomach_140_/
PELAGANT	AAV3FF_00282
PELAGANT	AAV3FF_00283
PELAGANT	AAV3FF_00284
PELAGANT	AAV3FF_00285
PELAGANT	AAV3FF_00286
PELAGANT	AAV3FF_00287
PELAGANT	AAV3FF_00288
PELAGANT	AAV3FF_00289
PELAGANT	AAV3FF_00290
PELAGANT	AAV3FF_00291
PELAGANT	AAV3FF_00292
PELAGANT	AAV3FF_00293
PELAGANT	AAV3FF_00294
PELAGANT	AAV3FF_00295
PELAGANT	AAV3FF_00296
PELAGANT	AAV3FF_00297
PELAGANT	AAV3FF_00298
PELAGANT	AAV3FF_00299
PELAGANT	AAV3FF_00300
PELAGANT	AAV3FF_00301
PELAGANT	AAV3FF_00302
PELAGANT	AAV3FF_00303
PELAGANT	AAV3FF_00304
PELAGANT	AAV3FF_00305
PELAGANT	AAV3FF_00306
PELAGANT	AAV3FF_00307
PELAGANT	AAV3FF_00308
PELAGANT	AAV3FF_00309
PELAGANT	AAV3FF_00310
PELAGANT	AAV3FF_00311
PELAGANT	AAV3FF_00312
PELAGANT	AAV3FF_00313
PELAGANT	AAV3FF_00314
PELAGANT	AAV3FF_00315
PELAGANT	AAV3FF_00316
PELAGANT	AAV3FF_00317
PELAGANT	AAV3FF_00318
PELAGANT	AAV3FF_00320
PELAGANT	AAV3FF_00321
PELAGANT	AAV3FF_00322
PELAGANT	AAV3FF_00323
PELAGANT	AAV3FF_00324
PELAGANT	AAV3FF_00325
PELAGANT	AAV3FF_00326
PELAGANT	AAV3FF_00327
PELAGANT	AAV3FF_00328
PELAGANT	AAV3FF_00328_stomach_130_Paraeuchaeta antarctica
PELAGANT	AAV3FF_00328_stomach_131_Cyllopus magellanicus
PELAGANT	AAV3FF_00329
PELAGANT	AAV3FF_00330
PELAGANT	AAV3FF_00331
PELAGANT	AAV3FF_00331_stomach_132_Calanus propinquus
PELAGANT	AAV3FF_00331_stomach_133_Hyperiella spp.
PELAGANT	AAV3FF_00332
PELAGANT	AAV3FF_00333
PELAGANT	AAV3FF_00334
PELAGANT	AAV3FF_00335
PELAGANT	AAV3FF_00336
PELAGANT	AAV3FF_00337
PELAGANT	AAV3FF_00337_stomach_002_Euphausiid
PELAGANT	AAV3FF_00337_stomach_003_larval euphausiid
PELAGANT	AAV3FF_00337_stomach_004_Crustecean
PELAGANT	AAV3FF_00337_stomach_005_Copepod
PELAGANT	AAV3FF_00337_stomach_006_Copepod
PELAGANT	AAV3FF_00337_stomach_007_Copepod
PELAGANT	AAV3FF_00337_stomach_008_Crustecean
PELAGANT	AAV3FF_00338
PELAGANT	AAV3FF_00338_stomach_001_Tyhsanoessa macrura
PELAGANT	AAV3FF_00339
PELAGANT	AAV3FF_00340
PELAGANT	AAV3FF_00341
PELAGANT	AAV3FF_00342
PELAGANT	AAV3FF_00343
PELAGANT	AAV3FF_00344
PELAGANT	AAV3FF_00345
PELAGANT	AAV3FF_00346
PELAGANT	AAV3FF_00347
PELAGANT	AAV3FF_00348
PELAGANT	AAV3FF_00349
PELAGANT	AAV3FF_00350
PELAGANT	AAV3FF_00351
PELAGANT	AAV3FF_00352
PELAGANT	AAV3FF_00353
PELAGANT	AAV3FF_00354
PELAGANT	AAV3FF_00355
PELAGANT	AAV3FF_00356
PELAGANT	AAV3FF_00358
PELAGANT	AAV3FF_00359
PELAGANT	AAV3FF_00360
PELAGANT	AAV3FF_00361
PELAGANT	AAV3FF_00362
PELAGANT	AAV3FF_00363
PELAGANT	AAV3FF_00364
PELAGANT	AAV3FF_00365
PELAGANT	AAV3FF_00366
PELAGANT	AAV3FF_00367
PELAGANT	AAV3FF_00368
PELAGANT	AAV3FF_00369
PELAGANT	AAV3FF_00370
PELAGANT	AAV3FF_00371
PELAGANT	AAV3FF_00372
PELAGANT	AAV3FF_00373
PELAGANT	AAV3FF_00374
PELAGANT	AAV3FF_00374_stomach_009_St wall
PELAGANT	AAV3FF_00374_stomach_010_Mucus
PELAGANT	AAV3FF_00375
PELAGANT	AAV3FF_00376
PELAGANT	AAV3FF_00377
PELAGANT	AAV3FF_00377_stomach_011_Euphausia superba
PELAGANT	AAV3FF_00378
PELAGANT	AAV3FF_00378_stomach_012_Euphausia superba
PELAGANT	AAV3FF_00379
PELAGANT	AAV3FF_00380
PELAGANT	AAV3FF_00381
PELAGANT	AAV3FF_00382
PELAGANT	AAV3FF_00383
PELAGANT	AAV3FF_00384
PELAGANT	AAV3FF_00385
PELAGANT	AAV3FF_00386
PELAGANT	AAV3FF_00387
PELAGANT	AAV3FF_00388
PELAGANT	AAV3FF_00389
PELAGANT	AAV3FF_00390
PELAGANT	AAV3FF_00391
PELAGANT	AAV3FF_00392
PELAGANT	AAV3FF_00393
PELAGANT	AAV3FF_00394
PELAGANT	AAV3FF_00395
PELAGANT	AAV3FF_00396
PELAGANT	AAV3FF_00397
PELAGANT	AAV3FF_00398
PELAGANT	AAV3FF_00399
PELAGANT	AAV3FF_00400
PELAGANT	AAV3FF_00401
PELAGANT	AAV3FF_00402
PELAGANT	AAV3FF_00403
PELAGANT	AAV3FF_00404
PELAGANT	AAV3FF_00404_stomach_134_Thysanoessa macrura
PELAGANT	AAV3FF_00405
PELAGANT	AAV3FF_00405_stomach_135_/
PELAGANT	AAV3FF_00406
PELAGANT	AAV3FF_00407
PELAGANT	AAV3FF_00408
PELAGANT	AAV3FF_00409
PELAGANT	AAV3FF_00410
PELAGANT	AAV3FF_00411
PELAGANT	AAV3FF_00412
PELAGANT	AAV3FF_00413
PELAGANT	AAV3FF_00414
PELAGANT	AAV3FF_00415
PELAGANT	AAV3FF_00416
PELAGANT	AAV3FF_00417
PELAGANT	AAV3FF_00418
PELAGANT	AAV3FF_00419
PELAGANT	AAV3FF_00420
PELAGANT	AAV3FF_00421
PELAGANT	AAV3FP_00001
PELAGANT	AAV3FP_00002
PELAGANT	AAV3FP_00003
PELAGANT	AAV3FP_00004
PELAGANT	AAV3FP_00005
PELAGANT	AAV3FP_00006
PELAGANT	AAV3FP_00007
PELAGANT	AAV3FP_00008
PELAGANT	AAV3FP_00009
PELAGANT	AAV3FP_00010
PELAGANT	AAV3FP_00011
PELAGANT	AAV3FP_00012
PELAGANT	AAV3FP_00013
PELAGANT	AAV3FP_00014
PELAGANT	AAV3FP_00015
PELAGANT	AAV3FP_00016
PELAGANT	AAV3FP_00017
PELAGANT	AAV3FP_00018
PELAGANT	AAV3FP_00019
PELAGANT	AAV3FP_00020
PELAGANT	AAV3FP_00021
PELAGANT	AAV3FP_00022
PELAGANT	AAV3FP_00023
PELAGANT	AAV3FP_00024
PELAGANT	AAV3FP_00025
PELAGANT	AAV3FP_00026
PELAGANT	AAV3FP_00027
PELAGANT	AAV3FP_00028
PELAGANT	AAV3FP_00029
PELAGANT	AAV3FP_00030
