mediaID	mediaType	description	language	accessURI	format
AAV3FF_00001_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00001_01.JPG?download=1	image/jpeg
AAV3FF_00002_01	StillImage	Photo of Macrouridae with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00002_01.JPG?download=1	image/jpeg
AAV3FF_00003_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00003_01.JPG?download=1	image/jpeg
AAV3FF_00004_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00004_01.JPG?download=1	image/jpeg
AAV3FF_00005_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00005_01.JPG?download=1	image/jpeg
AAV3FF_00006_01	StillImage	Photo of Pleuragramma antarcticum with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00006_01.JPG?download=1	image/jpeg
AAV3FF_00007_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00007_01.JPG?download=1	image/jpeg
AAV3FF_00008_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00008_01.JPG?download=1	image/jpeg
AAV3FF_00009_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00009_01.JPG?download=1	image/jpeg
AAV3FF_00012_01	StillImage	Photo of Pleuragramma antarcticum with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00012_01.JPG?download=1	image/jpeg
AAV3FF_00112_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00112_01.JPG?download=1	image/jpeg
AAV3FF_00113_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00113_01.JPG?download=1	image/jpeg
AAV3FF_00114_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00114_01.JPG?download=1	image/jpeg
AAV3FF_00115_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00115_01.JPG?download=1	image/jpeg
AAV3FF_00116_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00116_01.JPG?download=1	image/jpeg
AAV3FF_00117_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00117_01.JPG?download=1	image/jpeg
AAV3FF_00118_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00118_01.JPG?download=1	image/jpeg
AAV3FF_00119_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00119_01.JPG?download=1	image/jpeg
AAV3FF_00120_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00120_01.JPG?download=1	image/jpeg
AAV3FF_00121_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00121_01.JPG?download=1	image/jpeg
AAV3FF_00123_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00123_01.JPG?download=1	image/jpeg
AAV3FF_00124_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00124_01.JPG?download=1	image/jpeg
AAV3FF_00125_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00125_01.JPG?download=1	image/jpeg
AAV3FF_00126_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00126_01.JPG?download=1	image/jpeg
AAV3FF_00139_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00139_01.JPG?download=1	image/jpeg
AAV3FF_00140_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00140_01.JPG?download=1	image/jpeg
AAV3FF_00141_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00141_01.JPG?download=1	image/jpeg
AAV3FF_00142_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00142_01.JPG?download=1	image/jpeg
AAV3FF_00143_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00143_01.JPG?download=1	image/jpeg
AAV3FF_00144_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00144_01.JPG?download=1	image/jpeg
AAV3FF_00145_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00145_01.JPG?download=1	image/jpeg
AAV3FF_00146_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00146_01.JPG?download=1	image/jpeg
AAV3FF_00147_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00147_01.JPG?download=1	image/jpeg
AAV3FF_00148_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00148_01.JPG?download=1	image/jpeg
AAV3FF_00149_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00149_01.JPG?download=1	image/jpeg
AAV3FF_00150_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00150_01.JPG?download=1	image/jpeg
AAV3FF_00151_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00151_01.JPG?download=1	image/jpeg
AAV3FF_00154_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00154_01.JPG?download=1	image/jpeg
AAV3FF_00155_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00155_01.JPG?download=1	image/jpeg
AAV3FF_00156_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00156_01.JPG?download=1	image/jpeg
AAV3FF_00157_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00157_01.JPG?download=1	image/jpeg
AAV3FF_00158_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00158_01.JPG?download=1	image/jpeg
AAV3FF_00159_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00159_01.JPG?download=1	image/jpeg
AAV3FF_00160_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00160_01.JPG?download=1	image/jpeg
AAV3FF_00161_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00161_01.JPG?download=1	image/jpeg
AAV3FF_00162_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00162_01.JPG?download=1	image/jpeg
AAV3FF_00163_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00163_01.JPG?download=1	image/jpeg
AAV3FF_00164_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00164_01.JPG?download=1	image/jpeg
AAV3FF_00165_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00165_01.JPG?download=1	image/jpeg
AAV3FF_00166_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00166_01.JPG?download=1	image/jpeg
AAV3FF_00167_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00167_01.JPG?download=1	image/jpeg
AAV3FF_00168_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00168_01.JPG?download=1	image/jpeg
AAV3FF_00169_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00169_01.JPG?download=1	image/jpeg
AAV3FF_00170_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00170_01.JPG?download=1	image/jpeg
AAV3FF_00171_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00171_01.JPG?download=1	image/jpeg
AAV3FF_00172_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00172_01.JPG?download=1	image/jpeg
AAV3FF_00174_01	StillImage	Photo of Gymnodraco acuticeps with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00174_01.JPG?download=1	image/jpeg
AAV3FF_00175_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00175_01.JPG?download=1	image/jpeg
AAV3FF_00176_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00176_01.JPG?download=1	image/jpeg
AAV3FF_00178_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00178_01.JPG?download=1	image/jpeg
AAV3FF_00181_01	StillImage	Photo of Pleuragramma antarcticum with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00181_01.JPG?download=1	image/jpeg
AAV3FF_00182_01	StillImage	Photo of Pleuragramma antarcticum with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00182_01.JPG?download=1	image/jpeg
AAV3FF_00183_01	StillImage	Photo of Pleuragramma antarcticum with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00183_01.JPG?download=1	image/jpeg
AAV3FF_00184_01	StillImage	Photo of Pleuragramma antarcticum with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00184_01.JPG?download=1	image/jpeg
AAV3FF_00185_01	StillImage	Photo of Pleuragramma antarcticum with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00185_01.JPG?download=1	image/jpeg
AAV3FF_00196_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00196_01.JPG?download=1	image/jpeg
AAV3FF_00198_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00198_01.JPG?download=1	image/jpeg
AAV3FF_00199_01	StillImage	Photo of Notolepis coatsi with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00199_01.JPG?download=1	image/jpeg
AAV3FF_00204_01	StillImage	Photo of Electrona antarctica with its label and a grid.	eng	https://zenodo.org/records/14898800/files/AAV3FF_00204_01.JPG?download=1	image/jpeg
