surveyID	eventID	siteCount	siteNestingDescription	verbatimSiteDescriptions	verbatimSiteNames	isAbsenceReported	areNonTargetTaxaFullyReported	compilationTypes	inventoryTypes	protocolNames	protocolReferences	isLeastSpecificTargetCategoryQuantityInclusive	sampleSizeValue	sampleSizeUnit	samplingPerformedBy	samplingPerformedByID	isSamplingEffortReported	samplingEffortProtocol	samplingEffortValue	samplingEffortUnit
BROKE_WEST_RMT_001_RMT1	BROKE_WEST_RMT_001_RMT1	1	sampling station		RMT_001	false	true	survey only	restricted search taxonomic inventory process	target trawls on acoustically detected aggregations	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	true			Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	true	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.	4.5	km/h
BROKE_WEST_RMT_001_RMT8	BROKE_WEST_RMT_001_RMT8	1	sampling station		RMT_001	false	true	survey only	restricted search taxonomic inventory process	target trawls on acoustically detected aggregations	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	true	17389.23	m3	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	true	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.	4.5	km/h
BROKE_WEST_RMT_002_RMT1	BROKE_WEST_RMT_002_RMT1	1	sampling station		RMT_002	false	true	survey only	restricted search taxonomic inventory process	target trawls on acoustically detected aggregations	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	true			Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	true	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.	4.5	km/h
BROKE_WEST_RMT_002_RMT8	BROKE_WEST_RMT_002_RMT8	1	sampling station		RMT_002	false	true	survey only	restricted search taxonomic inventory process	target trawls on acoustically detected aggregations	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	true	16962.74	m3	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	true	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.	4.5	km/h
BROKE_WEST_RMT_003_RMT1	BROKE_WEST_RMT_003_RMT1	1	sampling station		RMT_003	false	true	survey only	restricted search taxonomic inventory process	target trawls on acoustically detected aggregations	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	true			Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	true	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.	4.5	km/h
BROKE_WEST_RMT_003_RMT8	BROKE_WEST_RMT_003_RMT8	1	sampling station		RMT_003	false	true	survey only	restricted search taxonomic inventory process	target trawls on acoustically detected aggregations	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	true	14839.03	m3	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	true	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.	4.5	km/h
BROKE_WEST_RMT_004_RMT1	BROKE_WEST_RMT_004_RMT1	1	sampling station		RMT_004	false	true	survey only	restricted search taxonomic inventory process	Pre-planned routine hauls with standard double oblique tow	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	true			Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	true	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.	4.5	km/h
BROKE_WEST_RMT_004_RMT8	BROKE_WEST_RMT_004_RMT8	1	sampling station		RMT_004	false	true	survey only	restricted search taxonomic inventory process	Pre-planned routine hauls with standard double oblique tow	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	true	37624.59	m3	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	true	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.	4.5	km/h
BROKE_WEST_RMT_005_RMT1	BROKE_WEST_RMT_005_RMT1	1	sampling station		RMT_005	false	true	survey only	restricted search taxonomic inventory process	Pre-planned routine hauls with standard double oblique tow	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	true			Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	true	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.	4.5	km/h
BROKE_WEST_RMT_005_RMT8	BROKE_WEST_RMT_005_RMT8	1	sampling station		RMT_005	false	true	survey only	restricted search taxonomic inventory process	Pre-planned routine hauls with standard double oblique tow	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	true	41717.26	m3	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	true	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.	4.5	km/h
