occurrence_id	event_id	survey_target_id	recorded_by	recorded_by_id	organism_quantity	organism_quantity_type	sex	life_stage	reproductive_condition	caste	behavior	vitality	establishment_means	degree_of_establishment	pathway	substrate	occurrence_status	occurrence_references	information_withheld	data_generalizations	occurrence_remarks	organism_id	organism_scope	organism_name	cause_of_death	organism_remarks	verbatim_identification	taxon_formula	identified_by	identified_by_id	date_identified	identification_references	identification_verification_status	identification_remarks	taxon_id	higher_classification_name	higher_classification_rank	scientific_name	taxon_rank	taxon_remarks	feedback_url
BROKE_WEST_RMT_007_RMT8_BROKE_WEST_RMT_007_RMT8_125471	BROKE_WEST_RMT_007_RMT8	BROKE_WEST_RMT_007_RMT8_125471	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual											detected						multicellular organism				Macrouridae	A	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554					urn:lsid:marinespecies.org:taxname:125471	Animalia	kingdom	Macrouridae	Family		
BROKE_WEST_RMT_008_RMT8_BROKE_WEST_RMT_008_RMT8_217697	BROKE_WEST_RMT_008_RMT8	BROKE_WEST_RMT_008_RMT8_217697	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual											detected						multicellular organism				Electrona antarctica all	A	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554					urn:lsid:marinespecies.org:taxname:217697	Animalia	kingdom	Electrona antarctica	Species		
BROKE_WEST_RMT_008_RMT8_BROKE_WEST_RMT_008_RMT8_217697_Larvae	BROKE_WEST_RMT_008_RMT8	BROKE_WEST_RMT_008_RMT8_217697_Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		Larvae									detected						multicellular organism				Electrona antarctica Larvae	A	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554					urn:lsid:marinespecies.org:taxname:217697	Animalia	kingdom	Electrona antarctica	Species		
BROKE_WEST_RMT_008_RMT8_BROKE_WEST_RMT_008_RMT8_234695	BROKE_WEST_RMT_008_RMT8	BROKE_WEST_RMT_008_RMT8_234695	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual											detected						multicellular organism				Notolepis coatsi	A	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554					urn:lsid:marinespecies.org:taxname:234695	Animalia	kingdom	Notolepis coatsi	Species		
BROKE_WEST_RMT_011_RMT8_BROKE_WEST_RMT_011_RMT8_234695	BROKE_WEST_RMT_011_RMT8	BROKE_WEST_RMT_011_RMT8_234695	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals											detected						multicellular organism				Notolepis coatsi	A	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554					urn:lsid:marinespecies.org:taxname:234695	Animalia	kingdom	Notolepis coatsi	Species		
BROKE_WEST_RMT_011_RMT8_BROKE_WEST_RMT_011_RMT8_234721	BROKE_WEST_RMT_011_RMT8	BROKE_WEST_RMT_011_RMT8_234721	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual											detected						multicellular organism				Pleuragramma antarcticum	A	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554					urn:lsid:marinespecies.org:taxname:234721	Animalia	kingdom	Pleuragramma antarcticum	Species		
BROKE_WEST_RMT_017_RMT8_BROKE_WEST_RMT_017_RMT8_234695	BROKE_WEST_RMT_017_RMT8	BROKE_WEST_RMT_017_RMT8_234695	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals											detected						multicellular organism				Notolepis coatsi	A	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554					urn:lsid:marinespecies.org:taxname:234695	Animalia	kingdom	Notolepis coatsi	Species		
BROKE_WEST_RMT_020_RMT8_BROKE_WEST_RMT_020_RMT8_234721	BROKE_WEST_RMT_020_RMT8	BROKE_WEST_RMT_020_RMT8_234721	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual											detected						multicellular organism				Pleuragramma antarcticum	A	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554					urn:lsid:marinespecies.org:taxname:234721	Animalia	kingdom	Pleuragramma antarcticum	Species		
BROKE_WEST_RMT_031_RMT8_BROKE_WEST_RMT_031_RMT8_217697	BROKE_WEST_RMT_031_RMT8	BROKE_WEST_RMT_031_RMT8_217697	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	4	individuals											detected						multicellular organism				Electrona antarctica all	A	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554					urn:lsid:marinespecies.org:taxname:217697	Animalia	kingdom	Electrona antarctica	Species		
BROKE_WEST_RMT_031_RMT8_BROKE_WEST_RMT_031_RMT8_217697_Larvae	BROKE_WEST_RMT_031_RMT8	BROKE_WEST_RMT_031_RMT8_217697_Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	4	individuals		Larvae									detected						multicellular organism				Electrona antarctica Larvae	A	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554					urn:lsid:marinespecies.org:taxname:217697	Animalia	kingdom	Electrona antarctica	Species		
BROKE_WEST_RMT_031_RMT8_BROKE_WEST_RMT_031_RMT8_234695	BROKE_WEST_RMT_031_RMT8	BROKE_WEST_RMT_031_RMT8_234695	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	13	individuals											detected						multicellular organism				Notolepis coatsi	A	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554					urn:lsid:marinespecies.org:taxname:234695	Animalia	kingdom	Notolepis coatsi	Species		
