eventID	agentID	agentRole
BROKE_WEST_RMT_001	https://orcid.org/0000-0003-1336-5554	collector
BROKE_WEST_RMT_001	AVdP_collector	collector
BROKE_WEST_RMT_002	AVdP_collector	collector
BROKE_WEST_RMT_003	AVdP_collector	collector
BROKE_WEST_RMT_004	AVdP_collector	collector
BROKE_WEST_RMT_005	AVdP_collector	collector
BROKE_WEST_RMT_006	AVdP_collector	collector
BROKE_WEST_RMT_007	AVdP_collector	collector
BROKE_WEST_RMT_008	AVdP_collector	collector
BROKE_WEST_RMT_009	AVdP_collector	collector
BROKE_WEST_RMT_010	AVdP_collector	collector
BROKE_WEST_RMT_011	AVdP_collector	collector
BROKE_WEST_RMT_012	AVdP_collector	collector
BROKE_WEST_RMT_013	AVdP_collector	collector
BROKE_WEST_RMT_014	AVdP_collector	collector
BROKE_WEST_RMT_015	AVdP_collector	collector
BROKE_WEST_RMT_016	AVdP_collector	collector
BROKE_WEST_RMT_017	AVdP_collector	collector
BROKE_WEST_RMT_018	AVdP_collector	collector
BROKE_WEST_RMT_019	AVdP_collector	collector
BROKE_WEST_RMT_020	AVdP_collector	collector
BROKE_WEST_RMT_021	AVdP_collector	collector
BROKE_WEST_RMT_022	AVdP_collector	collector
BROKE_WEST_RMT_023	AVdP_collector	collector
BROKE_WEST_RMT_024	AVdP_collector	collector
BROKE_WEST_RMT_025	AVdP_collector	collector
BROKE_WEST_RMT_026	AVdP_collector	collector
BROKE_WEST_RMT_027	AVdP_collector	collector
BROKE_WEST_RMT_028	AVdP_collector	collector
BROKE_WEST_RMT_029	AVdP_collector	collector
BROKE_WEST_RMT_030	AVdP_collector	collector
BROKE_WEST_RMT_031	AVdP_collector	collector
BROKE_WEST_RMT_032	AVdP_collector	collector
BROKE_WEST_RMT_033	AVdP_collector	collector
BROKE_WEST_RMT_034	AVdP_collector	collector
BROKE_WEST_RMT_035	AVdP_collector	collector
BROKE_WEST_RMT_036	AVdP_collector	collector
BROKE_WEST_RMT_037	AVdP_collector	collector
BROKE_WEST_RMT_038	AVdP_collector	collector
BROKE_WEST_RMT_039	AVdP_collector	collector
BROKE_WEST_RMT_040	AVdP_collector	collector
BROKE_WEST_RMT_041	AVdP_collector	collector
BROKE_WEST_RMT_042	AVdP_collector	collector
BROKE_WEST_RMT_043	AVdP_collector	collector
BROKE_WEST_RMT_044	AVdP_collector	collector
BROKE_WEST_RMT_045	AVdP_collector	collector
BROKE_WEST_RMT_046	AVdP_collector	collector
BROKE_WEST_RMT_047	AVdP_collector	collector
BROKE_WEST_RMT_048	AVdP_collector	collector
BROKE_WEST_RMT_049	AVdP_collector	collector
BROKE_WEST_RMT_050	AVdP_collector	collector
BROKE_WEST_RMT_051	AVdP_collector	collector
BROKE_WEST_RMT_052	AVdP_collector	collector
BROKE_WEST_RMT_053	AVdP_collector	collector
BROKE_WEST_RMT_054	AVdP_collector	collector
BROKE_WEST_RMT_055	AVdP_collector	collector
BROKE_WEST_RMT_056	AVdP_collector	collector
BROKE_WEST_RMT_057	AVdP_collector	collector
BROKE_WEST_RMT_058	AVdP_collector	collector
BROKE_WEST_RMT_059	AVdP_collector	collector
BROKE_WEST_RMT_060	AVdP_collector	collector
BROKE_WEST_RMT_061	AVdP_collector	collector
BROKE_WEST_RMT_062	AVdP_collector	collector
BROKE_WEST_RMT_063	AVdP_collector	collector
BROKE_WEST_RMT_064	AVdP_collector	collector
BROKE_WEST_RMT_065	AVdP_collector	collector
BROKE_WEST_RMT_066	AVdP_collector	collector
BROKE_WEST_RMT_067	AVdP_collector	collector
BROKE_WEST_RMT_068	AVdP_collector	collector
BROKE_WEST_RMT_069	AVdP_collector	collector
BROKE_WEST_RMT_070	AVdP_collector	collector
BROKE_WEST_RMT_071	AVdP_collector	collector
BROKE_WEST_RMT_072	AVdP_collector	collector
BROKE_WEST_RMT_073	AVdP_collector	collector
BROKE_WEST_RMT_074	AVdP_collector	collector
BROKE_WEST_RMT_075	AVdP_collector	collector
BROKE_WEST_RMT_076	AVdP_collector	collector
BROKE_WEST_RMT_077	AVdP_collector	collector
BROKE_WEST_RMT_078	AVdP_collector	collector
BROKE_WEST_RMT_079	AVdP_collector	collector
BROKE_WEST_RMT_080	AVdP_collector	collector
BROKE_WEST_RMT_081	AVdP_collector	collector
BROKE_WEST_RMT_082	AVdP_collector	collector
BROKE_WEST_RMT_083	AVdP_collector	collector
BROKE_WEST_RMT_084	AVdP_collector	collector
BROKE_WEST_RMT_085	AVdP_collector	collector
BROKE_WEST_RMT_086	AVdP_collector	collector
BROKE_WEST_RMT_087	AVdP_collector	collector
BROKE_WEST_RMT_088	AVdP_collector	collector
BROKE_WEST_RMT_089	AVdP_collector	collector
BROKE_WEST_RMT_090	AVdP_collector	collector
BROKE_WEST_RMT_091	AVdP_collector	collector
