assertionID	eventID	assertionType	assertionTypeIRI	assertionTypeVocabulary	assertionValue	assertionValueNumeric	assertionValueIRI	assertionUnit	assertionUnitIRI	assertionUnitVocabulary	assertionProtocol	assertionProtocolID
	BROKE_WEST_RMT_001	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		17389.23		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_002	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		16962.74		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_003	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		14839.03		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_004	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		37624.59		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_005	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		41717.26		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_006	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		17732.57		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_007	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		53120.18		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_008	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		42344.26		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_009	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		13815.18		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_010	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		35601.26		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_011	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		43118.45		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_012	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		7421.39		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_013	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		5507.61		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_014	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		7285.69		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_015	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		15164.44		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_016	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		16115.1		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_017	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		30320.42		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_018	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		44665.95		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
	BROKE_WEST_RMT_019	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP	http://vocab.nerc.ac.uk/collection/P01/current/		37855.9		m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/	http://vocab.nerc.ac.uk/collection/P06/current/		
