identificationID	agentID	agentRole
AAV3FF_00322_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00323_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00324_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00325_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00326_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00327_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00328_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00329_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00330_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00331_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00332_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00333_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00334_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00335_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00026_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00336_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00337_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00338_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00339_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00340_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00341_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00342_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00343_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00344_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00345_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00346_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00347_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00348_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00349_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00350_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00351_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00352_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00353_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00354_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00355_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00356_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00358_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00359_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00360_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00361_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00362_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00363_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00364_ID	AVdP_specimen_identifier	specimen identifier
