materialEntityID	eventID	materialEntityType	preparations	disposition	collectedBy	collectedByID	identifiedBy	identifiedByID	verbatimIdentification	scientificName	taxonID	kingdom	taxonRank	identificationRemarks	materialEntityRemarks	derivedFromMaterialEntityID	derivationType	partOfMaterialEntityID
AAV3FF_00322	BROKE_WEST_RMT_100_RMT8	whole organism	formalin	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Bathydraco sp.	Bathydraco	urn:lsid:marinespecies.org:taxname:234552	Animalia	Genus	closely resembles bathydraco antarcticus according to kellerman				
AAV3FF_00323	BROKE_WEST_RMT_100_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pogonophryne marmorata	Pogonophryne marmorata	urn:lsid:marinespecies.org:taxname:234730	Animalia	Species					
AAV3FF_00324	BROKE_WEST_RMT_100_RMT8	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Cygnodraco mawsoni	Cygnodraco mawsoni	urn:lsid:marinespecies.org:taxname:234834	Animalia	Species					
AAV3FF_00325	BROKE_WEST_RMT_100_RMT8	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Bathydraco sp.	Bathydraco	urn:lsid:marinespecies.org:taxname:234552	Animalia	Genus	closely resembles bathydraco antarcticus according to kellerman				
AAV3FF_00326	BROKE_WEST_RMT_101_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Electrona antarctica	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	Animalia	Species					
AAV3FF_00327	BROKE_WEST_RMT_101_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Electrona antarctica	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	Animalia	Species					
AAV3FF_00328	BROKE_WEST_RMT_101_RMT8	whole organism	formalin	Evgeny	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Electrona antarctica	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	Animalia	Species					
AAV3FF_00329	BROKE_WEST_RMT_101_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Electrona antarctica	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	Animalia	Species					
AAV3FF_00330	BROKE_WEST_RMT_101_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Electrona antarctica	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	Animalia	Species					
AAV3FF_00331	BROKE_WEST_RMT_101_RMT8	whole organism	formalin	Evgeny	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Electrona antarctica	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	Animalia	Species					
AAV3FF_00332	BROKE_WEST_RMT_101_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Electrona antarctica	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	Animalia	Species					
AAV3FF_00333	BROKE_WEST_RMT_101_RMT8	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Notolepis coatsi	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	Animalia	Species					
AAV3FF_00334	BROKE_WEST_RMT_101_RMT8	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Notolepis coatsi	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	Animalia	Species					
