mediaID	filename	accessURI	mediaType	materialEntityID	format	rights	creator	creatorID	mediaLanguage	eventID	materialEntityType	preparations	disposition	collectedBy	collectedByID	identifiedBy	identifiedByID	verbatimIdentification	scientificName	taxonID	kingdom	taxonRank	identificationRemarks	materialEntityRemarks	derivedFromMaterialEntityID	derivationType	partOfMaterialEntityID	mediaDescription
AAV3FF_00001_01	AAV3FF_00001_01.JPG	https://zenodo.org/records/14898800/files/AAV3FF_00001_01.JPG?download=1	StillImage	AAV3FF_00001	image/jpeg	Public Domain	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	eng	BROKE_WEST_RMT_006_RMT8	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Notolepis coatsi	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	Animalia	Species						Photo of Notolepis coatsi with its label and a grid.
AAV3FF_00002_01	AAV3FF_00002_01.JPG	https://zenodo.org/records/14898800/files/AAV3FF_00002_01.JPG?download=1	StillImage	AAV3FF_00002	image/jpeg	Public Domain	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	eng	BROKE_WEST_RMT_007_RMT8	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Macrouridae sp.	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	Animalia	Family						Photo of Macrouridae with its label and a grid.
AAV3FF_00003_01	AAV3FF_00003_01.JPG	https://zenodo.org/records/14898800/files/AAV3FF_00003_01.JPG?download=1	StillImage	AAV3FF_00003	image/jpeg	Public Domain	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	eng	BROKE_WEST_RMT_008_RMT8	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Electrona antarctica	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	Animalia	Species						Photo of Electrona antarctica with its label and a grid.
AAV3FF_00004_01	AAV3FF_00004_01.JPG	https://zenodo.org/records/14898800/files/AAV3FF_00004_01.JPG?download=1	StillImage	AAV3FF_00004	image/jpeg	Public Domain	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	eng	BROKE_WEST_RMT_008_RMT8	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Notolepis coatsi	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	Animalia	Species						Photo of Notolepis coatsi with its label and a grid.
AAV3FF_00005_01	AAV3FF_00005_01.JPG	https://zenodo.org/records/14898800/files/AAV3FF_00005_01.JPG?download=1	StillImage	AAV3FF_00005	image/jpeg	Public Domain	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	eng	BROKE_WEST_RMT_011_RMT1	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Notolepis coatsi	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	Animalia	Species						Photo of Notolepis coatsi with its label and a grid.
AAV3FF_00006_01	AAV3FF_00006_01.JPG	https://zenodo.org/records/14898800/files/AAV3FF_00006_01.JPG?download=1	StillImage	AAV3FF_00006	image/jpeg	Public Domain	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	eng	BROKE_WEST_RMT_011_RMT8	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species						Photo of Pleuragramma antarcticum with its label and a grid.
AAV3FF_00007_01	AAV3FF_00007_01.JPG	https://zenodo.org/records/14898800/files/AAV3FF_00007_01.JPG?download=1	StillImage	AAV3FF_00007	image/jpeg	Public Domain	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	eng	BROKE_WEST_RMT_011_RMT8	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Notolepis coatsi	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	Animalia	Species						Photo of Notolepis coatsi with its label and a grid.
AAV3FF_00008_01	AAV3FF_00008_01.JPG	https://zenodo.org/records/14898800/files/AAV3FF_00008_01.JPG?download=1	StillImage	AAV3FF_00008	image/jpeg	Public Domain	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	eng	BROKE_WEST_RMT_017_RMT1	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Notolepis coatsi	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	Animalia	Species						Photo of Notolepis coatsi with its label and a grid.
AAV3FF_00009_01	AAV3FF_00009_01.JPG	https://zenodo.org/records/14898800/files/AAV3FF_00009_01.JPG?download=1	StillImage	AAV3FF_00009	image/jpeg	Public Domain	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	eng	BROKE_WEST_RMT_017_RMT1	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Notolepis coatsi	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	Animalia	Species						Photo of Notolepis coatsi with its label and a grid.
AAV3FF_00012_01	AAV3FF_00012_01.JPG	https://zenodo.org/records/14898800/files/AAV3FF_00012_01.JPG?download=1	StillImage	AAV3FF_00012	image/jpeg	Public Domain	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	eng	BROKE_WEST_RMT_020_RMT8	whole organism	Ethanol	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species						Photo of Pleuragramma antarcticum with its label and a grid.
