occurrenceID	eventID	recordedBy	recordedByID	organismQuantity	organismQuantityType	lifeStage	occurrenceStatus	verbatimIdentification	identifiedBy	identifiedByID	taxonID	kingdom	scientificName	taxonRank
BROKE_WEST_RMT_007_RMT8_125471	BROKE_WEST_RMT_007_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Macrouridae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:125471	Animalia	Macrouridae	Family
BROKE_WEST_RMT_008_RMT8_217697	BROKE_WEST_RMT_008_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_008_RMT8_217697_Larvae	BROKE_WEST_RMT_008_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals	Larvae	present	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_008_RMT8_234695	BROKE_WEST_RMT_008_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_011_RMT8_234695	BROKE_WEST_RMT_011_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_011_RMT8_234721	BROKE_WEST_RMT_011_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234721	Animalia	Pleuragramma antarcticum	Species
BROKE_WEST_RMT_017_RMT8_234695	BROKE_WEST_RMT_017_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_020_RMT8_234721	BROKE_WEST_RMT_020_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234721	Animalia	Pleuragramma antarcticum	Species
BROKE_WEST_RMT_031_RMT8_217697	BROKE_WEST_RMT_031_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	4	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_031_RMT8_217697_Larvae	BROKE_WEST_RMT_031_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	4	individuals	Larvae	present	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_031_RMT8_234695	BROKE_WEST_RMT_031_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	13	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_034_RMT8_217697	BROKE_WEST_RMT_034_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	4	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_034_RMT8_217697_Larvae	BROKE_WEST_RMT_034_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	4	individuals	Larvae	present	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_034_RMT8_234695	BROKE_WEST_RMT_034_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	3	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_037_RMT8_217697	BROKE_WEST_RMT_037_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	15	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_037_RMT8_217697_Larvae	BROKE_WEST_RMT_037_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	13	individuals	Larvae	present	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_037_RMT8_217697_Postmeta	BROKE_WEST_RMT_037_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals	Postmeta	present	Electrona antarctica  Postmeta	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_037_RMT8_234695	BROKE_WEST_RMT_037_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	10	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_038_RMT8_217697	BROKE_WEST_RMT_038_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_038_RMT8_217697_Larvae	BROKE_WEST_RMT_038_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals	Larvae	present	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_038_RMT8_234695	BROKE_WEST_RMT_038_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	6	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_039_RMT8_217697	BROKE_WEST_RMT_039_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_039_RMT8_217697_Larvae	BROKE_WEST_RMT_039_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals	Larvae	present	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_042_RMT8_217697	BROKE_WEST_RMT_042_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	3	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_042_RMT8_217697_Larvae	BROKE_WEST_RMT_042_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	3	individuals	Larvae	present	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_042_RMT8_234695	BROKE_WEST_RMT_042_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_042_RMT8_234800	BROKE_WEST_RMT_042_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Gymnodraco acuticeps	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234800	Animalia	Gymnodraco acuticeps	Species
BROKE_WEST_RMT_042_RMT8_1	BROKE_WEST_RMT_042_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Biota sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:1		Biota	Superdomain
BROKE_WEST_RMT_043_RMT8_234721	BROKE_WEST_RMT_043_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	5	individuals		present	Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234721	Animalia	Pleuragramma antarcticum	Species
BROKE_WEST_RMT_044_RMT8_234777	BROKE_WEST_RMT_044_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Prionodraco evansii	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234777	Animalia	Prionodraco evansii	Species
BROKE_WEST_RMT_050_RMT8_217697	BROKE_WEST_RMT_050_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	7	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_050_RMT8_217697_Larvae	BROKE_WEST_RMT_050_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	5	individuals	Larvae	present	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_050_RMT8_217697_Postmeta	BROKE_WEST_RMT_050_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals	Postmeta	present	Electrona antarctica  Postmeta	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_050_RMT8_234714	BROKE_WEST_RMT_050_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Protomyctophum bolini	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234714	Animalia	Protomyctophum bolini	Species
BROKE_WEST_RMT_050_RMT8_234695	BROKE_WEST_RMT_050_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_051_RMT8_217697	BROKE_WEST_RMT_051_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	28	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
