agent_id	identification_id	agent_role	agent_role_iri	agent_role_vocabulary	agent_role_order	agent_role_date
AVdP_specimen_identifier	AAV3FF_00322_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00323_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00324_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00325_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00326_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00327_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00328_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00329_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00330_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00331_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00332_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00333_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00334_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00335_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00026_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00336_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00337_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00338_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00339_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00340_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00341_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00342_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00343_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00344_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00345_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00346_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00347_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00348_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00349_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00350_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00351_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00352_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00353_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00354_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00355_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00356_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00358_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00359_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00360_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00361_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00362_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00363_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00364_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00365_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00366_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00367_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00368_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00369_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00370_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00371_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00372_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00373_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00374_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00375_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00376_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00377_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00378_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00379_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00380_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00381_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00382_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00027_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00383_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00384_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00385_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00386_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00387_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00388_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00389_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00390_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00391_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00392_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00393_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00394_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00395_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00396_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00397_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00398_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00399_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00400_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00401_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00402_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00403_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00404_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00405_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00406_ID	specimen identifier			1	
