"assertionID"	"materialEntityID"	"assertionValueNumeric"	"assertionType"	"assertionUnit"
"P1.1AS"	"P1.1AS_preserved"	19	"dry weight biomass"	"mg"
"IM18_774"	"P1.1AS_pure"	13	"DNA concentration"	"ng/µl"
"P1.1BS"	"P1.1BS_preserved"	21	"dry weight biomass"	"mg"
"IM18_775"	"P1.1BS_pure"	29	"DNA concentration"	"ng/µl"
"P1.2AS"	"P1.2AS_preserved"	10	"dry weight biomass"	"mg"
"IM18_320"	"P1.2AS_pure"	3	"DNA concentration"	"ng/µl"
"P1.2BS"	"P1.2BS_preserved"	13	"dry weight biomass"	"mg"
"IM18_531"	"P1.2BS_pure"	6	"DNA concentration"	"ng/µl"
"P10.1AL"	"P10.1AL_preserved"	102	"dry weight biomass"	"mg"
"IM18_421"	"P10.1AL_pure"	14	"DNA concentration"	"ng/µl"
"P10.1AS"	"P10.1AS_preserved"	100	"dry weight biomass"	"mg"
"IM18_420"	"P10.1AS_pure"	54	"DNA concentration"	"ng/µl"
"P10.1BL"	"P10.1BL_preserved"	16	"dry weight biomass"	"mg"
"IM18_423"	"P10.1BL_pure"	13	"DNA concentration"	"ng/µl"
"P10.1BS"	"P10.1BS_preserved"	437	"dry weight biomass"	"mg"
"IM18_422"	"P10.1BS_pure"	56	"DNA concentration"	"ng/µl"
"P10.2AL"	"P10.2AL_preserved"	9	"dry weight biomass"	"mg"
"IM18_777"	"P10.2AL_pure"	9	"DNA concentration"	"ng/µl"
"P10.2AS"	"P10.2AS_preserved"	52	"dry weight biomass"	"mg"
"IM18_776"	"P10.2AS_pure"	44	"DNA concentration"	"ng/µl"
"P10.2BL"	"P10.2BL_preserved"	59	"dry weight biomass"	"mg"
"IM18_779"	"P10.2BL_pure"	30	"DNA concentration"	"ng/µl"
"P10.2BS"	"P10.2BS_preserved"	116	"dry weight biomass"	"mg"
"IM18_778"	"P10.2BS_pure"	53	"DNA concentration"	"ng/µl"
"P100.1AL"	"P100.1AL_preserved"	51	"dry weight biomass"	"mg"
"IM18_991"	"P100.1AL_pure"	17	"DNA concentration"	"ng/µl"
"P100.1AS"	"P100.1AS_preserved"	51	"dry weight biomass"	"mg"
"IM18_908"	"P100.1AS_pure"	38	"DNA concentration"	"ng/µl"
"P100.1BS"	"P100.1BS_preserved"	514	"dry weight biomass"	"mg"
"IM18_909"	"P100.1BS_pure"	99	"DNA concentration"	"ng/µl"
"P100.2AL"	"P100.2AL_preserved"	121	"dry weight biomass"	"mg"
"IM18_1012"	"P100.2AL_pure"	21	"DNA concentration"	"ng/µl"
"P100.2AS"	"P100.2AS_preserved"	234	"dry weight biomass"	"mg"
"IM18_1011"	"P100.2AS_pure"	28	"DNA concentration"	"ng/µl"
"P100.2BL"	"P100.2BL_preserved"	27	"dry weight biomass"	"mg"
"IM18_510"	"P100.2BL_pure"	16	"DNA concentration"	"ng/µl"
"P100.2BS"	"P100.2BS_preserved"	421	"dry weight biomass"	"mg"
