"mediaID"	"materialEntityID"	"mediaSubjectCategory"
"P1.1AS_00L04S_01S"	"P1.1AS"	"part of insect bulk sample"
"P1.1AS_00L04S_02S"	"P1.1AS"	"part of insect bulk sample"
"P1.1AS_00L04S_03S"	"P1.1AS"	"part of insect bulk sample"
"P1.1AS_00L04S_04S"	"P1.1AS"	"part of insect bulk sample"
"P1.1BS_00L08S_01S"	"P1.1BS"	"part of insect bulk sample"
"P1.1BS_00L08S_02S"	"P1.1BS"	"part of insect bulk sample"
"P1.1BS_00L08S_03S"	"P1.1BS"	"part of insect bulk sample"
"P1.1BS_00L08S_04S"	"P1.1BS"	"part of insect bulk sample"
"P1.1BS_00L08S_05S"	"P1.1BS"	"part of insect bulk sample"
"P1.1BS_00L08S_06S"	"P1.1BS"	"part of insect bulk sample"
"P1.1BS_00L08S_07S"	"P1.1BS"	"part of insect bulk sample"
"P1.1BS_00L08S_08S"	"P1.1BS"	"part of insect bulk sample"
"P10.2AL_01L11S_01L"	"P10.2AL"	"part of insect bulk sample"
"P10.2AS_01L11S_01S"	"P10.2AS"	"part of insect bulk sample"
"P10.2AS_01L11S_02S"	"P10.2AS"	"part of insect bulk sample"
"P10.2AS_01L11S_03S"	"P10.2AS"	"part of insect bulk sample"
"P10.2AS_01L11S_04S"	"P10.2AS"	"part of insect bulk sample"
"P10.2AS_01L11S_05S"	"P10.2AS"	"part of insect bulk sample"
"P10.2AS_01L11S_06S"	"P10.2AS"	"part of insect bulk sample"
"P10.2AS_01L11S_07S"	"P10.2AS"	"part of insect bulk sample"
"P10.2AS_01L11S_08S"	"P10.2AS"	"part of insect bulk sample"
"P10.2AS_01L11S_09S"	"P10.2AS"	"part of insect bulk sample"
"P10.2AS_01L11S_10S"	"P10.2AS"	"part of insect bulk sample"
"P10.2AS_01L11S_11S"	"P10.2AS"	"part of insect bulk sample"
"P10.2BL_01L15S_01L"	"P10.2BL"	"part of insect bulk sample"
"P10.2BS_01L15S_01S"	"P10.2BS"	"part of insect bulk sample"
"P10.2BS_01L15S_02S"	"P10.2BS"	"part of insect bulk sample"
"P10.2BS_01L15S_03S"	"P10.2BS"	"part of insect bulk sample"
