"mediaID"	"mediaType"	"accessURI"	"format"	"rights"	"Owner"	"mediaDescription"
"P1.1AS_00L04S_01S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP1.1ASP1.1AS_00L04S_01SP1.1AS_wet_2018_00L04S_01S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P1.1AS_00L04S_02S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP1.1ASP1.1AS_00L04S_02SP1.1AS_wet_2018_00L04S_02S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P1.1AS_00L04S_03S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP1.1ASP1.1AS_00L04S_03SP1.1AS_wet_2018_00L04S_03S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P1.1AS_00L04S_04S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP1.1ASP1.1AS_00L04S_04SP1.1AS_wet_2018_00L04S_04S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P1.1BS_00L08S_01S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP1.1BSP1.1BS_00L08S_01SP1.1BS_wet_2018_00L08S_01S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P1.1BS_00L08S_02S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP1.1BSP1.1BS_00L08S_02SP1.1BS_wet_2018_00L08S_02S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P1.1BS_00L08S_03S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP1.1BSP1.1BS_00L08S_03SP1.1BS_wet_2018_00L08S_03S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P1.1BS_00L08S_04S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP1.1BSP1.1BS_00L08S_04SP1.1BS_wet_2018_00L08S_04S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P1.1BS_00L08S_05S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP1.1BSP1.1BS_00L08S_05SP1.1BS_wet_2018_00L08S_05S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P1.1BS_00L08S_06S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP1.1BSP1.1BS_00L08S_06SP1.1BS_wet_2018_00L08S_06S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
